 Date Time CO NO2 NO
 15.03.13 12:00 0.16 0.39 0.16
 -------- 13:00 0.12 0.32 0.11
 -------- 14:00 0.10 0.29 0.07
 -------- 15:00 0.09 0.30 0.09
 -------- 16:00 0.09 0.27 0.05
 15.03.13 17:00 0.08 0.27 0.04
 -------- 18:00 0.08 0.26 0.03
 -------- 19:00 0.07 0.24 0.02
 -------- 20:00 0.08 0.26 0.02
 -------- 21:00 0.09 0.30 0.04
 15.03.13 22:00 0.11 0.30 0.03
 -------- 23:00 0.11 0.34 0.05
 -------- 00:00 0.13 0.36 0.09
 -------- 01:00 0.16 0.37 0.15
 -------- 02:00 0.21 0.38 0.29
 16.03.13 03:00 0.22 0.38 0.33
 -------- 04:00 0.21 0.37 0.31
 -------- 05:00 0.20 0.38 0.28
 -------- 06:00 0.16 0.38 0.16
 -------- 07:00 0.15 0.36 0.19
 16.03.13 08:00 0.11 0.37 0.13
 -------- 09:00 0.10 0.33 0.09
 -------- 10:00 0.10 0.33 0.11
 -------- 11:00 0.10 0.32 0.10
 -------- 12:00 0.11 0.35 0.10
 16.03.13 13:00 0.09 0.21 0.04
 -------- 14:00 0.08 0.13 0.02
 -------- 15:00 0.08 0.14 0.02
 -------- 16:00 0.08 0.13 0.01
 -------- 17:00 0.07 0.13 0.01
 16.03.13 18:00 0.09 0.14 0.01
 -------- 19:00 0.08 0.13 0.01
 -------- 20:00 0.08 0.15 0.01
 -------- 21:00 0.08 0.15 0.01
 -------- 22:00 0.09 0.18 0.01
 16.03.13 23:00 0.07 0.12 0.01
 -------- 00:00 0.06 0.09 0.01
 -------- 01:00 0.06 0.08 0.01
 -------- 02:00 0.06 0.07 0.01
 -------- 03:00 0.06 0.07 0.01
 17.03.13 04:00 0.06 0.06 0.01
 -------- 05:00 0.04 0.06 0.01
 -------- 06:00 0.04 0.06 0.01
 -------- 07:00 0.04 0.06 0.01
 -------- 08:00 0.05 0.09 0.01
 17.03.13 09:00 0.06 0.08 0.01
 -------- 10:00 0.06 0.08 0.01
 -------- 11:00 0.06 0.07 0.01
