 Date Time CO NO2 NO
 31.03.13 12:00 0.07 0.09 0.01
 -------- 13:00 0.07 0.09 0.01
 -------- 14:00 0.06 0.08 0.01
 -------- 15:00 0.06 0.08 0.01
 -------- 16:00 0.07 0.10 0.01
 31.03.13 17:00 0.07 0.10 0.01
 -------- 18:00 0.08 0.10 0.01
 -------- 19:00 0.08 0.13 0.01
 -------- 20:00 0.09 0.22 0.01
 -------- 21:00 0.13 0.35 0.01
 31.03.13 22:00 0.14 0.44 0.02
 -------- 23:00 0.17 0.46 0.04
 -------- 00:00 0.15 0.44 0.03
 -------- 01:00 0.13 0.38 0.01
 -------- 02:00 0.13 0.39 0.01
 01.04.13 03:00 0.12 0.39 0.01
 -------- 04:00 0.10 0.37 0.01
 -------- 05:00 0.10 0.37 0.01
 -------- 06:00 0.10 0.38 0.02
 -------- 07:00 0.12 0.38 0.09
 01.04.13 08:00 0.13 0.38 0.10
 -------- 09:00 0.11 0.27 0.03
 -------- 10:00 0.10 0.24 0.04
 -------- 11:00 0.09 0.21 0.03
 -------- 12:00 0.08 0.19 0.03
 01.04.13 13:00 0.08 0.20 0.03
 -------- 14:00 0.08 0.28 0.08
 -------- 15:00 0.08 0.25 0.08
 -------- 16:00 0.09 0.24 0.05
 -------- 17:00 0.11 0.28 0.06
 01.04.13 18:00 0.10 0.32 0.06
 -------- 19:00 0.12 0.38 0.09
 -------- 20:00 0.12 0.38 0.07
 -------- 21:00 0.13 0.40 0.06
 -------- 22:00 0.11 0.31 0.03
 01.04.13 23:00 0.10 0.26 0.02
 -------- 00:00 0.09 0.20 0.01
 -------- 01:00 0.08 0.22 0.01
 -------- 02:00 0.08 0.20 0.01
 -------- 03:00 0.08 0.16 0.01
 02.04.13 04:00 0.08 0.15 0.01
 -------- 05:00 0.08 0.17 0.01
 -------- 06:00 0.08 0.19 0.01
 -------- 07:00 0.09 0.22 0.01
 -------- 08:00 0.10 0.25 0.02
 02.04.13 09:00 0.10 0.20 0.03
 -------- 10:00 0.09 0.15 0.02
 -------- 11:00 0.08 0.12 0.02
