 Date Time CO NO2 NO
 24.11.12 00:00 0.06 0.24 0.03
 -------- 01:00 0.06 0.22 0.02
 -------- 02:00 0.05 0.19 0.01
 -------- 03:00 0.05 0.18 0.01
 -------- 04:00 0.04 0.16 0.01
 24.11.12 05:00 0.04 0.17 0.01
 -------- 06:00 0.05 0.18 0.02
 -------- 07:00 0.06 0.19 0.03
 -------- 08:00 0.07 0.19 0.04
 -------- 09:00 0.08 0.19 0.07
 24.11.12 10:00 0.09 0.19 0.08
 -------- 11:00 0.08 0.17 0.05
 -------- 12:00 0.07 0.14 0.03
 -------- 13:00 0.07 0.14 0.03
 -------- 14:00 0.06 0.15 0.03
 24.11.12 15:00 0.07 0.17 0.03
 -------- 16:00 0.08 0.19 0.04
 -------- 17:00 0.08 0.20 0.05
 -------- 18:00 0.12 0.23 0.09
 -------- 19:00 0.13 0.22 0.08
 24.11.12 20:00 0.11 0.22 0.08
 -------- 21:00 0.10 0.23 0.11
 -------- 22:00 0.12 0.25 0.18
 -------- 23:00 0.13 0.25 0.21
 -------- 00:00 0.13 0.27 0.23
 25.11.12 01:00 0.12 0.25 0.19
 -------- 02:00 0.11 0.24 0.16
 -------- 03:00 0.10 0.23 0.10
 -------- 04:00 0.09 0.22 0.07
 -------- 05:00 0.08 0.21 0.04
 25.11.12 06:00 0.06 0.21 0.03
 -------- 07:00 0.07 0.21 0.03
 -------- 08:00 0.06 0.21 0.03
 -------- 09:00 0.08 0.21 0.04
 -------- 10:00 0.09 0.21 0.06
 25.11.12 11:00 0.11 0.21 0.08
 -------- 12:00 0.11 0.21 0.11
 -------- 13:00 0.12 0.24 0.13
 -------- 14:00 0.10 0.23 0.12
 -------- 15:00 0.12 0.24 0.14
 25.11.12 16:00 0.12 0.25 0.13
 -------- 17:00 0.12 0.25 0.13
 -------- 18:00 0.11 0.26 0.13
 -------- 19:00 0.11 0.26 0.14
 -------- 20:00 0.10 0.24 0.11
 25.11.12 21:00 0.08 0.23 0.08
 -------- 22:00 0.08 0.22 0.06
 -------- 23:00 0.08 0.21 0.04
