 Date Time CO NO2 NO
 27.01.13 12:00 0.14 0.25 0.09
 -------- 13:00 0.11 0.21 0.07
 -------- 14:00 0.09 0.16 0.04
 -------- 15:00 0.09 0.17 0.04
 -------- 16:00 0.10 0.21 0.04
 27.01.13 17:00 0.13 0.28 0.05
 -------- 18:00 0.24 0.40 0.16
 -------- 19:00 0.17 0.39 0.11
 -------- 20:00 0.21 0.39 0.18
 -------- 21:00 0.21 0.38 0.18
 27.01.13 22:00 0.19 0.38 0.16
 -------- 23:00 0.17 0.41 0.18
 -------- 00:00 0.16 0.38 0.16
 -------- 01:00 0.13 0.38 0.10
 -------- 02:00 0.15 0.36 0.14
 28.01.13 03:00 0.15 0.38 0.18
 -------- 04:00 0.13 0.38 0.17
 -------- 05:00 0.11 0.37 0.10
 -------- 06:00 0.08 0.36 0.05
 -------- 07:00 0.08 0.39 0.07
 28.01.13 08:00 0.10 0.41 0.13
 -------- 09:00 0.13 0.44 0.17
 -------- 10:00 0.13 0.41 0.18
 -------- 11:00 0.13 0.39 0.16
 -------- 12:00 0.13 0.39 0.16
 28.01.13 13:00 0.13 0.37 0.16
 -------- 14:00 0.09 0.27 0.06
 -------- 15:00 0.08 0.25 0.05
 -------- 16:00 0.09 0.27 0.05
 -------- 17:00 0.09 0.31 0.05
 28.01.13 18:00 0.08 0.30 0.02
 -------- 19:00 0.09 0.34 0.03
 -------- 20:00 0.09 0.31 0.02
 -------- 21:00 0.08 0.29 0.01
 -------- 22:00 0.08 0.29 0.01
 28.01.13 23:00 0.08 0.28 0.01
 -------- 00:00 0.08 0.28 0.01
 -------- 01:00 0.07 0.27 0.01
 -------- 02:00 0.06 0.24 0.02
 -------- 03:00 0.06 0.24 0.01
 29.01.13 04:00 0.06 0.22 0.01
 -------- 05:00 0.06 0.21 0.01
 -------- 06:00 0.07 0.27 0.01
 -------- 07:00 0.08 0.28 0.01
 -------- 08:00 0.09 0.33 0.05
 29.01.13 09:00 0.12 0.35 0.08
 -------- 10:00 0.13 0.35 0.13
 -------- 11:00 0.15 0.33 0.17
