 Date Time CO NO2 NO
 18.02.13 12:00 0.10 0.22 0.06
 -------- 13:00 0.09 0.20 0.05
 -------- 14:00 0.09 0.18 0.04
 -------- 15:00 0.08 0.18 0.03
 -------- 16:00 0.08 0.15 0.02
 18.02.13 17:00 0.07 0.15 0.02
 -------- 18:00 0.08 0.18 0.01
 -------- 19:00 0.09 0.24 0.02
 -------- 20:00 0.11 0.30 0.03
 -------- 21:00 0.12 0.33 0.05
 18.02.13 22:00 0.12 0.30 0.04
 -------- 23:00 0.12 0.31 0.04
 -------- 00:00 0.12 0.31 0.02
 -------- 01:00 0.10 0.30 0.04
 -------- 02:00 0.10 0.30 0.04
 19.02.13 03:00 0.10 0.30 0.06
 -------- 04:00 0.10 0.28 0.03
 -------- 05:00 0.11 0.30 0.09
 -------- 06:00 0.12 0.32 0.12
 -------- 07:00 0.13 0.34 0.13
 19.02.13 08:00 0.10 0.32 0.03
 -------- 09:00 0.10 0.28 0.03
 -------- 10:00 0.18 0.36 0.24
 -------- 11:00 0.20 0.34 0.25
 -------- 12:00 0.13 0.23 0.09
 19.02.13 13:00 0.08 0.12 0.03
 -------- 14:00 0.06 0.10 0.02
 -------- 15:00 0.07 0.13 0.02
 -------- 16:00 0.06 0.13 0.02
 -------- 17:00 0.07 0.14 0.02
 19.02.13 18:00 0.08 0.24 0.02
 -------- 19:00 0.07 0.22 0.01
 -------- 20:00 0.10 0.34 0.03
 -------- 21:00 0.09 0.27 0.02
 -------- 22:00 0.08 0.19 0.01
 19.02.13 23:00 0.10 0.30 0.02
 -------- 00:00 0.13 0.38 0.10
 -------- 01:00 0.18 0.41 0.25
 -------- 02:00 0.20 0.39 0.19
 -------- 03:00 0.19 0.39 0.24
 20.02.13 04:00 0.19 0.38 0.23
 -------- 05:00 0.20 0.37 0.22
 -------- 06:00 0.20 0.37 0.23
 -------- 07:00 0.21 0.38 0.28
 -------- 08:00 0.21 0.39 0.33
 20.02.13 09:00 0.24 0.41 0.37
 -------- 10:00 0.27 0.44 0.43
 -------- 11:00 0.32 0.51 0.52
