 Date Time CO NO2 NO
 17.12.12 12:00 0.10 0.35 0.11
 -------- 13:00 0.11 0.34 0.12
 -------- 14:00 0.13 0.40 0.17
 -------- 15:00 0.13 0.42 0.18
 -------- 16:00 0.19 0.47 0.25
 17.12.12 17:00 0.11 0.38 0.09
 -------- 18:00 0.09 0.36 0.06
 -------- 19:00 0.10 0.35 0.07
 -------- 20:00 0.10 0.34 0.10
 -------- 21:00 0.10 0.32 0.09
 17.12.12 22:00 0.10 0.29 0.07
 -------- 23:00 0.09 0.32 0.13
 -------- 00:00 0.08 0.30 0.13
 -------- 01:00 0.09 0.28 0.10
 -------- 02:00 0.08 0.27 0.08
 18.12.12 03:00 0.08 0.27 0.08
 -------- 04:00 0.08 0.27 0.09
 -------- 05:00 0.08 0.27 0.10
 -------- 06:00 0.09 0.27 0.12
 -------- 07:00 0.09 0.28 0.13
 18.12.12 08:00 0.09 0.35 0.16
 -------- 09:00 0.11 0.35 0.16
 -------- 10:00 0.14 0.32 0.16
 -------- 11:00 0.13 0.30 0.20
 -------- 12:00 0.12 0.26 0.15
 18.12.12 13:00 0.10 0.25 0.15
 -------- 14:00 0.10 0.27 0.17
 -------- 15:00 0.10 0.31 0.21
 -------- 16:00 0.12 0.30 0.20
 -------- 17:00 0.12 0.32 0.17
 18.12.12 18:00 0.08 0.30 0.09
 -------- 19:00 0.09 0.28 0.08
 -------- 20:00 0.09 0.31 0.10
 -------- 21:00 0.08 0.30 0.12
 -------- 22:00 0.08 0.31 0.11
 18.12.12 23:00 0.07 0.28 0.08
 -------- 00:00 0.06 0.28 0.08
 -------- 01:00 0.05 0.29 0.07
 -------- 02:00 0.05 0.28 0.06
 -------- 03:00 0.06 0.30 0.08
 19.12.12 04:00 0.06 0.28 0.07
 -------- 05:00 0.07 0.30 0.12
 -------- 06:00 0.07 0.29 0.11
 -------- 07:00 0.07 0.29 0.12
 -------- 08:00 0.10 0.30 0.16
 19.12.12 09:00 0.09 0.29 0.13
 -------- 10:00 0.09 0.27 0.11
 -------- 11:00 0.08 0.27 0.14
