 Date Time CO NO2 NO
 17.01.13 00:00 0.10 0.27 0.04
 -------- 01:00 0.08 0.25 0.04
 -------- 02:00 0.07 0.22 0.02
 -------- 03:00 0.06 0.19 0.01
 -------- 04:00 0.06 0.18 0.01
 17.01.13 05:00 0.06 0.16 0.01
 -------- 06:00 0.06 0.17 0.01
 -------- 07:00 0.07 0.21 0.03
 -------- 08:00 0.08 0.22 0.03
 -------- 09:00 0.08 0.24 0.04
 17.01.13 10:00 0.08 0.23 0.03
 -------- 11:00 0.08 0.22 0.04
 -------- 12:00 0.08 0.20 0.04
 -------- 13:00 0.09 0.18 0.04
 -------- 14:00 0.08 0.17 0.03
 17.01.13 15:00 0.08 0.19 0.04
 -------- 16:00 0.10 0.23 0.04
 -------- 17:00 0.10 0.22 0.04
 -------- 18:00 0.08 0.21 0.03
 -------- 19:00 0.08 0.20 0.01
 17.01.13 20:00 0.08 0.20 0.02
 -------- 21:00 0.08 0.20 0.01
 -------- 22:00 0.08 0.25 0.05
 -------- 23:00 0.07 0.23 0.04
 -------- 00:00 0.06 0.19 0.02
 18.01.13 01:00 0.06 0.18 0.01
 -------- 02:00 0.06 0.17 0.01
 -------- 03:00 0.06 0.15 0.01
 -------- 04:00 0.06 0.14 0.01
 -------- 05:00 0.06 0.15 0.01
 18.01.13 06:00 0.07 0.17 0.01
 -------- 07:00 0.08 0.20 0.01
 -------- 08:00 0.09 0.24 0.03
 -------- 09:00 0.11 0.37 0.11
 -------- 10:00 0.11 0.29 0.07
 18.01.13 11:00 0.11 0.25 0.07
 -------- 12:00 0.10 0.23 0.05
 -------- 13:00 0.11 0.26 0.10
 -------- 14:00 0.10 0.22 0.06
 -------- 15:00 0.09 0.21 0.04
 18.01.13 16:00 0.10 0.22 0.04
 -------- 17:00 0.11 0.28 0.08
 -------- 18:00 0.12 0.28 0.05
 -------- 19:00 0.11 0.28 0.04
 -------- 20:00 0.12 0.27 0.03
 18.01.13 21:00 0.12 0.27 0.05
 -------- 22:00 0.12 0.27 0.05
 -------- 23:00 0.11 0.26 0.04
