 Date Time CO NO2 NO
 20.03.13 00:00 0.09 0.43 0.08
 -------- 01:00 0.09 0.39 0.07
 -------- 02:00 0.08 0.40 0.03
 -------- 03:00 0.08 0.40 0.09
 -------- 04:00 0.08 0.41 0.09
 20.03.13 05:00 0.10 0.41 0.12
 -------- 06:00 0.09 0.39 0.07
 -------- 07:00 0.09 0.41 0.07
 -------- 08:00 0.11 0.40 0.09
 -------- 09:00 0.11 0.37 0.10
 20.03.13 10:00 0.12 0.34 0.09
 -------- 11:00 0.10 0.27 0.06
 -------- 12:00 0.09 0.20 0.04
 -------- 13:00 0.07 0.20 0.05
 -------- 14:00 0.06 0.21 0.05
 20.03.13 15:00 0.06 0.19 0.04
 -------- 16:00 0.06 0.19 0.03
 -------- 17:00 0.06 0.18 0.02
 -------- 18:00 0.06 0.17 0.02
 -------- 19:00 0.06 0.14 0.01
 20.03.13 20:00 0.06 0.16 0.01
 -------- 21:00 0.06 0.24 0.02
 -------- 22:00 0.07 0.27 0.03
 -------- 23:00 0.06 0.26 0.02
 -------- 00:00 0.06 0.19 0.01
 21.03.13 01:00 0.06 0.15 0.01
 -------- 02:00 0.05 0.15 0.01
 -------- 03:00 0.04 0.13 0.01
 -------- 04:00 0.04 0.14 0.01
 -------- 05:00 0.04 0.14 0.01
 21.03.13 06:00 0.04 0.19 0.01
 -------- 07:00 0.05 0.18 0.01
 -------- 08:00 0.06 0.19 0.02
 -------- 09:00 0.06 0.18 0.02
 -------- 10:00 0.06 0.14 0.03
 21.03.13 11:00 0.06 0.12 0.03
 -------- 12:00 0.06 0.12 0.03
 -------- 13:00 0.06 0.11 0.03
 -------- 14:00 0.06 0.09 0.02
 -------- 15:00 0.06 0.10 0.02
 21.03.13 16:00 0.06 0.11 0.02
 -------- 17:00 0.06 0.14 0.03
 -------- 18:00 0.06 0.13 0.02
 -------- 19:00 0.07 0.18 0.01
 -------- 20:00 0.07 0.17 0.01
 21.03.13 21:00 0.07 0.21 0.01
 -------- 22:00 0.08 0.26 0.01
 -------- 23:00 0.11 0.42 0.08
