 Date Time CO NO2 NO
 01.04.13 12:00 0.08 0.18 0.02
 -------- 13:00 0.08 0.20 0.03
 -------- 14:00 0.08 0.28 0.08
 -------- 15:00 0.08 0.25 0.08
 -------- 16:00 0.09 0.24 0.05
 01.04.13 17:00 0.11 0.28 0.06
 -------- 18:00 0.10 0.32 0.06
 -------- 19:00 0.12 0.38 0.09
 -------- 20:00 0.12 0.38 0.07
 -------- 21:00 0.13 0.40 0.06
 01.04.13 22:00 0.11 0.31 0.03
 -------- 23:00 0.10 0.26 0.02
 -------- 00:00 0.09 0.20 0.01
 -------- 01:00 0.08 0.22 0.01
 -------- 02:00 0.08 0.20 0.01
 02.04.13 03:00 0.08 0.16 0.01
 -------- 04:00 0.08 0.15 0.01
 -------- 05:00 0.08 0.17 0.01
 -------- 06:00 0.08 0.19 0.01
 -------- 07:00 0.09 0.22 0.01
 02.04.13 08:00 0.10 0.25 0.02
 -------- 09:00 0.10 0.20 0.03
 -------- 10:00 0.09 0.15 0.02
 -------- 11:00 0.08 0.12 0.02
 -------- 12:00 0.09 0.14 0.02
 02.04.13 13:00 0.09 0.12 0.02
 -------- 14:00 0.09 0.13 0.02
 -------- 15:00 0.09 0.12 0.02
 -------- 16:00 0.08 0.11 0.02
 -------- 17:00 0.08 0.14 0.02
 02.04.13 18:00 0.10 0.18 0.02
 -------- 19:00 0.09 0.19 0.02
 -------- 20:00 0.09 0.20 0.02
 -------- 21:00 0.08 0.20 0.01
 -------- 22:00 0.08 0.17 0.01
 02.04.13 23:00 0.08 0.21 0.01
 -------- 00:00 0.09 0.27 0.01
 -------- 01:00 0.10 0.27 0.01
 -------- 02:00 0.10 0.23 0.01
 -------- 03:00 0.09 0.25 0.01
 03.04.13 04:00 0.08 0.23 0.01
 -------- 05:00 0.09 0.25 0.01
 -------- 06:00 0.10 0.30 0.01
 -------- 07:00 0.11 0.41 0.03
 -------- 08:00 0.12 0.40 0.04
 03.04.13 09:00 0.13 0.36 0.04
 -------- 10:00 0.12 0.26 0.03
 -------- 11:00 0.11 0.26 0.04
 -------- 12:00 0.12 0.24 0.04
