 Date Time CO NO2 NO
 02.10.12 07:00 0.12 0.23 0.22
 -------- 08:00 0.11 0.16 0.13
 -------- 09:00 0.12 0.18 0.13
 -------- 10:00 0.11 0.22 0.12
 -------- 11:00 0.10 0.18 0.08
 02.10.12 12:00 0.08 0.13 0.04
 -------- 13:00 0.06 0.09 0.02
 -------- 14:00 0.04 0.06 0.01
 -------- 15:00 0.03 0.06 0.01
 -------- 16:00 0.05 0.14 0.02
 02.10.12 17:00 0.06 0.19 0.02
 -------- 18:00 0.07 0.21 0.02
 -------- 19:00 0.09 0.26 0.05
 -------- 20:00 0.12 0.26 0.08
 -------- 21:00 0.11 0.25 0.09
 02.10.12 22:00 0.11 0.25 0.10
 -------- 23:00 0.10 0.28 0.07
 -------- 00:00 0.12 0.27 0.08
 -------- 01:00 0.10 0.25 0.11
 -------- 02:00 0.10 0.20 0.14
 03.10.12 03:00 0.08 0.20 0.03
 -------- 04:00 0.07 0.15 0.02
 -------- 05:00 0.06 0.13 0.01
 -------- 06:00 0.06 0.13 0.01
 -------- 07:00 0.06 0.17 0.01
 03.10.12 08:00 0.07 0.23 0.05
 -------- 09:00 0.09 0.22 0.06
 -------- 10:00 0.09 0.21 0.06
 -------- 11:00 0.09 0.19 0.04
 -------- 12:00 0.08 0.17 0.03
 03.10.12 13:00 0.07 0.16 0.03
 -------- 14:00 0.07 0.16 0.04
 -------- 15:00 0.07 0.17 0.05
 -------- 16:00 0.08 0.19 0.05
 -------- 17:00 0.08 0.22 0.08
 03.10.12 18:00 0.10 0.21 0.09
 -------- 19:00 0.10 0.19 0.08
 -------- 20:00 0.11 0.19 0.07
 -------- 21:00 0.13 0.17 0.13
 -------- 22:00 0.14 0.17 0.13
 03.10.12 23:00 0.14 0.17 0.17
