 Date Time CO NO2 NO
 24.01.13 12:00 0.07 0.23 0.05
 -------- 13:00 0.06 0.20 0.04
 -------- 14:00 0.04 0.16 0.03
 -------- 15:00 0.04 0.14 0.02
 -------- 16:00 0.04 0.18 0.03
 24.01.13 17:00 0.04 0.14 0.01
 -------- 18:00 0.03 0.13 0.01
 -------- 19:00 0.02 0.11 0.01
 -------- 20:00 0.05 0.17 0.01
 -------- 21:00 0.07 0.26 0.01
 24.01.13 22:00 0.06 0.21 0.01
 -------- 23:00 0.07 0.21 0.01
 -------- 00:00 0.06 0.17 0.01
 -------- 01:00 0.06 0.18 0.01
 -------- 02:00 0.06 0.18 0.01
 25.01.13 03:00 0.06 0.17 0.01
 -------- 04:00 0.06 0.18 0.01
 -------- 05:00 0.06 0.16 0.01
 -------- 06:00 0.06 0.18 0.01
 -------- 07:00 0.06 0.20 0.01
 25.01.13 08:00 0.07 0.24 0.02
 -------- 09:00 0.08 0.25 0.03
 -------- 10:00 0.08 0.22 0.03
 -------- 11:00 0.08 0.16 0.03
 -------- 12:00 0.08 0.18 0.05
 25.01.13 13:00 0.08 0.16 0.04
 -------- 14:00 0.07 0.11 0.03
 -------- 15:00 0.06 0.12 0.03
 -------- 16:00 0.08 0.16 0.03
 -------- 17:00 0.08 0.22 0.03
 25.01.13 18:00 0.09 0.28 0.03
 -------- 19:00 0.10 0.30 0.02
 -------- 20:00 0.10 0.28 0.02
 -------- 21:00 0.10 0.30 0.03
 -------- 22:00 0.11 0.33 0.08
 25.01.13 23:00 0.12 0.33 0.09
 -------- 00:00 0.12 0.33 0.08
 -------- 01:00 0.12 0.32 0.08
 -------- 02:00 0.10 0.31 0.08
 -------- 03:00 0.09 0.32 0.09
 26.01.13 04:00 0.09 0.29 0.06
 -------- 05:00 0.06 0.14 0.01
 -------- 06:00 0.06 0.17 0.01
 -------- 07:00 0.06 0.22 0.01
 -------- 08:00 0.06 0.19 0.01
 26.01.13 09:00 0.07 0.21 0.02
 -------- 10:00 0.09 0.23 0.04
 -------- 11:00 0.11 0.25 0.07
