 Date Time CO SO2 OZ NO2 NO PM10
 05.01.13 00:00 0.06 0.00 0.01 0.31 0.09 0.05
 -------- 01:00 0.06 0.00 0.01 0.30 0.10 0.05
 -------- 02:00 0.06 0.01 ---- 0.29 0.11 0.07
 -------- 03:00 0.05 0.01 0.01 0.31 0.15 0.06
 -------- 04:00 0.04 0.01 ---- 0.32 0.11 0.04
 05.01.13 05:00 0.04 0.00 ---- 0.28 0.04 0.03
 -------- 06:00 0.04 0.00 0.03 0.29 0.09 0.03
 -------- 07:00 0.02 0.00 0.01 0.30 0.03 0.02
 -------- 08:00 0.03 0.00 ---- 0.34 0.10 0.03
 -------- 09:00 0.04 0.00 0.01 0.32 0.08 0.03
 05.01.13 10:00 0.04 0.00 0.01 0.30 0.07 0.03
 -------- 11:00 0.03 0.00 0.02 0.32 0.04 0.03
 -------- 12:00 0.02 0.00 0.05 0.35 0.03 0.03
 -------- 13:00 0.03 0.00 0.04 0.36 0.04 0.03
 -------- 14:00 0.04 0.00 0.05 0.33 0.04 0.03
 05.01.13 15:00 0.03 0.00 0.03 0.31 0.06 0.04
 -------- 16:00 0.03 0.00 0.03 0.28 0.04 0.03
 -------- 17:00 0.02 0.00 0.05 0.29 0.02 0.02
 -------- 18:00 0.02 0.00 0.03 0.30 0.03 0.02
 -------- 19:00 0.02 ---- 0.02 0.31 0.03 0.03
 05.01.13 20:00 0.02 0.00 0.02 0.31 0.04 0.02
 -------- 21:00 0.02 0.00 0.01 0.31 0.03 0.02
 -------- 22:00 0.02 0.00 0.02 0.29 0.02 0.02
 -------- 23:00 0.02 0.00 0.02 0.30 0.04 0.03
 -------- 00:00 ---- 0.00 0.04 0.28 0.01 0.03
 06.01.13 01:00 ---- 0.00 0.05 0.26 0.01 0.02
 -------- 02:00 0.02 0.00 0.04 0.27 0.01 0.03
 -------- 03:00 0.03 0.00 0.11 0.21 0.08 0.03
 -------- 04:00 0.02 0.00 0.11 0.20 0.00 0.02
 -------- 05:00 0.02 0.00 0.10 0.20 ---- 0.02
 06.01.13 06:00 0.02 ---- 0.12 0.18 ---- 0.02
 -------- 07:00 0.02 0.00 0.09 0.21 0.01 0.02
 -------- 08:00 0.02 0.00 0.08 0.20 0.00 0.02
 -------- 09:00 0.02 0.00 0.07 0.21 0.01 0.02
 -------- 10:00 0.02 0.00 0.04 0.22 0.02 0.03
 06.01.13 11:00 0.03 0.00 0.04 0.21 0.02 0.03
 -------- 12:00 0.03 0.00 0.05 0.20 0.03 0.03
 -------- 13:00 0.03 0.00 0.06 0.20 0.03 0.03
 -------- 14:00 0.04 0.00 0.06 0.21 0.03 0.03
 -------- 15:00 0.03 0.00 0.09 0.23 0.03 0.03
 06.01.13 16:00 0.02 0.00 0.11 0.23 0.04 0.03
 -------- 17:00 0.02 0.00 0.11 0.23 0.01 0.02
 -------- 18:00 0.02 0.00 0.09 0.24 0.01 0.02
 -------- 19:00 0.02 0.00 0.15 0.18 0.00 0.02
 -------- 20:00 0.02 ---- 0.12 0.19 0.00 0.02
 06.01.13 21:00 0.02 ---- 0.10 0.17 0.00 0.02
 -------- 22:00 0.02 0.00 0.12 0.18 0.00 0.02
 -------- 23:00 0.02 0.00 0.14 0.17 0.00 0.02
