 Date Time CO SO2 OZ NO2 NO PM10
 12.10.12 12:00 0.27 0.02 0.02 0.54 0.47 0.13
 -------- 13:00 0.23 0.02 0.02 0.44 0.33 0.12
 -------- 14:00 0.15 0.01 0.01 0.40 0.22 0.10
 -------- 15:00 0.07 0.01 0.02 0.43 0.25 0.13
 -------- 16:00 0.04 0.01 0.01 0.40 0.27 0.14
 12.10.12 17:00 0.03 0.01 0.01 0.31 0.14 0.12
 -------- 18:00 0.03 0.01 0.01 0.30 0.17 0.10
 -------- 19:00 0.05 0.01 ---- 0.27 0.18 0.10
 -------- 20:00 0.02 0.01 ---- 0.27 0.10 0.07
 -------- 21:00 ---- 0.00 0.01 0.27 0.06 0.05
 12.10.12 22:00 0.02 0.00 0.01 0.28 0.06 0.04
 -------- 23:00 ---- 0.00 0.03 0.26 0.02 0.03
