 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 02.05.13 00:00 0.14 0.01 0.03 0.36 0.08 0.11 ----
 -------- 01:00 0.19 0.01 0.01 0.38 0.39 0.23 ----
 -------- 02:00 0.17 0.01 0.01 0.35 0.30 0.19 ----
 -------- 03:00 0.15 0.01 0.01 0.35 0.31 0.19 ----
 -------- 04:00 0.13 0.01 0.01 0.32 0.21 0.13 ----
 02.05.13 05:00 0.12 0.01 0.01 0.31 0.25 0.12 ----
 -------- 06:00 0.13 0.01 0.01 0.31 0.27 0.15 ----
 -------- 07:00 0.12 0.02 0.02 0.32 0.23 0.18 ----
 -------- 08:00 0.12 0.01 0.07 0.29 0.15 0.12 ----
 -------- 09:00 0.12 0.02 0.07 0.33 0.19 0.15 ----
 02.05.13 10:00 0.09 0.01 0.25 0.20 0.07 0.07 ----
 -------- 11:00 0.06 0.01 0.41 0.13 0.02 0.02 ----
 -------- 12:00 0.06 0.01 0.47 0.12 0.02 0.03 ----
 -------- 13:00 0.06 0.01 0.50 0.11 0.01 0.03 ----
 -------- 14:00 0.06 0.01 0.52 0.11 0.01 0.04 ----
 02.05.13 15:00 0.06 0.01 0.55 0.11 0.02 0.03 ----
 -------- 16:00 0.06 0.01 0.56 0.12 0.02 0.04 ----
 -------- 17:00 0.06 0.01 0.57 0.11 0.02 0.04 ----
 -------- 18:00 0.06 0.01 0.57 0.11 0.01 0.03 ----
 -------- 19:00 0.06 0.01 0.55 0.12 0.01 0.04 ----
 02.05.13 20:00 0.06 0.01 0.50 0.14 0.02 0.05 ----
 -------- 21:00 0.06 0.01 0.45 0.16 0.02 0.06 ----
 -------- 22:00 0.07 0.01 0.30 0.25 0.04 0.10 ----
 -------- 23:00 0.09 0.01 0.30 0.24 0.04 0.10 ----
 -------- 00:00 0.09 0.01 0.45 0.20 0.03 0.10 ----
 03.05.13 01:00 0.08 0.01 0.46 0.19 0.02 0.09 ----
 -------- 02:00 0.07 0.01 0.50 0.17 0.01 0.09 ----
 -------- 03:00 0.07 0.01 0.50 0.15 0.01 0.09 ----
 -------- 04:00 0.07 0.01 0.47 0.15 0.01 0.07 ----
 -------- 05:00 0.06 0.01 0.45 0.15 0.01 0.06 ----
 03.05.13 06:00 0.06 0.01 0.42 0.16 0.01 0.06 ----
 -------- 07:00 0.06 0.01 0.41 0.16 0.01 0.06 ----
 -------- 08:00 0.06 0.01 0.36 0.19 0.02 0.07 ----
 -------- 09:00 0.08 0.01 0.31 0.23 0.04 0.10 ----
 -------- 10:00 0.08 0.01 0.30 0.24 0.05 0.11 ----
 03.05.13 11:00 0.08 0.01 0.35 0.23 0.05 0.11 ----
 -------- 12:00 0.08 0.01 0.35 0.25 0.05 0.12 ----
 -------- 13:00 0.08 0.01 0.46 0.21 0.04 0.10 ----
 -------- 14:00 0.07 0.01 0.51 0.19 0.03 0.08 ----
 -------- 15:00 0.06 0.01 0.51 0.19 0.03 0.09 ----
 03.05.13 16:00 0.06 0.01 0.51 0.20 0.04 0.09 ----
 -------- 17:00 0.06 0.01 0.53 0.19 0.03 0.09 ----
 -------- 18:00 0.06 0.01 0.50 0.21 0.03 0.08 ----
 -------- 19:00 0.07 0.02 0.48 0.21 0.04 0.09 ----
 -------- 20:00 0.08 0.02 0.42 0.24 0.05 0.09 ----
 03.05.13 21:00 0.09 0.01 0.30 0.28 0.07 0.11 ----
 -------- 22:00 0.10 0.00 0.26 0.27 0.09 0.13 ----
 -------- 23:00 0.10 0.01 0.17 0.32 0.10 0.14 ----
