 Date Time CO SO2 OZ NO2 NO PM10
 28.09.12 12:00 0.02 0.00 0.62 0.14 0.01 0.09
 -------- 13:00 0.02 0.01 0.67 0.13 0.01 0.10
 -------- 14:00 0.02 0.01 0.70 0.15 0.01 0.10
 -------- 15:00 0.02 0.01 0.69 0.16 0.01 0.09
 -------- 16:00 0.02 0.01 0.65 0.20 0.00 0.09
 28.09.12 17:00 0.03 0.01 0.67 0.19 0.00 0.09
 -------- 18:00 0.04 0.01 0.64 0.24 0.00 0.08
 -------- 19:00 0.04 0.00 0.63 0.21 ---- 0.07
 -------- 20:00 0.04 0.00 0.66 0.19 ---- 0.10
 -------- 21:00 0.02 0.00 0.74 0.13 ---- 0.14
 28.09.12 22:00 ---- 0.00 0.47 0.14 0.00 0.04
 -------- 23:00 ---- 0.00 0.40 0.17 0.00 0.02
 -------- 00:00 ---- ---- 0.38 0.13 0.00 0.02
 -------- 01:00 ---- ---- 0.34 0.12 0.00 0.02
 -------- 02:00 ---- ---- 0.31 0.12 0.00 0.02
 29.09.12 03:00 ---- ---- 0.28 0.11 ---- 0.02
 -------- 04:00 ---- ---- 0.26 0.11 0.01 0.02
 -------- 05:00 ---- ---- 0.27 0.11 0.00 0.02
 -------- 06:00 ---- ---- 0.24 0.13 0.00 0.03
 -------- 07:00 ---- ---- 0.25 0.12 0.00 0.03
 29.09.12 08:00 ---- ---- 0.20 0.14 0.00 0.03
 -------- 09:00 0.02 0.00 0.18 0.19 0.01 0.03
 -------- 10:00 0.02 0.00 0.22 0.16 0.01 0.03
 -------- 11:00 0.02 ---- 0.30 0.12 0.01 0.03
 -------- 12:00 0.02 ---- 0.33 0.13 0.01 0.03
 29.09.12 13:00 0.02 ---- 0.42 0.10 0.01 0.02
 -------- 14:00 ---- ---- 0.45 0.09 0.00 0.03
 -------- 15:00 ---- ---- 0.45 0.08 0.01 0.03
 -------- 16:00 ---- ---- 0.42 0.12 0.01 0.02
 -------- 17:00 0.02 ---- 0.46 0.10 0.01 0.03
 29.09.12 18:00 0.02 ---- 0.40 0.17 0.01 0.03
 -------- 19:00 0.02 ---- 0.26 0.24 0.01 0.04
 -------- 20:00 0.04 0.00 0.14 0.32 0.02 0.07
 -------- 21:00 0.06 0.00 0.09 0.34 0.02 0.07
 -------- 22:00 0.07 0.00 0.03 0.38 0.05 0.07
 29.09.12 23:00 0.07 0.00 0.02 0.39 0.04 0.06
 -------- 00:00 0.08 0.00 0.01 0.42 0.08 0.06
 -------- 01:00 0.05 0.00 0.12 0.27 0.01 0.04
 -------- 02:00 0.04 ---- 0.13 0.26 0.00 0.05
 -------- 03:00 0.02 ---- 0.09 0.25 0.01 0.05
 30.09.12 04:00 0.02 ---- 0.14 0.22 0.00 0.04
 -------- 05:00 0.02 ---- 0.20 0.18 0.01 0.04
 -------- 06:00 ---- ---- 0.28 0.14 ---- 0.04
 -------- 07:00 ---- ---- 0.23 0.15 ---- 0.04
 -------- 08:00 ---- ---- 0.17 0.19 0.01 0.03
 30.09.12 09:00 0.02 ---- 0.15 0.20 0.02 0.03
 -------- 10:00 0.02 ---- 0.18 0.20 0.03 0.04
 -------- 11:00 0.02 0.00 0.22 0.19 0.02 0.04
