 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 15.04.13 00:00 0.13 0.01 0.09 0.39 0.08 0.12 ----
 -------- 01:00 0.12 0.01 0.21 0.34 0.08 0.10 ----
 -------- 02:00 0.07 0.01 0.37 0.29 0.06 0.07 ----
 -------- 03:00 0.06 0.01 0.51 0.24 0.04 0.07 ----
 -------- 04:00 0.05 0.01 0.49 0.22 0.04 0.06 ----
 15.04.13 05:00 0.04 0.01 0.45 0.21 0.04 0.06 ----
 -------- 06:00 0.05 0.01 0.38 0.20 0.05 0.07 ----
 -------- 07:00 0.06 0.00 0.26 0.23 0.06 0.07 ----
 -------- 08:00 0.09 0.01 0.09 0.31 0.13 0.12 ----
 -------- 09:00 0.11 0.01 0.19 0.33 0.13 0.17 ----
 15.04.13 10:00 0.11 0.01 0.27 0.35 0.13 0.18 ----
 -------- 11:00 0.11 0.01 0.29 0.36 0.13 0.20 ----
 -------- 12:00 0.10 0.01 0.51 0.33 0.09 0.12 ----
 -------- 13:00 0.10 0.01 0.51 0.35 0.08 0.14 ----
 -------- 14:00 0.09 0.01 0.54 0.36 0.08 0.13 ----
 15.04.13 15:00 0.08 0.01 0.63 0.34 0.05 0.11 ----
 -------- 16:00 0.08 0.01 0.68 0.32 0.05 0.09 ----
 -------- 17:00 0.08 0.01 0.71 0.31 0.07 0.08 ----
 -------- 18:00 0.08 0.01 0.72 0.33 0.07 0.09 ----
 -------- 19:00 0.08 0.01 0.72 0.34 0.07 0.10 ----
 15.04.13 20:00 0.09 0.01 0.61 0.36 0.08 0.13 ----
 -------- 21:00 0.13 0.01 0.37 0.40 0.09 0.16 ----
 -------- 22:00 0.12 0.01 0.40 0.43 0.09 0.19 ----
 -------- 23:00 0.12 0.01 0.34 0.45 0.08 0.18 ----
 -------- 00:00 0.11 0.01 0.46 0.40 0.07 0.11 ----
 16.04.13 01:00 0.08 0.00 0.57 0.34 0.05 0.08 ----
 -------- 02:00 0.08 0.00 0.51 0.34 0.05 0.09 ----
 -------- 03:00 0.08 0.01 0.35 0.38 0.06 0.09 ----
 -------- 04:00 0.08 0.00 0.37 0.34 0.06 0.08 ----
 -------- 05:00 0.06 0.01 0.40 0.34 0.05 0.09 ----
 16.04.13 06:00 0.08 0.01 0.23 0.39 0.07 0.12 ----
 -------- 07:00 0.10 0.01 0.28 0.42 0.10 0.12 ----
 -------- 08:00 0.11 0.01 0.26 0.41 0.10 0.15 ----
 -------- 09:00 0.15 0.01 0.12 0.49 0.20 0.26 ----
 -------- 10:00 0.13 0.01 0.20 0.47 0.18 0.23 ----
 16.04.13 11:00 0.12 0.01 0.27 0.45 0.16 0.22 ----
 -------- 12:00 0.11 0.01 0.40 0.42 0.11 0.17 ----
 -------- 13:00 0.09 0.01 0.52 0.38 0.08 0.12 ----
 -------- 14:00 0.07 0.01 0.55 0.30 0.04 0.12 ----
 -------- 15:00 0.08 ---- 0.47 0.19 0.01 0.47 ----
 16.04.13 16:00 0.07 ---- 0.43 0.27 0.04 0.23 ----
 -------- 17:00 0.06 ---- 0.41 0.29 0.06 0.17 ----
 -------- 18:00 0.06 ---- 0.43 0.30 0.08 0.15 ----
 -------- 19:00 0.07 0.35 0.40 0.33 0.10 0.16 ----
 -------- 20:00 0.08 ---- 0.31 0.36 0.11 0.18 ----
 16.04.13 21:00 0.11 0.37 0.13 0.39 0.19 0.24 ----
 -------- 22:00 0.13 0.01 0.04 0.41 0.25 0.26 ----
 -------- 23:00 0.13 0.02 0.02 0.40 0.24 0.23 ----
