 Date Time CO SO2 OZ NO2 NO PM10
 19.11.12 00:00 ---- 0.00 0.32 0.08 0.00 0.02
 -------- 01:00 ---- 0.00 0.33 0.05 0.00 0.02
 -------- 02:00 ---- 0.00 0.33 0.05 ---- 0.01
 -------- 03:00 0.02 0.00 0.34 0.05 ---- 0.01
 -------- 04:00 0.02 0.00 0.32 0.06 ---- 0.02
 19.11.12 05:00 0.02 0.00 0.31 0.05 0.00 0.01
 -------- 06:00 0.02 0.00 0.30 0.06 0.00 0.02
 -------- 07:00 0.02 0.00 0.22 0.12 0.01 0.03
 -------- 08:00 0.02 0.00 0.17 0.15 0.01 0.05
 -------- 09:00 0.03 0.00 0.17 0.15 0.01 0.06
 19.11.12 10:00 0.02 0.00 0.23 0.10 0.01 0.06
 -------- 11:00 0.02 0.00 0.17 0.14 0.02 0.07
 -------- 12:00 0.02 0.00 0.19 0.12 0.01 0.06
 -------- 13:00 0.02 0.00 0.19 0.14 0.02 0.05
 -------- 14:00 0.02 0.00 0.13 0.18 0.02 0.06
 19.11.12 15:00 0.02 0.00 0.15 0.14 0.02 0.07
 -------- 16:00 0.02 0.00 0.14 0.16 0.02 0.09
 -------- 17:00 0.02 0.00 0.09 0.19 0.02 0.10
 -------- 18:00 0.03 0.00 0.05 0.20 0.02 0.12
 -------- 19:00 0.04 0.00 0.03 0.21 0.03 0.12
 19.11.12 20:00 0.04 0.00 0.04 0.20 0.03 0.11
 -------- 21:00 0.04 0.00 0.05 0.16 0.03 0.12
 -------- 22:00 0.03 0.00 0.05 0.16 0.02 0.13
 -------- 23:00 0.02 0.00 0.03 0.16 0.03 0.13
 -------- 00:00 0.02 0.00 0.02 0.17 0.03 0.13
 20.11.12 01:00 0.02 0.00 0.01 0.17 0.03 0.11
 -------- 02:00 0.02 0.00 0.01 0.16 0.03 0.09
 -------- 03:00 0.02 0.00 0.01 0.15 0.03 0.09
 -------- 04:00 0.02 0.00 0.02 0.14 0.03 0.07
 -------- 05:00 0.02 0.00 0.01 0.15 0.03 0.08
 20.11.12 06:00 0.02 0.00 0.01 0.15 0.05 0.08
 -------- 07:00 0.04 0.00 ---- 0.16 0.08 0.09
 -------- 08:00 0.05 0.00 0.01 0.16 0.07 0.09
 -------- 09:00 0.04 0.00 0.01 0.16 0.07 0.08
 -------- 10:00 0.04 0.00 0.01 0.18 0.09 0.09
 20.11.12 11:00 0.04 0.00 0.01 0.17 0.09 0.09
 -------- 12:00 0.05 0.01 0.01 0.18 0.15 0.11
 -------- 13:00 0.06 0.01 0.01 0.20 0.15 0.14
 -------- 14:00 0.05 0.01 0.03 0.23 0.11 0.13
 -------- 15:00 0.04 0.00 0.04 0.25 0.07 0.11
 20.11.12 16:00 0.03 0.00 0.05 0.26 0.05 0.08
 -------- 17:00 0.03 0.00 0.05 0.28 0.06 0.10
 -------- 18:00 0.04 0.00 0.06 0.27 0.05 0.11
 -------- 19:00 0.03 0.00 0.06 0.27 0.05 0.10
 -------- 20:00 0.03 0.00 0.04 0.25 0.04 0.10
 20.11.12 21:00 0.02 0.00 0.07 0.25 0.03 0.09
 -------- 22:00 0.02 0.00 0.08 0.24 0.03 0.08
 -------- 23:00 0.02 0.00 0.14 0.20 0.01 0.07
