 Date Time CO SO2 OZ NO2 NO PM10
 26.02.13 12:00 0.08 0.01 0.19 0.32 0.09 0.10
 -------- 13:00 0.06 0.00 0.28 0.26 0.06 0.08
 -------- 14:00 0.06 0.00 0.30 0.24 0.04 0.07
 -------- 15:00 0.06 ---- 0.31 0.27 0.04 0.08
 -------- 16:00 0.06 ---- 0.29 0.29 0.05 0.08
 26.02.13 17:00 0.06 ---- 0.29 0.30 0.04 0.06
 -------- 18:00 0.06 ---- 0.33 0.27 0.02 0.07
 -------- 19:00 0.06 ---- 0.27 0.30 0.02 0.08
 -------- 20:00 0.06 ---- 0.25 0.29 0.02 0.07
 -------- 21:00 0.06 0.00 0.29 0.26 0.01 0.06
 26.02.13 22:00 0.06 0.00 0.24 0.29 0.02 0.07
 -------- 23:00 0.06 0.00 0.24 0.29 0.02 0.07
 -------- 00:00 0.06 0.00 0.28 0.26 0.01 0.06
 -------- 01:00 0.06 0.01 0.30 0.24 0.01 0.05
 -------- 02:00 0.06 0.00 0.32 0.23 0.01 0.05
 27.02.13 03:00 0.04 0.00 0.34 0.21 0.01 0.06
 -------- 04:00 0.04 0.00 0.37 0.18 0.01 0.08
 -------- 05:00 0.04 0.00 0.39 0.17 0.01 0.05
 -------- 06:00 0.05 0.00 0.37 0.19 0.01 0.05
 -------- 07:00 0.06 0.00 0.29 0.24 0.02 0.06
 27.02.13 08:00 0.06 0.00 0.31 0.23 0.02 0.05
 -------- 09:00 0.06 0.00 0.29 0.24 0.02 0.06
 -------- 10:00 0.06 0.00 0.24 0.27 0.03 0.08
 -------- 11:00 0.06 0.00 0.26 0.25 0.03 0.06
 -------- 12:00 0.07 0.00 0.25 0.25 0.04 0.05
 27.02.13 13:00 0.06 0.00 0.27 0.22 0.03 0.05
 -------- 14:00 0.06 0.00 0.25 0.22 0.03 0.04
 -------- 15:00 0.06 0.00 0.23 0.24 0.05 0.04
 -------- 16:00 0.07 0.00 0.19 0.27 0.05 0.05
 -------- 17:00 0.07 0.00 0.22 0.25 0.04 0.03
 27.02.13 18:00 0.07 0.00 0.26 0.24 0.03 0.02
 -------- 19:00 0.07 0.00 0.24 0.25 0.03 0.03
 -------- 20:00 0.08 0.00 0.21 0.24 0.03 0.05
 -------- 21:00 0.08 0.00 0.10 0.28 0.03 0.06
 -------- 22:00 0.10 0.00 0.09 0.29 0.04 0.06
 27.02.13 23:00 0.10 0.01 0.06 0.32 0.08 0.11
 -------- 00:00 0.09 0.01 0.01 0.36 0.12 0.09
 -------- 01:00 0.07 0.00 0.11 0.27 0.04 0.06
 -------- 02:00 0.06 0.00 0.19 0.20 0.02 0.03
 -------- 03:00 0.06 0.00 0.22 0.19 0.01 0.03
 28.02.13 04:00 0.04 0.00 0.28 0.16 0.01 0.02
 -------- 05:00 0.04 0.00 0.33 0.14 0.01 0.02
 -------- 06:00 0.04 ---- 0.25 0.19 0.01 0.02
 -------- 07:00 0.05 0.00 0.20 0.24 0.02 0.02
 -------- 08:00 0.06 0.00 0.17 0.25 0.03 0.03
 28.02.13 09:00 0.06 0.00 0.17 0.25 0.04 0.03
 -------- 10:00 0.06 0.00 0.20 0.23 0.04 0.04
 -------- 11:00 0.06 0.00 0.23 0.21 0.03 0.03
