 Date Time CO SO2 OZ NO2 NO PM10
 09.11.12 12:00 0.04 0.01 0.06 0.19 0.05 0.03
 -------- 13:00 0.03 0.01 0.08 0.19 0.05 0.03
 -------- 14:00 0.02 0.01 0.06 0.20 0.05 0.02
 -------- 15:00 0.02 0.01 0.05 0.22 0.05 0.02
 -------- 16:00 0.02 0.01 0.05 0.22 0.04 0.02
 09.11.12 17:00 0.02 0.01 0.04 0.23 0.04 0.02
 -------- 18:00 0.02 0.01 0.03 0.25 0.06 0.03
 -------- 19:00 ---- 0.01 0.08 0.19 0.02 0.02
 -------- 20:00 ---- 0.01 0.09 0.19 0.02 0.02
 -------- 21:00 ---- 0.00 0.14 0.20 0.02 0.02
 09.11.12 22:00 ---- 0.00 0.21 0.17 0.02 0.02
 -------- 23:00 0.02 0.00 0.19 0.18 0.02 0.02
 -------- 00:00 ---- 0.00 0.31 0.13 0.01 0.02
 -------- 01:00 ---- 0.00 0.32 0.14 0.01 0.02
 -------- 02:00 ---- 0.00 0.34 0.14 0.01 0.02
 10.11.12 03:00 ---- 0.00 0.28 0.17 0.01 0.02
 -------- 04:00 ---- 0.00 0.18 0.23 0.02 0.03
 -------- 05:00 ---- 0.00 0.22 0.16 0.01 0.02
 -------- 06:00 ---- 0.00 0.19 0.18 0.01 0.03
 -------- 07:00 ---- 0.00 0.17 0.19 0.02 0.03
 10.11.12 08:00 ---- 0.00 0.16 0.21 0.02 0.03
 -------- 09:00 0.02 0.00 0.14 0.23 0.04 0.04
 -------- 10:00 0.02 0.00 0.07 0.27 0.05 0.05
 -------- 11:00 0.02 0.00 0.09 0.26 0.05 0.05
 -------- 12:00 0.02 0.00 0.12 0.23 0.05 0.05
 10.11.12 13:00 0.02 0.00 0.14 0.24 0.04 0.05
 -------- 14:00 0.02 0.00 0.17 0.25 0.04 0.04
 -------- 15:00 0.02 0.00 0.30 0.18 0.02 0.03
 -------- 16:00 0.02 0.00 0.18 0.27 0.04 0.05
 -------- 17:00 0.02 0.00 0.17 0.26 0.03 0.04
 10.11.12 18:00 0.02 0.00 0.15 0.27 0.02 0.05
 -------- 19:00 0.03 0.00 0.08 0.33 0.03 0.06
 -------- 20:00 0.02 0.00 0.01 0.35 0.04 0.06
 -------- 21:00 0.04 0.00 0.01 0.38 0.08 0.07
 -------- 22:00 0.07 0.01 0.01 0.39 0.22 0.09
 10.11.12 23:00 0.10 0.01 0.01 0.39 0.27 0.12
 -------- 00:00 0.11 0.01 0.01 0.38 0.26 0.14
 -------- 01:00 0.14 0.01 0.01 0.36 0.30 0.16
 -------- 02:00 0.14 0.01 ---- 0.34 0.24 0.13
 -------- 03:00 0.15 0.02 0.01 0.39 0.52 0.17
 11.11.12 04:00 0.10 0.01 0.02 0.36 0.15 0.09
 -------- 05:00 0.05 0.01 0.02 0.35 0.07 0.06
 -------- 06:00 ---- 0.00 0.06 0.31 0.01 0.04
 -------- 07:00 ---- 0.00 0.07 0.29 0.01 0.04
 -------- 08:00 ---- 0.00 0.03 0.33 0.03 0.06
 11.11.12 09:00 ---- 0.00 0.03 0.31 0.02 0.06
 -------- 10:00 ---- 0.00 0.08 0.28 0.04 0.06
 -------- 11:00 ---- 0.00 0.20 0.20 0.03 0.06
