 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 22.12.12 00:00 0.02 0.02 0.02 0.38 0.19 0.09 ----
 -------- 01:00 ---- 0.02 0.01 0.38 0.17 0.08 ----
 -------- 02:00 0.04 0.02 0.02 0.39 0.17 0.08 ----
 -------- 03:00 0.03 0.02 0.01 0.38 0.18 0.08 ----
 -------- 04:00 0.03 0.02 0.01 0.40 0.19 0.08 ----
 22.12.12 05:00 0.02 0.02 0.01 0.39 0.17 0.09 ----
 -------- 06:00 0.02 0.01 0.02 0.40 0.16 0.09 ----
 -------- 07:00 0.04 0.01 0.01 0.41 0.13 ---- ----
 -------- 08:00 0.03 0.02 0.01 0.42 0.19 ---- ----
 -------- 09:00 0.03 0.02 0.01 0.43 0.19 ---- ----
 22.12.12 10:00 0.04 0.02 0.02 0.44 0.21 ---- ----
 -------- 11:00 0.03 0.02 0.03 0.43 0.14 ---- ----
 -------- 12:00 0.04 0.02 0.04 0.41 0.12 ---- ----
 -------- 13:00 0.04 0.03 0.06 0.41 0.11 ---- ----
 -------- 14:00 0.05 0.04 0.06 0.44 0.16 ---- ----
 22.12.12 15:00 0.03 0.02 0.08 0.42 0.09 ---- ----
 -------- 16:00 0.02 0.01 0.09 0.41 0.04 ---- ----
 -------- 17:00 ---- 0.01 0.05 0.43 0.03 ---- ----
 -------- 18:00 0.02 0.01 0.03 0.44 0.03 ---- ----
 -------- 19:00 0.02 0.01 0.02 0.43 0.03 ---- ----
 22.12.12 20:00 0.02 0.01 0.02 0.44 0.04 ---- ----
 -------- 21:00 0.02 0.01 0.06 0.40 0.02 ---- ----
 -------- 22:00 0.03 0.01 0.07 0.38 0.01 ---- ----
 -------- 23:00 0.03 0.01 0.04 0.38 0.02 ---- ----
 -------- 00:00 0.04 0.01 0.02 0.39 0.03 ---- ----
 23.12.12 01:00 0.04 0.01 0.02 0.39 0.03 ---- ----
 -------- 02:00 0.03 0.01 0.01 0.38 0.04 ---- ----
 -------- 03:00 0.04 0.00 0.01 0.37 0.04 ---- ----
 -------- 04:00 0.02 0.00 0.01 0.36 0.02 ---- ----
 -------- 05:00 0.02 0.00 0.01 0.36 0.02 ---- ----
 23.12.12 06:00 0.02 0.00 0.04 0.38 0.02 ---- ----
 -------- 07:00 0.02 0.00 0.01 0.40 0.03 0.04 ----
 -------- 08:00 0.02 0.00 0.02 0.40 0.03 0.04 ----
 -------- 09:00 0.04 0.00 0.01 0.44 0.05 0.05 ----
 -------- 10:00 0.05 0.01 0.02 0.44 0.08 0.05 ----
 23.12.12 11:00 0.06 0.01 0.05 0.40 0.10 0.05 ----
 -------- 12:00 0.07 0.01 0.06 0.39 0.12 0.06 ----
 -------- 13:00 0.08 0.02 0.06 0.40 0.15 0.07 ----
 -------- 14:00 0.11 0.02 0.05 0.44 0.20 0.08 ----
 -------- 15:00 0.12 0.02 0.04 0.47 0.20 0.08 ----
 23.12.12 16:00 0.14 0.01 0.03 0.49 0.21 0.08 ----
 -------- 17:00 0.14 0.01 0.03 0.51 0.20 0.06 ----
 -------- 18:00 0.05 0.01 0.01 0.51 0.16 0.05 ----
 -------- 19:00 0.02 0.01 0.02 0.50 0.14 0.05 ----
 -------- 20:00 0.03 0.01 0.01 0.49 0.12 0.05 ----
 23.12.12 21:00 0.02 0.01 0.02 0.50 0.10 0.05 ----
 -------- 22:00 ---- 0.00 0.02 0.47 0.04 0.03 ----
 -------- 23:00 ---- 0.00 0.02 0.46 0.05 0.03 ----
