 Date Time CO SO2 OZ NO2 NO PM10
 10.01.13 00:00 ---- 0.00 0.25 0.19 0.02 0.03
 -------- 01:00 ---- 0.00 0.25 0.19 0.02 0.03
 -------- 02:00 ---- ---- 0.36 0.12 0.01 0.03
 -------- 03:00 ---- ---- 0.33 0.12 0.01 0.03
 -------- 04:00 ---- ---- 0.30 0.13 0.02 0.03
 10.01.13 05:00 ---- ---- 0.31 0.12 0.01 0.02
 -------- 06:00 0.02 ---- 0.29 0.14 0.01 0.03
 -------- 07:00 0.02 ---- 0.26 0.18 0.02 0.03
 -------- 08:00 0.02 ---- 0.20 0.21 0.02 0.03
 -------- 09:00 0.03 ---- 0.15 0.25 0.03 0.03
 10.01.13 10:00 0.04 ---- 0.13 0.25 0.03 0.03
 -------- 11:00 0.04 ---- 0.14 0.25 0.04 0.04
 -------- 12:00 0.04 ---- 0.17 0.22 0.04 0.04
 -------- 13:00 0.04 0.00 0.21 0.21 0.04 0.04
 -------- 14:00 0.04 0.00 0.19 0.22 0.04 0.03
 10.01.13 15:00 0.02 0.00 0.24 0.20 0.03 0.03
 -------- 16:00 0.03 ---- 0.20 0.22 0.03 0.04
 -------- 17:00 0.02 ---- 0.20 0.23 0.03 0.04
 -------- 18:00 0.03 ---- 0.15 0.26 0.02 0.05
 -------- 19:00 0.02 ---- 0.18 0.23 0.02 0.04
 10.01.13 20:00 0.02 ---- 0.22 0.22 0.02 0.04
 -------- 21:00 0.02 0.00 0.21 0.22 0.02 0.04
 -------- 22:00 0.02 0.00 0.14 0.26 0.03 0.06
 -------- 23:00 0.02 0.00 0.18 0.23 0.02 0.05
 -------- 00:00 0.02 0.00 0.21 0.22 0.02 0.04
 11.01.13 01:00 ---- 0.00 0.20 0.21 0.02 0.05
 -------- 02:00 0.03 0.00 0.13 0.25 0.02 0.05
 -------- 03:00 0.02 0.00 0.21 0.20 0.02 0.04
 -------- 04:00 0.02 ---- 0.25 0.17 0.02 0.03
 -------- 05:00 0.02 ---- 0.23 0.21 0.02 0.03
 11.01.13 06:00 0.02 0.00 0.10 0.29 0.03 0.05
 -------- 07:00 0.04 ---- 0.03 0.32 0.04 0.06
 -------- 08:00 0.04 ---- 0.06 0.31 0.04 0.05
 -------- 09:00 0.04 ---- 0.07 0.32 0.04 0.05
 -------- 10:00 0.05 ---- 0.04 0.36 0.08 0.06
 11.01.13 11:00 0.05 ---- 0.06 0.34 0.08 0.06
 -------- 12:00 0.04 ---- 0.09 0.31 0.09 0.07
 -------- 13:00 0.02 ---- 0.16 0.26 0.06 0.06
 -------- 14:00 0.02 ---- 0.15 0.28 0.07 0.07
 -------- 15:00 0.03 ---- 0.10 0.32 0.09 0.08
 11.01.13 16:00 0.05 ---- 0.05 0.35 0.16 0.11
 -------- 17:00 0.06 ---- 0.03 0.37 0.16 0.12
 -------- 18:00 0.06 ---- 0.01 0.36 0.11 0.11
 -------- 19:00 0.04 ---- 0.01 0.35 0.11 0.09
 -------- 20:00 0.04 ---- 0.01 0.33 0.12 0.09
 11.01.13 21:00 0.04 ---- 0.01 0.32 0.12 0.08
 -------- 22:00 0.03 ---- 0.01 0.32 0.11 0.08
 -------- 23:00 0.02 ---- 0.01 0.32 0.11 0.08
