 Date Time CO SO2 OZ NO2 NO PM10
 13.02.13 12:00 0.04 ---- 0.05 0.42 0.15 0.12
 -------- 13:00 0.02 ---- 0.08 0.40 0.12 0.11
 -------- 14:00 0.03 ---- 0.09 0.44 0.12 0.12
 -------- 15:00 0.04 ---- 0.08 0.44 0.11 0.11
 -------- 16:00 0.04 ---- 0.09 0.44 0.08 0.11
 13.02.13 17:00 0.04 ---- 0.07 0.46 0.07 0.10
 -------- 18:00 0.04 ---- 0.04 0.50 0.05 0.09
 -------- 19:00 0.06 ---- 0.01 0.54 0.07 0.09
 -------- 20:00 0.05 ---- 0.01 0.53 0.08 0.10
 -------- 21:00 0.04 ---- 0.01 0.51 0.07 0.09
 13.02.13 22:00 0.03 ---- 0.01 0.49 0.04 0.07
 -------- 23:00 0.02 ---- 0.05 0.41 0.01 0.06
 -------- 00:00 0.02 ---- 0.01 0.48 0.03 0.08
 -------- 01:00 ---- ---- 0.01 0.46 0.01 0.08
 -------- 02:00 ---- ---- 0.01 0.46 0.04 0.08
 14.02.13 03:00 ---- ---- 0.01 0.47 0.02 0.08
 -------- 04:00 ---- ---- 0.01 0.44 0.02 0.08
 -------- 05:00 ---- ---- 0.01 0.42 0.02 0.07
 -------- 06:00 0.04 ---- 0.01 0.43 0.04 0.07
 -------- 07:00 0.04 0.01 0.01 0.44 0.07 0.08
 14.02.13 08:00 0.04 0.01 0.01 0.43 0.05 0.07
 -------- 09:00 0.06 0.00 0.01 0.41 0.06 0.08
 -------- 10:00 0.06 0.00 0.03 0.40 0.11 0.09
 -------- 11:00 0.08 0.01 0.04 0.41 0.15 0.11
 -------- 12:00 0.08 0.01 0.05 0.42 0.14 0.11
 14.02.13 13:00 0.07 0.01 0.08 0.41 0.11 0.11
 -------- 14:00 0.06 0.01 0.10 0.41 0.10 0.11
 -------- 15:00 0.07 0.01 0.08 0.44 0.11 0.12
 -------- 16:00 0.05 0.01 0.09 0.44 0.07 0.10
 -------- 17:00 0.04 0.01 0.08 0.47 0.07 0.10
 14.02.13 18:00 0.05 0.01 0.03 0.53 0.09 0.09
 -------- 19:00 0.06 0.01 0.01 0.53 0.08 0.09
 -------- 20:00 0.04 0.00 0.02 0.51 0.04 0.08
 -------- 21:00 0.03 0.00 0.04 0.46 0.02 0.08
 -------- 22:00 0.03 0.01 0.02 0.49 0.05 0.08
 14.02.13 23:00 0.06 0.01 0.01 0.51 0.07 0.09
 -------- 00:00 0.05 0.01 0.01 0.51 0.07 0.09
 -------- 01:00 0.04 0.01 0.01 0.50 0.04 0.09
 -------- 02:00 0.03 0.01 0.04 0.42 0.01 0.08
 -------- 03:00 0.03 0.00 0.02 0.43 0.01 0.09
 15.02.13 04:00 0.02 0.00 0.04 0.41 0.01 0.09
 -------- 05:00 ---- 0.01 0.11 0.31 0.00 0.08
 -------- 06:00 0.02 0.01 0.08 0.41 0.02 0.09
 -------- 07:00 0.04 0.03 0.01 0.48 0.08 0.11
 -------- 08:00 0.04 0.04 0.01 0.49 0.10 0.10
 15.02.13 09:00 0.05 0.02 0.01 0.51 0.13 0.10
 -------- 10:00 0.05 0.02 0.02 0.47 0.07 0.11
 -------- 11:00 0.06 0.01 0.03 0.46 0.16 0.10
