 Date Time CO SO2 OZ NO2 NO PM10
 16.10.12 12:00 0.04 0.00 0.06 0.26 0.05 0.08
 -------- 13:00 0.04 0.00 0.06 0.26 0.07 0.09
 -------- 14:00 0.04 0.00 0.05 0.25 0.06 0.10
 -------- 15:00 0.04 0.00 0.05 0.26 0.07 0.09
 -------- 16:00 0.04 0.00 0.05 0.25 0.05 0.09
 16.10.12 17:00 0.04 0.00 0.03 0.27 0.07 0.10
 -------- 18:00 0.04 0.00 0.03 0.26 0.04 0.08
 -------- 19:00 0.03 0.00 0.01 0.27 0.08 0.11
 -------- 20:00 0.02 0.00 0.01 0.27 0.06 0.10
 -------- 21:00 0.02 0.00 0.01 0.25 0.06 0.08
 16.10.12 22:00 0.03 0.00 0.01 0.24 0.11 0.11
 -------- 23:00 0.03 0.00 0.01 0.22 0.07 0.10
 -------- 00:00 0.02 0.00 0.01 0.21 0.06 0.09
 -------- 01:00 0.02 0.00 0.01 0.20 0.05 0.09
 -------- 02:00 ---- 0.00 0.01 0.19 0.04 0.08
 17.10.12 03:00 ---- 0.00 ---- 0.16 0.03 0.08
 -------- 04:00 ---- 0.00 ---- 0.16 0.03 0.06
 -------- 05:00 0.02 0.00 ---- 0.16 0.05 0.06
 -------- 06:00 0.02 0.00 0.01 0.16 0.05 0.08
 -------- 07:00 0.03 0.00 0.01 0.16 0.08 0.08
 17.10.12 08:00 0.05 0.00 0.01 0.16 0.13 0.08
 -------- 09:00 0.09 0.01 ---- 0.17 0.19 0.09
 -------- 10:00 0.08 0.01 0.01 0.17 0.15 0.12
 -------- 11:00 0.08 0.01 0.01 0.18 0.17 0.13
 -------- 12:00 0.08 0.01 0.01 0.15 0.16 0.13
 17.10.12 13:00 0.08 0.01 0.01 0.17 0.17 0.12
 -------- 14:00 0.08 0.01 0.03 0.20 0.15 0.11
 -------- 15:00 0.03 0.00 0.07 0.22 0.04 0.07
 -------- 16:00 0.02 0.00 0.05 0.29 0.06 0.07
 -------- 17:00 0.04 0.00 0.01 0.34 0.12 0.10
 17.10.12 18:00 0.06 0.01 0.01 0.34 0.10 0.10
 -------- 19:00 0.03 0.00 0.02 0.28 0.02 0.10
 -------- 20:00 0.02 0.00 0.01 0.25 0.02 0.10
 -------- 21:00 ---- 0.00 0.01 0.26 0.03 0.11
 -------- 22:00 ---- 0.00 0.02 0.28 0.02 0.14
 17.10.12 23:00 0.02 0.00 0.06 0.23 0.00 0.12
 -------- 00:00 ---- ---- 0.08 0.22 0.00 0.11
 -------- 01:00 0.02 ---- 0.10 0.21 ---- 0.10
 -------- 02:00 0.02 ---- 0.16 0.17 ---- 0.08
 -------- 03:00 ---- ---- 0.21 0.14 ---- 0.07
 18.10.12 04:00 ---- ---- 0.15 0.17 0.00 0.08
 -------- 05:00 ---- ---- 0.13 0.17 ---- 0.08
 -------- 06:00 ---- ---- 0.08 0.18 0.00 0.06
 -------- 07:00 0.02 0.00 0.01 0.19 0.09 0.06
 -------- 08:00 0.05 0.00 0.01 0.19 0.21 0.07
 18.10.12 09:00 0.07 0.01 0.01 0.19 0.20 0.07
 -------- 10:00 0.15 0.01 0.03 0.23 0.42 0.10
 -------- 11:00 0.12 0.01 0.01 0.27 0.32 0.11
