 Date Time CO SO2 OZ NO2 NO PM10
 24.12.12 12:00 0.07 ---- 0.03 0.55 0.33 0.10
 -------- 13:00 0.04 ---- 0.03 0.55 0.32 0.11
 -------- 14:00 0.05 ---- 0.05 0.55 0.29 0.11
 -------- 15:00 0.02 ---- 0.07 0.51 0.16 0.05
 -------- 16:00 0.04 ---- 0.03 0.57 0.32 0.09
 24.12.12 17:00 0.10 ---- 0.03 0.58 0.40 0.13
 -------- 18:00 0.07 ---- 0.02 0.51 0.30 0.11
 -------- 19:00 0.07 ---- 0.02 0.48 0.29 0.11
 -------- 20:00 0.05 ---- 0.02 0.48 0.24 0.09
 -------- 21:00 0.02 ---- 0.02 0.47 0.16 0.08
 24.12.12 22:00 ---- ---- 0.02 0.47 0.13 0.07
 -------- 23:00 ---- ---- 0.03 0.47 0.12 0.06
 -------- 00:00 0.03 ---- 0.02 0.46 0.10 0.05
 -------- 01:00 0.02 ---- 0.01 0.45 0.05 0.05
 -------- 02:00 ---- ---- 0.03 0.41 0.02 0.05
 25.12.12 03:00 ---- ---- 0.09 0.35 0.01 0.03
 -------- 04:00 ---- ---- 0.10 0.32 0.01 0.03
 -------- 05:00 ---- ---- 0.10 0.33 0.01 0.04
 -------- 06:00 ---- ---- 0.15 0.27 0.01 0.06
 -------- 07:00 ---- 0.01 0.08 0.33 0.02 0.05
 25.12.12 08:00 0.02 0.01 0.09 0.30 0.02 0.05
 -------- 09:00 0.02 0.01 0.09 0.29 0.02 0.04
 -------- 10:00 0.02 0.01 0.08 0.30 0.02 0.05
 -------- 11:00 0.02 0.01 0.12 0.27 0.02 0.05
 -------- 12:00 0.02 0.02 0.16 0.26 0.03 0.05
 25.12.12 13:00 0.02 0.02 0.19 0.25 0.02 0.06
 -------- 14:00 0.02 0.02 0.20 0.26 0.03 0.06
 -------- 15:00 0.02 0.03 0.23 0.24 0.02 0.07
 -------- 16:00 0.02 0.03 0.23 0.24 0.02 0.07
 -------- 17:00 0.02 0.03 0.19 0.25 0.02 0.08
 25.12.12 18:00 0.02 0.03 0.15 0.27 0.02 0.08
 -------- 19:00 0.03 0.03 0.11 0.29 0.02 0.08
 -------- 20:00 0.02 0.02 0.10 0.30 0.02 0.07
 -------- 21:00 ---- 0.02 0.11 0.28 0.01 0.07
 -------- 22:00 ---- 0.02 0.11 0.28 0.02 0.08
 25.12.12 23:00 ---- 0.02 0.17 0.26 0.01 0.06
 -------- 00:00 ---- 0.02 0.25 0.21 0.01 0.05
 -------- 01:00 ---- 0.02 0.28 0.19 0.01 0.04
 -------- 02:00 ---- 0.02 0.30 0.18 0.01 0.04
 -------- 03:00 ---- 0.02 0.32 0.18 0.01 0.05
 26.12.12 04:00 ---- 0.02 0.32 0.18 0.01 0.05
 -------- 05:00 ---- 0.01 0.31 0.18 0.01 0.05
 -------- 06:00 0.02 0.01 0.30 0.19 0.01 0.06
 -------- 07:00 0.02 ---- 0.23 0.23 0.02 0.06
 -------- 08:00 0.03 ---- 0.22 0.25 0.02 0.06
 26.12.12 09:00 0.04 ---- 0.18 0.27 0.02 0.06
 -------- 10:00 0.04 ---- 0.15 0.27 0.02 0.05
 -------- 11:00 0.04 ---- 0.17 0.25 0.02 0.04
