 Date Time CO SO2 OZ NO2 NO PM10
 07.04.13 12:00 0.06 ---- 0.42 0.11 0.01 0.04
 -------- 13:00 0.06 ---- 0.45 0.10 0.01 0.03
 -------- 14:00 0.06 ---- 0.43 0.12 0.01 0.03
 -------- 15:00 0.06 ---- 0.44 0.12 0.01 0.03
 -------- 16:00 0.06 ---- 0.41 0.14 0.01 0.04
 07.04.13 17:00 0.06 ---- 0.39 0.16 0.01 0.04
 -------- 18:00 0.06 ---- 0.38 0.15 0.01 0.03
 -------- 19:00 0.06 ---- 0.44 0.12 0.00 0.03
 -------- 20:00 0.06 ---- 0.45 0.10 0.00 0.03
 -------- 21:00 0.06 ---- 0.42 0.14 0.00 0.04
 07.04.13 22:00 0.06 ---- 0.35 0.18 0.00 0.04
 -------- 23:00 0.08 ---- 0.28 0.23 0.01 0.05
 -------- 00:00 0.07 ---- 0.26 0.21 0.00 0.05
 -------- 01:00 0.06 ---- 0.29 0.19 0.00 0.05
 -------- 02:00 0.06 ---- 0.24 0.21 ---- 0.04
 08.04.13 03:00 0.07 ---- 0.07 0.37 0.08 0.07
 -------- 04:00 0.11 ---- 0.01 0.40 0.22 0.09
 -------- 05:00 0.12 ---- 0.01 0.39 0.31 0.10
 -------- 06:00 0.13 ---- 0.01 0.40 0.35 0.09
 -------- 07:00 0.13 0.01 0.01 0.42 0.42 0.09
 08.04.13 08:00 0.16 0.01 0.02 0.43 0.34 0.10
 -------- 09:00 0.14 0.01 0.06 0.36 0.19 0.08
 -------- 10:00 0.09 0.00 0.21 0.28 0.07 0.07
 -------- 11:00 0.09 0.00 0.22 0.28 0.08 0.08
 -------- 12:00 0.07 0.01 0.33 0.20 0.04 0.07
 08.04.13 13:00 0.06 0.01 0.36 0.18 0.04 0.06
 -------- 14:00 0.06 0.01 0.43 0.14 0.02 0.05
 -------- 15:00 0.06 0.00 0.48 0.12 0.02 0.05
 -------- 16:00 0.05 0.00 0.51 0.11 0.01 0.05
 -------- 17:00 0.06 0.01 0.52 0.12 0.01 0.04
 08.04.13 18:00 0.06 0.00 0.57 0.11 0.01 0.04
 -------- 19:00 0.06 0.00 0.56 0.13 0.01 0.05
 -------- 20:00 0.06 0.00 0.43 0.22 0.01 0.06
 -------- 21:00 0.09 0.00 0.23 0.36 0.02 0.08
 -------- 22:00 0.08 0.00 0.12 0.41 0.00 0.10
 08.04.13 23:00 0.13 0.00 0.03 0.51 0.12 0.18
 -------- 00:00 0.20 0.01 0.02 0.54 0.32 0.26
 -------- 01:00 0.19 0.01 0.01 0.51 0.24 0.18
 -------- 02:00 0.17 0.01 0.02 0.51 0.22 0.15
 -------- 03:00 0.16 0.01 0.01 0.51 0.31 0.15
 09.04.13 04:00 0.18 0.01 0.01 0.54 0.46 0.14
 -------- 05:00 0.19 0.02 0.01 0.58 0.76 0.20
 -------- 06:00 0.19 0.02 0.01 0.56 0.63 0.17
 -------- 07:00 0.19 0.02 0.01 0.61 0.83 0.18
 -------- 08:00 0.18 0.02 0.02 0.53 0.44 0.16
 09.04.13 09:00 0.19 0.01 0.04 0.49 0.29 0.19
 -------- 10:00 0.18 0.02 0.07 0.54 0.29 0.21
 -------- 11:00 0.15 0.02 0.12 0.49 0.15 0.15
