 Date Time CO SO2 OZ NO2 NO PM10
 13.10.12 12:00 ---- ---- 0.12 0.17 0.03 0.03
 -------- 13:00 ---- ---- 0.19 0.15 0.02 0.02
 -------- 14:00 ---- ---- 0.17 0.16 0.02 0.03
 -------- 15:00 ---- ---- 0.21 0.14 0.02 0.03
 -------- 16:00 ---- ---- 0.20 0.16 0.02 0.03
 13.10.12 17:00 ---- ---- 0.13 0.22 0.02 0.05
 -------- 18:00 ---- ---- 0.14 0.21 0.02 0.04
 -------- 19:00 0.02 ---- 0.09 0.26 0.02 0.04
 -------- 20:00 0.05 0.00 0.02 0.31 0.06 0.06
 -------- 21:00 0.06 0.00 0.01 0.36 0.15 0.08
 13.10.12 22:00 0.07 0.00 0.01 0.35 0.13 0.08
 -------- 23:00 0.05 0.00 0.01 0.35 0.10 0.08
 -------- 00:00 0.03 0.00 0.01 0.31 0.05 0.06
 -------- 01:00 ---- 0.00 0.01 0.29 0.06 0.06
 -------- 02:00 ---- ---- 0.02 0.26 0.03 0.05
 14.10.12 03:00 ---- ---- 0.02 0.26 0.02 0.05
 -------- 04:00 ---- 0.00 0.01 0.24 0.08 0.05
 -------- 05:00 ---- 0.00 ---- 0.24 0.07 0.06
 -------- 06:00 ---- 0.00 ---- 0.23 0.09 0.05
 -------- 07:00 0.02 0.00 0.01 0.25 0.06 0.05
 14.10.12 08:00 0.02 0.00 0.01 0.29 0.08 0.04
 -------- 09:00 0.02 0.00 0.04 0.28 0.10 0.04
 -------- 10:00 0.02 0.00 0.10 0.25 0.06 0.04
 -------- 11:00 0.02 0.00 0.17 0.17 0.04 0.05
 -------- 12:00 ---- ---- 0.21 0.16 0.02 0.05
 14.10.12 13:00 ---- ---- 0.21 0.22 0.02 0.05
 -------- 14:00 ---- ---- 0.23 0.20 0.01 0.04
 -------- 15:00 0.02 ---- 0.18 0.21 0.02 0.05
 -------- 16:00 0.02 ---- 0.18 0.21 0.02 0.06
 -------- 17:00 0.02 ---- 0.18 0.21 0.02 0.06
 14.10.12 18:00 0.04 ---- 0.09 0.29 0.02 0.07
 -------- 19:00 0.04 ---- 0.05 0.31 0.02 0.08
 -------- 20:00 0.03 ---- 0.15 0.23 0.00 0.06
 -------- 21:00 0.02 ---- 0.18 0.23 0.00 0.06
 -------- 22:00 0.02 ---- 0.20 0.19 0.00 0.06
 14.10.12 23:00 ---- ---- 0.21 0.19 0.00 0.05
 -------- 00:00 ---- ---- 0.25 0.16 0.00 0.05
 -------- 01:00 ---- ---- 0.31 0.12 0.00 0.04
 -------- 02:00 ---- ---- 0.30 0.14 0.00 0.04
 -------- 03:00 0.02 ---- 0.24 0.16 ---- 0.05
 15.10.12 04:00 0.02 ---- 0.28 0.14 ---- 0.04
 -------- 05:00 0.02 ---- 0.22 0.17 0.00 0.04
 -------- 06:00 0.02 ---- 0.07 0.25 0.01 0.04
 -------- 07:00 0.03 0.00 0.02 0.31 0.04 0.06
 -------- 08:00 0.06 0.00 0.01 0.31 0.08 0.06
 15.10.12 09:00 0.10 0.00 0.02 0.32 0.18 0.07
 -------- 10:00 0.12 0.01 0.03 0.36 0.20 0.09
 -------- 11:00 0.10 0.01 0.07 0.34 0.10 0.10
