 Date Time CO SO2 OZ NO2 NO PM10
 19.09.12 12:00 0.03 0.01 0.42 0.15 0.01 0.07
 -------- 13:00 0.02 0.00 0.60 0.09 0.01 0.06
 -------- 14:00 ---- 0.00 0.66 0.09 0.01 0.06
 -------- 15:00 ---- 0.00 0.69 0.10 0.00 0.06
 -------- 16:00 ---- ---- 0.72 0.10 0.00 0.06
 19.09.12 17:00 0.02 0.00 0.68 0.14 0.00 0.08
 -------- 18:00 0.03 0.00 0.64 0.17 0.00 0.08
 -------- 19:00 0.04 0.00 0.51 0.25 0.01 0.08
 -------- 20:00 0.05 ---- 0.25 0.38 0.00 0.10
 -------- 21:00 0.06 0.00 0.19 0.38 0.00 0.09
 19.09.12 22:00 0.06 0.00 0.20 0.37 0.00 0.09
 -------- 23:00 0.06 0.00 0.26 0.31 0.00 0.09
 -------- 00:00 0.04 0.00 0.29 0.28 ---- 0.08
 -------- 01:00 0.04 0.00 0.34 0.24 ---- 0.08
 -------- 02:00 0.02 0.00 0.43 0.16 ---- 0.06
 20.09.12 03:00 0.02 0.00 0.52 0.11 ---- 0.05
 -------- 04:00 ---- 0.00 0.54 0.10 ---- 0.06
 -------- 05:00 ---- 0.00 0.52 0.10 ---- 0.05
 -------- 06:00 ---- 0.00 0.46 0.14 ---- 0.06
 -------- 07:00 0.02 0.00 0.25 0.28 0.01 0.07
 20.09.12 08:00 0.05 0.00 0.11 0.38 0.04 0.09
 -------- 09:00 0.06 0.01 0.12 0.38 0.07 0.12
 -------- 10:00 0.06 0.01 0.16 0.35 0.07 0.11
 -------- 11:00 0.07 0.01 0.23 0.30 0.06 0.11
 -------- 12:00 0.05 0.01 0.35 0.22 0.03 0.11
 20.09.12 13:00 0.02 0.01 0.51 0.17 0.01 0.09
 -------- 14:00 ---- 0.00 0.67 0.11 0.01 0.07
 -------- 15:00 ---- 0.00 0.72 0.10 0.01 0.08
 -------- 16:00 ---- 0.00 0.74 0.11 0.00 0.07
 -------- 17:00 ---- 0.00 0.75 0.12 0.00 0.06
 20.09.12 18:00 ---- 0.00 0.66 0.17 0.00 0.07
 -------- 19:00 0.02 0.00 0.47 0.28 0.00 0.08
 -------- 20:00 0.05 0.00 0.20 0.43 0.01 0.09
 -------- 21:00 0.06 0.00 0.12 0.46 0.01 0.10
 -------- 22:00 0.04 0.00 0.32 0.31 0.00 0.09
 20.09.12 23:00 0.02 0.00 0.44 0.21 ---- 0.08
 -------- 00:00 ---- 0.00 0.49 0.17 0.00 0.08
 -------- 01:00 ---- 0.00 0.52 0.13 ---- 0.07
 -------- 02:00 ---- 0.00 0.49 0.13 ---- 0.06
 -------- 03:00 ---- 0.00 0.47 0.13 ---- 0.06
 21.09.12 04:00 ---- 0.00 0.50 0.11 ---- 0.05
 -------- 05:00 ---- 0.00 0.49 0.12 ---- 0.05
 -------- 06:00 ---- 0.00 0.46 0.14 0.00 0.05
 -------- 07:00 ---- 0.00 0.15 0.34 0.02 0.07
 -------- 08:00 0.03 0.00 0.04 0.38 0.08 0.09
 21.09.12 09:00 0.04 0.01 0.09 0.37 0.09 0.10
 -------- 10:00 0.03 0.01 0.21 0.29 0.05 0.10
 -------- 11:00 0.02 0.01 0.31 0.24 0.03 0.09
