 Date Time CO SO2 OZ NO2 NO PM10
 21.03.13 12:00 0.08 0.01 0.28 0.16 0.05 0.03
 -------- 13:00 0.08 0.00 0.30 0.14 0.04 0.03
 -------- 14:00 0.08 0.00 0.32 0.13 0.03 0.04
 -------- 15:00 0.07 0.01 0.32 0.13 0.03 0.04
 -------- 16:00 0.06 0.00 0.34 0.13 0.02 0.03
 21.03.13 17:00 0.07 0.00 0.34 0.13 0.02 0.03
 -------- 18:00 0.07 0.00 0.35 0.13 0.02 0.03
 -------- 19:00 0.07 0.00 0.36 0.13 0.01 0.03
 -------- 20:00 0.08 0.00 0.36 0.14 0.01 0.03
 -------- 21:00 0.06 0.00 0.35 0.15 0.01 0.02
 21.03.13 22:00 0.06 0.01 0.31 0.23 0.07 0.03
 -------- 23:00 0.08 0.01 0.26 0.25 0.03 0.03
 -------- 00:00 0.06 0.00 0.28 0.21 0.01 0.02
 -------- 01:00 0.07 0.00 0.19 0.29 0.02 0.03
 -------- 02:00 0.09 0.00 0.05 0.39 0.07 0.05
 22.03.13 03:00 0.10 0.00 0.03 0.39 0.04 0.03
 -------- 04:00 0.11 0.01 0.01 0.40 0.10 0.03
 -------- 05:00 0.10 0.01 0.01 0.38 0.06 0.03
 -------- 06:00 0.09 0.01 0.01 0.38 0.07 0.03
 -------- 07:00 0.08 0.01 0.01 0.38 0.11 0.03
 22.03.13 08:00 0.09 0.01 0.03 0.36 0.17 0.05
 -------- 09:00 0.13 0.01 0.05 0.34 0.25 0.06
 -------- 10:00 0.16 0.02 0.06 0.34 0.29 0.06
 -------- 11:00 0.18 0.02 0.06 0.36 0.33 0.07
 -------- 12:00 0.15 0.02 0.10 0.32 0.21 0.06
 22.03.13 13:00 0.08 0.01 0.19 0.22 0.09 0.04
 -------- 14:00 0.06 0.01 0.24 0.19 0.06 0.03
 -------- 15:00 0.06 0.01 0.23 0.19 0.06 0.03
 -------- 16:00 0.06 0.01 0.23 0.19 0.06 0.03
 -------- 17:00 0.06 0.01 0.23 0.17 0.04 0.04
 22.03.13 18:00 0.07 0.01 0.21 0.19 0.03 0.03
 -------- 19:00 0.09 0.00 0.14 0.22 0.03 0.05
 -------- 20:00 0.07 0.00 0.11 0.23 0.02 0.03
 -------- 21:00 0.07 0.00 0.11 0.23 0.02 0.03
 -------- 22:00 0.06 0.00 0.13 0.18 0.01 0.02
 22.03.13 23:00 0.06 0.00 0.15 0.14 0.00 0.02
 -------- 00:00 0.06 0.00 0.14 0.14 0.01 0.02
 -------- 01:00 0.06 0.00 0.09 0.18 0.01 0.02
 -------- 02:00 0.06 0.00 0.09 0.17 0.01 0.03
 -------- 03:00 0.06 0.00 0.14 0.16 0.00 0.02
 23.03.13 04:00 0.06 0.00 0.15 0.17 0.00 0.03
 -------- 05:00 0.06 0.00 0.17 0.17 0.00 0.03
 -------- 06:00 0.06 0.00 0.15 0.19 0.00 0.02
 -------- 07:00 0.06 0.00 0.14 0.20 0.00 0.03
 -------- 08:00 0.07 0.00 0.12 0.22 0.02 0.03
 23.03.13 09:00 0.08 0.01 0.13 0.21 0.04 0.04
 -------- 10:00 0.08 0.01 0.16 0.19 0.04 0.04
 -------- 11:00 0.07 0.01 0.25 0.15 0.04 0.04
