 Date Time CO SO2 OZ NO2 NO PM10
 09.01.13 12:00 0.02 0.00 0.09 0.24 0.05 ----
 -------- 13:00 0.03 0.00 0.07 0.28 0.08 ----
 -------- 14:00 0.04 0.00 0.06 0.29 0.10 0.03
 -------- 15:00 0.04 0.00 0.06 0.27 0.07 ----
 -------- 16:00 0.03 0.00 0.11 0.25 0.05 0.07
 09.01.13 17:00 0.03 0.00 0.08 0.31 0.07 0.08
 -------- 18:00 0.04 0.00 0.01 0.37 0.12 0.09
 -------- 19:00 0.04 0.00 0.04 0.33 0.08 0.06
 -------- 20:00 0.03 0.00 0.07 0.31 0.07 0.06
 -------- 21:00 ---- 0.00 0.10 0.28 0.04 0.06
 09.01.13 22:00 ---- 0.00 0.10 0.29 0.04 0.04
 -------- 23:00 ---- 0.00 0.21 0.23 0.02 0.03
 -------- 00:00 ---- 0.00 0.25 0.20 0.02 0.03
 -------- 01:00 ---- 0.00 0.25 0.19 0.02 0.03
 -------- 02:00 ---- ---- 0.36 0.12 0.01 0.03
 10.01.13 03:00 ---- ---- 0.33 0.12 0.01 0.03
 -------- 04:00 ---- ---- 0.30 0.13 0.02 0.03
 -------- 05:00 ---- ---- 0.31 0.12 0.01 0.02
 -------- 06:00 0.02 ---- 0.29 0.14 0.01 0.03
 -------- 07:00 0.02 ---- 0.26 0.18 0.02 0.03
 10.01.13 08:00 0.02 ---- 0.20 0.21 0.02 0.03
 -------- 09:00 0.03 ---- 0.15 0.25 0.03 0.03
 -------- 10:00 0.04 ---- 0.13 0.25 0.03 0.03
 -------- 11:00 0.04 ---- 0.14 0.25 0.04 0.04
 -------- 12:00 0.04 ---- 0.17 0.22 0.04 0.04
 10.01.13 13:00 0.04 0.00 0.21 0.21 0.04 0.04
 -------- 14:00 0.04 0.00 0.19 0.22 0.04 0.03
 -------- 15:00 0.02 0.00 0.24 0.20 0.03 0.03
 -------- 16:00 0.03 ---- 0.20 0.22 0.03 0.04
 -------- 17:00 0.02 ---- 0.20 0.23 0.03 0.04
 10.01.13 18:00 0.03 ---- 0.15 0.26 0.02 0.05
 -------- 19:00 0.02 ---- 0.18 0.23 0.02 0.04
 -------- 20:00 0.02 ---- 0.22 0.22 0.02 0.04
 -------- 21:00 0.02 0.00 0.21 0.22 0.02 0.04
 -------- 22:00 0.02 0.00 0.14 0.26 0.03 0.06
 10.01.13 23:00 0.02 0.00 0.18 0.23 0.02 0.05
 -------- 00:00 0.02 0.00 0.21 0.22 0.02 0.04
 -------- 01:00 ---- 0.00 0.20 0.21 0.02 0.05
 -------- 02:00 0.03 0.00 0.13 0.25 0.02 0.05
 -------- 03:00 0.02 0.00 0.21 0.20 0.02 0.04
 11.01.13 04:00 0.02 ---- 0.25 0.17 0.02 0.03
 -------- 05:00 0.02 ---- 0.23 0.21 0.02 0.03
 -------- 06:00 0.02 0.00 0.10 0.29 0.03 0.05
 -------- 07:00 0.04 ---- 0.03 0.32 0.04 0.06
 -------- 08:00 0.04 ---- 0.06 0.31 0.04 0.05
 11.01.13 09:00 0.04 ---- 0.07 0.32 0.04 0.05
 -------- 10:00 0.05 ---- 0.04 0.36 0.08 0.06
 -------- 11:00 0.05 ---- 0.06 0.34 0.08 0.06
