 Date Time CO SO2 OZ NO2 NO PM10
 24.03.13 00:00 0.06 ---- 0.35 0.12 ---- 0.01
 -------- 01:00 0.06 ---- 0.36 0.11 0.00 0.02
 -------- 02:00 0.04 ---- 0.38 0.10 ---- 0.02
 -------- 03:00 0.04 ---- 0.41 0.09 ---- 0.02
 -------- 04:00 0.04 ---- 0.42 0.08 ---- 0.01
 24.03.13 05:00 0.04 ---- 0.43 0.08 ---- 0.02
 -------- 06:00 0.04 ---- 0.43 0.07 0.00 0.02
 -------- 07:00 0.04 ---- 0.43 0.08 ---- 0.02
 -------- 08:00 0.04 ---- 0.44 0.08 0.00 0.02
 -------- 09:00 0.04 ---- 0.41 0.10 0.01 0.03
 24.03.13 10:00 0.04 ---- 0.38 0.13 0.01 0.02
 -------- 11:00 0.04 ---- 0.33 0.17 0.02 0.03
 -------- 12:00 0.04 ---- 0.31 0.17 0.02 0.02
 -------- 13:00 0.04 ---- 0.31 0.17 0.03 0.02
 -------- 14:00 0.04 ---- 0.29 0.17 0.03 0.02
 24.03.13 15:00 0.04 ---- 0.33 0.14 0.02 0.03
 -------- 16:00 0.04 ---- 0.30 0.15 0.02 0.03
 -------- 17:00 0.04 ---- 0.30 0.15 0.02 0.02
 -------- 18:00 0.04 ---- 0.31 0.14 0.01 0.02
 -------- 19:00 0.04 ---- 0.28 0.17 0.01 0.02
 24.03.13 20:00 0.04 ---- 0.24 0.20 0.01 0.03
 -------- 21:00 0.06 0.00 0.22 0.20 0.01 0.02
 -------- 22:00 0.06 0.00 0.25 0.17 0.00 0.02
 -------- 23:00 0.05 0.00 0.25 0.17 0.01 0.02
 -------- 00:00 0.04 0.00 0.29 0.14 0.00 0.01
 25.03.13 01:00 0.04 0.00 0.31 0.12 0.00 0.01
 -------- 02:00 0.04 0.00 0.36 0.10 0.00 0.02
 -------- 03:00 0.04 0.00 0.39 0.09 0.00 0.02
 -------- 04:00 0.04 0.00 0.40 0.08 0.00 0.02
 -------- 05:00 0.04 0.00 0.41 0.08 0.01 0.02
 25.03.13 06:00 0.04 0.00 0.38 0.10 0.02 0.02
 -------- 07:00 0.05 0.00 0.36 0.12 0.01 0.02
 -------- 08:00 0.06 0.00 0.31 0.18 0.03 0.02
 -------- 09:00 0.06 0.00 0.36 0.12 0.01 0.02
 -------- 10:00 0.06 0.00 0.38 0.10 0.01 0.02
 25.03.13 11:00 0.06 0.00 0.39 0.11 0.02 0.03
 -------- 12:00 0.06 0.00 0.38 0.11 0.02 0.03
 -------- 13:00 0.06 0.01 0.38 0.12 0.03 0.02
 -------- 14:00 0.06 0.00 0.38 0.12 0.02 0.03
 -------- 15:00 0.06 0.00 0.40 0.10 0.02 0.03
 25.03.13 16:00 0.06 0.00 0.36 0.14 0.04 0.03
 -------- 17:00 0.06 0.00 0.42 0.10 0.02 0.03
 -------- 18:00 0.06 0.00 0.36 0.15 0.01 0.03
 -------- 19:00 0.07 0.00 0.32 0.19 0.01 0.03
 -------- 20:00 0.07 0.00 0.30 0.19 0.01 0.02
 25.03.13 21:00 0.08 0.00 0.29 0.18 0.01 0.02
 -------- 22:00 0.06 0.00 0.25 0.20 0.02 0.02
 -------- 23:00 0.06 0.00 0.22 0.21 0.01 0.01
