 Date Time CO SO2 OZ NO2 NO PM10
 16.02.13 12:00 0.09 0.02 0.02 0.61 0.46 0.15
 -------- 13:00 0.11 0.02 0.02 0.65 0.52 0.20
 -------- 14:00 0.15 0.02 0.03 0.70 0.57 0.23
 -------- 15:00 0.13 0.02 0.03 0.70 0.50 0.21
 -------- 16:00 0.09 0.02 0.02 0.64 0.38 0.19
 16.02.13 17:00 0.02 0.01 0.03 0.53 0.11 0.07
 -------- 18:00 0.04 0.00 0.03 0.47 0.04 0.05
 -------- 19:00 0.03 0.00 0.04 0.43 0.02 0.06
 -------- 20:00 0.02 0.00 0.09 0.36 0.01 0.03
 -------- 21:00 0.02 0.00 0.10 0.35 0.01 0.04
 16.02.13 22:00 0.02 0.00 0.05 0.38 0.02 0.05
 -------- 23:00 ---- 0.00 0.09 0.34 0.00 0.04
 -------- 00:00 0.02 0.00 0.08 0.37 0.00 0.04
 -------- 01:00 0.03 0.00 0.08 0.37 0.01 0.05
 -------- 02:00 0.02 0.00 0.18 0.26 ---- 0.05
 17.02.13 03:00 ---- 0.00 0.19 0.25 ---- 0.05
 -------- 04:00 0.02 0.00 0.26 0.18 0.00 0.04
 -------- 05:00 0.02 ---- 0.30 0.15 ---- 0.04
 -------- 06:00 0.02 ---- 0.25 0.20 0.01 0.05
 -------- 07:00 0.02 ---- 0.25 0.17 0.00 0.05
 17.02.13 08:00 0.03 ---- 0.21 0.21 ---- 0.05
 -------- 09:00 0.02 ---- 0.25 0.20 0.00 0.04
 -------- 10:00 0.04 ---- 0.15 0.29 0.02 0.06
 -------- 11:00 0.04 ---- 0.17 0.25 0.03 0.06
 -------- 12:00 0.04 ---- 0.20 0.24 0.03 0.06
 17.02.13 13:00 0.04 ---- 0.19 0.25 0.03 0.06
 -------- 14:00 0.03 ---- 0.17 0.31 0.05 0.06
 -------- 15:00 0.02 ---- 0.20 0.28 0.03 0.07
 -------- 16:00 0.02 ---- 0.23 0.27 0.02 0.05
 -------- 17:00 0.02 ---- 0.21 0.27 0.02 0.05
 17.02.13 18:00 0.02 ---- 0.22 0.26 0.01 0.05
 -------- 19:00 ---- ---- 0.17 0.31 0.00 0.04
 -------- 20:00 0.02 ---- 0.14 0.34 0.01 0.04
 -------- 21:00 ---- ---- 0.20 0.24 0.01 0.04
 -------- 22:00 ---- ---- 0.23 0.22 0.00 0.04
 17.02.13 23:00 ---- ---- 0.21 0.25 0.00 0.04
 -------- 00:00 0.02 ---- 0.15 0.31 0.01 0.04
 -------- 01:00 ---- ---- 0.18 0.25 0.01 0.03
 -------- 02:00 ---- ---- 0.25 0.21 0.00 0.03
 -------- 03:00 ---- ---- 0.27 0.19 ---- 0.03
 18.02.13 04:00 ---- ---- 0.27 0.19 ---- 0.03
 -------- 05:00 ---- ---- 0.29 0.19 ---- 0.03
 -------- 06:00 ---- ---- 0.30 0.18 0.00 0.02
 -------- 07:00 ---- 0.00 0.25 0.24 0.01 0.03
 -------- 08:00 ---- 0.00 0.19 0.28 0.01 0.03
 18.02.13 09:00 0.02 0.00 0.16 0.32 0.02 0.03
 -------- 10:00 0.02 0.00 0.13 0.35 0.03 0.04
 -------- 11:00 0.02 0.00 0.14 0.34 0.04 0.04
