 Date Time CO SO2 OZ NO2 NO PM10
 27.12.12 00:00 ---- ---- 0.17 0.27 0.03 0.02
 -------- 01:00 ---- ---- 0.17 0.28 0.03 0.03
 -------- 02:00 0.02 ---- 0.18 0.26 0.03 0.03
 -------- 03:00 0.02 ---- 0.20 0.23 0.02 0.02
 -------- 04:00 0.02 ---- 0.20 0.25 0.03 0.02
 27.12.12 05:00 0.02 ---- 0.15 0.23 0.02 0.02
 -------- 06:00 0.02 ---- 0.20 0.22 0.03 0.01
 -------- 07:00 0.02 0.00 0.24 0.24 0.03 0.02
 -------- 08:00 0.02 0.00 0.22 0.26 0.03 0.03
 -------- 09:00 0.03 0.00 0.16 0.30 0.04 0.04
 27.12.12 10:00 0.04 0.00 0.14 0.31 0.05 0.04
 -------- 11:00 0.04 0.00 0.11 0.32 0.05 0.04
 -------- 12:00 0.03 0.00 0.09 0.33 0.05 0.04
 -------- 13:00 0.03 0.00 0.08 0.33 0.06 0.03
 -------- 14:00 0.04 0.00 0.07 0.34 0.06 0.03
 27.12.12 15:00 0.04 0.00 0.06 0.34 0.06 0.03
 -------- 16:00 0.05 0.00 0.02 0.36 0.08 0.03
 -------- 17:00 0.07 0.01 0.01 0.37 0.13 0.03
 -------- 18:00 0.07 0.01 0.01 0.37 0.16 0.03
 -------- 19:00 0.10 0.01 ---- 0.38 0.27 0.05
 27.12.12 20:00 0.10 0.01 0.01 0.37 0.27 0.05
 -------- 21:00 0.07 0.01 0.01 0.30 0.11 0.04
 -------- 22:00 0.03 0.00 0.01 0.29 0.07 0.04
 -------- 23:00 0.02 0.00 0.02 0.29 0.06 0.04
 -------- 00:00 ---- 0.00 0.04 0.30 0.06 0.04
 28.12.12 01:00 ---- 0.00 0.04 0.29 0.06 0.04
 -------- 02:00 ---- 0.00 0.12 0.21 0.02 0.03
 -------- 03:00 ---- ---- 0.12 0.22 0.02 0.03
 -------- 04:00 ---- ---- 0.23 0.15 0.01 0.03
 -------- 05:00 ---- ---- 0.24 0.13 0.01 0.02
 28.12.12 06:00 ---- ---- 0.22 0.15 0.01 0.02
 -------- 07:00 ---- ---- 0.18 0.19 0.01 0.02
 -------- 08:00 0.03 ---- 0.14 0.21 0.01 0.02
 -------- 09:00 0.02 ---- 0.17 0.21 0.01 0.02
 -------- 10:00 0.03 ---- 0.18 0.21 0.01 0.02
 28.12.12 11:00 0.03 ---- 0.17 0.20 0.01 0.02
 -------- 12:00 0.02 ---- 0.18 0.19 0.01 0.02
 -------- 13:00 0.03 ---- 0.19 0.19 0.01 0.03
 -------- 14:00 0.04 ---- 0.17 0.21 0.02 0.03
 -------- 15:00 0.03 ---- 0.19 0.19 0.01 0.03
 28.12.12 16:00 0.02 ---- 0.23 0.19 0.01 0.03
 -------- 17:00 0.03 ---- 0.20 0.22 0.00 0.04
 -------- 18:00 0.02 ---- 0.23 0.19 0.00 0.04
 -------- 19:00 0.02 ---- 0.24 0.17 ---- 0.04
 -------- 20:00 0.02 ---- 0.23 0.17 ---- 0.03
 28.12.12 21:00 0.02 ---- 0.24 0.16 ---- 0.03
 -------- 22:00 ---- ---- 0.32 0.17 0.00 0.02
 -------- 23:00 ---- ---- 0.40 0.16 0.00 0.02
