 Date Time CO SO2 OZ NO2 NO PM10
 26.11.12 12:00 0.05 0.01 0.02 0.17 0.06 ----
 -------- 13:00 0.04 0.01 0.02 0.17 0.06 ----
 -------- 14:00 0.04 0.01 0.01 0.18 0.07 0.13
 -------- 15:00 0.05 0.01 0.02 0.19 0.10 0.11
 -------- 16:00 0.04 0.01 0.01 0.19 0.15 0.11
 26.11.12 17:00 0.04 0.01 0.01 0.19 0.16 0.11
 -------- 18:00 0.04 0.01 0.01 0.19 0.14 0.09
 -------- 19:00 0.03 0.01 0.01 0.17 0.11 0.08
 -------- 20:00 0.02 0.01 0.01 0.15 0.08 0.07
 -------- 21:00 0.02 0.01 0.02 0.16 0.09 0.08
 26.11.12 22:00 0.02 0.01 0.01 0.15 0.09 0.08
 -------- 23:00 0.02 0.00 0.01 0.14 0.06 0.06
 -------- 00:00 0.02 0.01 0.01 0.15 0.07 0.06
 -------- 01:00 0.02 0.00 0.01 0.14 0.05 0.06
 -------- 02:00 0.02 0.00 0.03 0.12 0.02 0.05
 27.11.12 03:00 0.02 0.00 0.03 0.12 0.03 0.05
 -------- 04:00 0.02 0.00 0.02 0.12 0.03 0.04
 -------- 05:00 0.02 0.00 0.01 0.12 0.04 0.04
 -------- 06:00 0.02 0.00 ---- 0.14 0.07 0.04
 -------- 07:00 0.03 0.00 0.02 0.18 0.08 ----
 27.11.12 08:00 0.04 0.01 0.01 0.18 0.12 ----
 -------- 09:00 0.05 0.01 0.01 0.18 0.15 ----
 -------- 10:00 0.06 0.01 0.01 0.19 0.15 ----
 -------- 11:00 0.03 0.01 0.01 0.17 0.10 ----
 -------- 12:00 0.02 0.01 0.01 0.17 0.12 ----
 27.11.12 13:00 0.02 0.01 0.01 0.18 0.12 ----
 -------- 14:00 0.02 0.01 0.03 0.19 0.09 ----
 -------- 15:00 0.02 0.00 0.03 0.19 0.08 ----
 -------- 16:00 0.02 0.00 0.02 0.19 0.07 ----
 -------- 17:00 0.02 0.00 0.02 0.19 0.07 ----
 27.11.12 18:00 0.02 0.01 0.01 0.21 0.08 ----
 -------- 19:00 0.02 0.00 0.02 0.21 0.06 ----
 -------- 20:00 0.02 0.00 0.03 0.23 0.07 ----
 -------- 21:00 0.02 0.00 0.01 0.24 0.06 ----
 -------- 22:00 0.02 0.00 0.02 0.22 0.05 ----
 27.11.12 23:00 ---- 0.00 0.01 0.21 0.05 ----
 -------- 00:00 ---- 0.00 0.01 0.21 0.05 ----
 -------- 01:00 ---- 0.00 0.01 0.20 0.03 ----
 -------- 02:00 ---- 0.00 0.03 0.19 0.02 ----
 -------- 03:00 ---- 0.00 0.01 0.20 0.04 ----
 28.11.12 04:00 ---- 0.00 0.01 0.19 0.02 ----
 -------- 05:00 ---- 0.00 0.01 0.19 0.03 ----
 -------- 06:00 ---- 0.00 ---- 0.21 0.09 ----
 -------- 07:00 0.02 0.01 0.02 0.21 0.10 0.04
 -------- 08:00 0.03 0.01 0.01 0.23 0.24 0.06
 28.11.12 09:00 0.07 0.01 0.01 0.24 0.27 0.07
 -------- 10:00 0.08 0.01 0.01 0.24 0.25 0.13
 -------- 11:00 0.07 0.01 0.01 0.24 0.20 0.13
