 Date Time CO SO2 OZ NO2 NO PM10
 14.10.12 12:00 ---- ---- 0.22 0.17 0.02 0.05
 -------- 13:00 ---- ---- 0.21 0.22 0.02 0.05
 -------- 14:00 ---- ---- 0.23 0.20 0.01 0.04
 -------- 15:00 0.02 ---- 0.18 0.21 0.02 0.05
 -------- 16:00 0.02 ---- 0.18 0.21 0.02 0.06
 14.10.12 17:00 0.02 ---- 0.18 0.21 0.02 0.06
 -------- 18:00 0.04 ---- 0.09 0.29 0.02 0.07
 -------- 19:00 0.04 ---- 0.05 0.31 0.02 0.08
 -------- 20:00 0.03 ---- 0.15 0.23 0.00 0.06
 -------- 21:00 0.02 ---- 0.18 0.23 0.00 0.06
 14.10.12 22:00 0.02 ---- 0.20 0.19 0.00 0.06
 -------- 23:00 ---- ---- 0.21 0.19 0.00 0.05
 -------- 00:00 ---- ---- 0.25 0.16 0.00 0.05
 -------- 01:00 ---- ---- 0.31 0.12 0.00 0.04
 -------- 02:00 ---- ---- 0.30 0.14 0.00 0.04
 15.10.12 03:00 0.02 ---- 0.24 0.16 ---- 0.05
 -------- 04:00 0.02 ---- 0.28 0.14 ---- 0.04
 -------- 05:00 0.02 ---- 0.22 0.17 0.00 0.04
 -------- 06:00 0.02 ---- 0.07 0.25 0.01 0.04
 -------- 07:00 0.03 0.00 0.02 0.31 0.04 0.06
 15.10.12 08:00 0.06 0.00 0.01 0.31 0.08 0.06
 -------- 09:00 0.10 0.00 0.02 0.32 0.18 0.07
 -------- 10:00 0.12 0.01 0.03 0.36 0.20 0.09
 -------- 11:00 0.10 0.01 0.07 0.34 0.10 0.10
 -------- 12:00 0.07 0.00 0.13 0.31 0.07 0.07
 15.10.12 13:00 0.03 0.00 0.14 0.33 0.08 0.07
 -------- 14:00 ---- 0.00 0.30 0.20 0.03 0.05
 -------- 15:00 ---- 0.00 0.25 0.25 0.02 0.06
 -------- 16:00 ---- 0.00 0.29 0.21 0.01 0.05
 -------- 17:00 ---- ---- 0.48 0.14 0.00 0.04
 15.10.12 18:00 ---- ---- 0.49 0.17 0.00 0.04
 -------- 19:00 ---- ---- 0.38 0.24 0.00 0.05
 -------- 20:00 ---- ---- 0.23 0.29 0.00 0.06
 -------- 21:00 ---- ---- 0.20 0.28 0.00 0.05
 -------- 22:00 ---- 0.00 0.20 0.23 0.00 0.04
 15.10.12 23:00 0.02 0.00 0.20 0.24 0.00 0.05
 -------- 00:00 0.02 0.00 0.34 0.14 0.00 0.06
 -------- 01:00 0.02 ---- 0.35 0.13 ---- 0.05
 -------- 02:00 ---- ---- 0.35 0.11 0.00 0.04
 -------- 03:00 ---- ---- 0.31 0.10 0.00 0.05
 16.10.12 04:00 ---- ---- 0.29 0.10 0.00 0.03
 -------- 05:00 ---- ---- 0.26 0.10 ---- 0.03
 -------- 06:00 ---- ---- 0.24 0.12 ---- 0.04
 -------- 07:00 0.02 ---- 0.16 0.17 0.00 0.04
 -------- 08:00 0.03 0.00 0.06 0.24 0.02 0.06
 16.10.12 09:00 0.04 0.00 0.03 0.26 0.03 0.07
 -------- 10:00 0.04 0.00 0.04 0.26 0.03 0.07
 -------- 11:00 0.04 0.00 0.06 0.26 0.05 0.07
