 Date Time CO SO2 OZ NO2 NO PM10
 20.09.12 12:00 0.04 0.01 0.37 0.21 0.03 0.11
 -------- 13:00 0.02 0.01 0.51 0.17 0.01 0.09
 -------- 14:00 ---- 0.00 0.67 0.11 0.01 0.07
 -------- 15:00 ---- 0.00 0.72 0.10 0.01 0.08
 -------- 16:00 ---- 0.00 0.74 0.11 0.00 0.07
 20.09.12 17:00 ---- 0.00 0.75 0.12 0.00 0.06
 -------- 18:00 ---- 0.00 0.66 0.17 0.00 0.07
 -------- 19:00 0.02 0.00 0.47 0.28 0.00 0.08
 -------- 20:00 0.05 0.00 0.20 0.43 0.01 0.09
 -------- 21:00 0.06 0.00 0.12 0.46 0.01 0.10
 20.09.12 22:00 0.04 0.00 0.32 0.31 0.00 0.09
 -------- 23:00 0.02 0.00 0.44 0.21 ---- 0.08
 -------- 00:00 ---- 0.00 0.49 0.17 0.00 0.08
 -------- 01:00 ---- 0.00 0.52 0.13 ---- 0.07
 -------- 02:00 ---- 0.00 0.49 0.13 ---- 0.06
 21.09.12 03:00 ---- 0.00 0.47 0.13 ---- 0.06
 -------- 04:00 ---- 0.00 0.50 0.11 ---- 0.05
 -------- 05:00 ---- 0.00 0.49 0.12 ---- 0.05
 -------- 06:00 ---- 0.00 0.46 0.14 0.00 0.05
 -------- 07:00 ---- 0.00 0.15 0.34 0.02 0.07
 21.09.12 08:00 0.03 0.00 0.04 0.38 0.08 0.09
 -------- 09:00 0.04 0.01 0.09 0.37 0.09 0.10
 -------- 10:00 0.03 0.01 0.21 0.29 0.05 0.10
 -------- 11:00 0.02 0.01 0.31 0.24 0.03 0.09
 -------- 12:00 0.02 0.01 0.37 0.22 0.03 0.09
 21.09.12 13:00 ---- 0.00 0.54 0.14 0.01 0.06
 -------- 14:00 ---- 0.00 0.62 0.13 0.01 0.07
 -------- 15:00 ---- 0.00 0.60 0.16 0.01 0.07
 -------- 16:00 ---- 0.00 0.54 0.17 0.02 0.06
 -------- 17:00 ---- 0.00 0.64 0.13 0.00 0.06
 21.09.12 18:00 ---- 0.00 0.55 0.15 0.02 0.08
 -------- 19:00 0.04 0.00 0.09 0.26 0.03 0.11
 -------- 20:00 0.05 0.00 0.03 0.31 0.07 0.08
 -------- 21:00 0.06 0.00 0.03 0.30 0.04 0.06
 -------- 22:00 0.06 0.00 0.02 0.29 0.03 0.06
 21.09.12 23:00 0.04 0.00 0.03 0.26 0.02 0.06
 -------- 00:00 0.05 0.00 0.01 0.26 0.04 0.06
 -------- 01:00 0.05 0.00 0.01 0.27 0.03 0.06
 -------- 02:00 0.05 0.00 0.04 0.24 0.01 0.08
 -------- 03:00 0.02 0.00 0.09 0.21 0.01 0.07
 22.09.12 04:00 0.02 0.00 0.14 0.17 0.00 0.06
 -------- 05:00 0.02 0.00 0.16 0.14 0.00 0.05
 -------- 06:00 ---- 0.00 0.13 0.16 ---- 0.04
 -------- 07:00 ---- 0.00 0.08 0.20 0.01 0.04
 -------- 08:00 0.02 0.00 0.04 0.23 0.02 0.05
 22.09.12 09:00 0.02 0.00 0.08 0.20 0.02 0.05
 -------- 10:00 0.02 0.00 0.08 0.21 0.04 0.07
 -------- 11:00 0.03 0.00 0.08 0.19 0.05 0.07
