 Date Time CO SO2 OZ NO2 NO PM10
 02.02.13 00:00 0.02 0.00 0.11 0.22 0.01 0.06
 -------- 01:00 0.02 0.00 0.10 0.21 0.01 0.06
 -------- 02:00 0.02 0.00 0.11 0.19 0.01 0.04
 -------- 03:00 ---- 0.00 0.13 0.17 0.01 0.03
 -------- 04:00 0.02 0.00 0.12 0.18 0.01 0.03
 02.02.13 05:00 0.02 0.00 0.11 0.18 0.01 0.03
 -------- 06:00 0.02 0.00 0.11 0.17 0.01 0.02
 -------- 07:00 0.02 0.00 0.10 0.19 0.01 0.03
 -------- 08:00 0.02 0.00 0.10 0.19 0.01 0.03
 -------- 09:00 0.02 0.00 0.10 0.22 0.01 0.03
 02.02.13 10:00 0.02 0.00 0.11 0.22 0.01 0.04
 -------- 11:00 0.02 0.00 0.11 0.22 0.02 0.05
 -------- 12:00 0.02 0.00 0.13 0.20 0.02 0.05
 -------- 13:00 0.02 0.00 0.15 0.19 0.02 0.06
 -------- 14:00 0.02 0.00 0.15 0.20 0.02 0.06
 02.02.13 15:00 0.02 0.00 0.16 0.19 0.03 0.06
 -------- 16:00 0.02 0.01 0.16 0.22 0.01 0.06
 -------- 17:00 0.02 0.00 0.16 0.21 0.01 0.05
 -------- 18:00 0.03 0.00 0.12 0.27 0.01 0.06
 -------- 19:00 0.04 0.00 0.11 0.27 0.01 0.05
 02.02.13 20:00 0.04 0.00 0.09 0.29 0.01 0.05
 -------- 21:00 0.03 0.00 0.12 0.23 0.00 0.04
 -------- 22:00 0.03 0.00 0.10 0.25 0.01 0.04
 -------- 23:00 0.04 0.00 0.04 0.28 0.02 0.05
 -------- 00:00 0.05 0.00 0.03 0.29 0.03 0.05
 03.02.13 01:00 0.02 0.00 0.07 0.21 0.01 0.05
 -------- 02:00 ---- 0.00 0.05 0.25 0.01 0.07
 -------- 03:00 ---- 0.00 0.10 0.21 0.00 0.06
 -------- 04:00 ---- 0.00 0.16 0.16 ---- 0.05
 -------- 05:00 ---- 0.00 0.20 0.12 ---- 0.04
 03.02.13 06:00 ---- ---- 0.23 0.11 ---- 0.04
 -------- 07:00 ---- 0.00 0.22 0.13 0.00 0.03
 -------- 08:00 ---- 0.00 0.23 0.13 ---- 0.03
 -------- 09:00 ---- 0.00 0.19 0.21 0.00 0.03
 -------- 10:00 0.02 0.00 0.18 0.20 0.00 0.03
 03.02.13 11:00 0.02 0.00 0.20 0.18 0.00 0.04
 -------- 12:00 0.02 0.00 0.22 0.18 0.01 0.04
 -------- 13:00 0.02 ---- 0.24 0.17 0.01 0.03
 -------- 14:00 0.02 ---- 0.28 0.16 0.01 0.02
 -------- 15:00 0.02 ---- 0.28 0.17 0.01 0.02
 03.02.13 16:00 0.02 ---- 0.26 0.19 0.00 0.02
 -------- 17:00 0.02 ---- 0.24 0.19 0.00 0.03
 -------- 18:00 0.02 ---- 0.23 0.18 0.00 0.03
 -------- 19:00 0.02 ---- 0.23 0.18 0.00 0.03
 -------- 20:00 0.02 ---- 0.23 0.17 ---- 0.03
 03.02.13 21:00 0.02 0.00 0.20 0.19 0.00 0.03
 -------- 22:00 0.02 0.00 0.19 0.20 0.00 0.02
 -------- 23:00 0.02 0.00 0.20 0.18 0.00 0.02
