 Date Time CO SO2 OZ NO2 NO PM10
 18.03.13 00:00 0.06 ---- 0.24 0.18 0.00 0.03
 -------- 01:00 0.06 ---- 0.22 0.18 0.00 0.03
 -------- 02:00 0.06 ---- 0.22 0.18 0.00 0.03
 -------- 03:00 0.08 ---- 0.11 0.28 0.00 0.04
 -------- 04:00 0.08 ---- 0.06 0.30 0.00 0.03
 18.03.13 05:00 0.08 ---- 0.04 0.30 0.02 0.03
 -------- 06:00 0.08 ---- 0.04 0.31 0.01 0.03
 -------- 07:00 0.08 0.00 0.02 0.33 0.02 0.04
 -------- 08:00 0.09 0.00 0.02 0.33 0.08 0.05
 -------- 09:00 0.12 0.00 0.05 0.33 0.13 0.05
 18.03.13 10:00 0.13 0.01 0.07 0.30 0.13 0.05
 -------- 11:00 0.12 0.01 0.11 0.29 0.12 0.05
 -------- 12:00 0.11 0.00 0.14 0.26 0.08 0.04
 -------- 13:00 0.10 0.01 0.16 0.24 0.08 0.04
 -------- 14:00 0.08 0.00 0.24 0.16 0.04 0.03
 18.03.13 15:00 0.08 0.00 0.25 0.15 0.03 0.04
 -------- 16:00 0.08 0.00 0.22 0.20 0.02 0.05
 -------- 17:00 0.08 0.00 0.19 0.20 0.02 0.04
 -------- 18:00 0.08 0.00 0.20 0.17 0.03 0.03
 -------- 19:00 0.09 0.00 0.18 0.18 0.02 0.03
 18.03.13 20:00 0.09 ---- 0.22 0.15 0.02 0.03
 -------- 21:00 0.07 0.00 0.25 0.13 0.01 0.02
 -------- 22:00 0.06 0.00 0.21 0.16 0.01 0.02
 -------- 23:00 0.06 0.00 0.21 0.16 0.01 0.02
 -------- 00:00 0.06 0.00 0.19 0.17 0.00 0.02
 19.03.13 01:00 0.06 0.00 0.22 0.16 0.03 0.02
 -------- 02:00 0.06 0.00 0.21 0.16 0.03 0.02
 -------- 03:00 0.04 0.00 0.20 0.15 0.00 0.02
 -------- 04:00 0.04 0.00 0.22 0.14 0.00 0.02
 -------- 05:00 0.04 0.00 0.24 0.15 0.00 0.02
 19.03.13 06:00 0.04 0.00 0.27 0.14 0.01 0.01
 -------- 07:00 0.04 0.00 0.27 0.17 0.00 0.02
 -------- 08:00 0.08 0.00 0.27 0.18 0.01 0.01
 -------- 09:00 0.06 0.00 0.29 0.16 0.02 0.02
 -------- 10:00 0.06 0.00 0.30 0.15 0.02 0.02
 19.03.13 11:00 0.06 0.00 0.29 0.16 0.04 0.02
 -------- 12:00 0.06 0.00 0.30 0.16 0.03 0.02
 -------- 13:00 0.06 0.00 0.31 0.15 0.03 0.02
 -------- 14:00 0.06 0.00 0.31 0.15 0.02 0.03
 -------- 15:00 0.06 0.00 0.29 0.18 0.04 0.03
 19.03.13 16:00 0.06 0.00 0.27 0.19 0.03 0.03
 -------- 17:00 0.06 0.00 0.28 0.20 0.03 0.03
 -------- 18:00 0.08 ---- 0.24 0.22 0.03 0.02
 -------- 19:00 0.07 0.00 0.23 0.24 0.02 0.03
 -------- 20:00 0.08 0.00 0.16 0.28 0.02 0.03
 19.03.13 21:00 0.08 ---- 0.19 0.26 0.02 0.03
 -------- 22:00 0.08 ---- 0.11 0.31 0.02 0.03
 -------- 23:00 0.08 ---- 0.14 0.28 0.01 0.02
