 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 15.04.13 12:00 0.10 0.01 0.56 0.33 0.08 0.10 ----
 -------- 13:00 0.10 0.01 0.51 0.35 0.08 0.14 ----
 -------- 14:00 0.09 0.01 0.54 0.36 0.08 0.13 ----
 -------- 15:00 0.08 0.01 0.63 0.34 0.05 0.11 ----
 -------- 16:00 0.08 0.01 0.68 0.32 0.05 0.09 ----
 15.04.13 17:00 0.08 0.01 0.71 0.31 0.07 0.08 ----
 -------- 18:00 0.08 0.01 0.72 0.33 0.07 0.09 ----
 -------- 19:00 0.08 0.01 0.72 0.34 0.07 0.10 ----
 -------- 20:00 0.09 0.01 0.61 0.36 0.08 0.13 ----
 -------- 21:00 0.13 0.01 0.37 0.40 0.09 0.16 ----
 15.04.13 22:00 0.12 0.01 0.40 0.43 0.09 0.19 ----
 -------- 23:00 0.12 0.01 0.34 0.45 0.08 0.18 ----
 -------- 00:00 0.11 0.01 0.46 0.40 0.07 0.11 ----
 -------- 01:00 0.08 0.00 0.57 0.34 0.05 0.08 ----
 -------- 02:00 0.08 0.00 0.51 0.34 0.05 0.09 ----
 16.04.13 03:00 0.08 0.01 0.35 0.38 0.06 0.09 ----
 -------- 04:00 0.08 0.00 0.37 0.34 0.06 0.08 ----
 -------- 05:00 0.06 0.01 0.40 0.34 0.05 0.09 ----
 -------- 06:00 0.08 0.01 0.23 0.39 0.07 0.12 ----
 -------- 07:00 0.10 0.01 0.28 0.42 0.10 0.12 ----
 16.04.13 08:00 0.11 0.01 0.26 0.41 0.10 0.15 ----
 -------- 09:00 0.15 0.01 0.12 0.49 0.20 0.26 ----
 -------- 10:00 0.13 0.01 0.20 0.47 0.18 0.23 ----
 -------- 11:00 0.12 0.01 0.27 0.45 0.16 0.22 ----
 -------- 12:00 0.11 0.01 0.40 0.42 0.11 0.17 ----
 16.04.13 13:00 0.09 0.01 0.52 0.38 0.08 0.12 ----
 -------- 14:00 0.07 0.01 0.55 0.30 0.04 0.12 ----
 -------- 15:00 0.08 ---- 0.47 0.19 0.01 ---- ----
 -------- 16:00 0.07 ---- 0.43 0.27 0.04 ---- ----
 -------- 17:00 0.06 ---- 0.41 0.29 0.06 ---- ----
 16.04.13 18:00 0.06 ---- 0.43 0.30 0.08 0.15 ----
 -------- 19:00 0.07 0.35 0.40 0.33 0.10 0.16 ----
 -------- 20:00 0.08 ---- 0.31 0.36 0.11 0.18 ----
 -------- 21:00 0.11 0.37 0.13 0.39 0.19 0.24 ----
 -------- 22:00 0.13 0.01 0.04 0.41 0.25 0.26 ----
 16.04.13 23:00 0.13 0.02 0.02 0.40 0.24 0.23 ----
 -------- 00:00 0.14 0.02 0.01 0.40 0.28 0.24 ----
 -------- 01:00 0.13 0.03 0.01 0.42 0.35 0.22 ----
 -------- 02:00 0.11 0.03 0.02 0.41 0.27 0.19 ----
 -------- 03:00 0.10 0.04 0.01 0.41 0.24 0.18 ----
 17.04.13 04:00 0.09 0.04 0.02 0.40 0.23 0.15 ----
 -------- 05:00 0.08 0.04 0.01 0.39 0.23 0.17 ----
 -------- 06:00 0.09 0.05 0.01 0.39 0.28 0.16 ----
 -------- 07:00 0.15 0.05 0.01 0.46 0.49 0.16 ----
 -------- 08:00 0.16 0.06 0.02 0.43 0.35 0.16 ----
 17.04.13 09:00 0.17 0.06 0.03 0.47 0.41 0.25 ----
 -------- 10:00 0.20 0.07 0.05 0.46 0.38 0.25 ----
 -------- 11:00 0.14 0.07 0.14 0.36 0.24 0.18 ----
