 Date Time CO SO2 OZ NO2 NO PM10
 11.02.13 11:00 0.06 0.01 0.01 0.30 0.19 0.07
 -------- 12:00 0.08 0.01 0.01 0.35 0.26 0.07
 -------- 13:00 0.10 0.01 0.01 0.36 0.26 0.08
 -------- 14:00 0.09 0.01 0.01 0.32 0.22 0.07
 -------- 15:00 0.09 0.01 0.01 0.34 0.18 0.08
 11.02.13 16:00 0.07 0.01 0.02 0.34 0.10 0.07
 -------- 17:00 0.07 0.01 0.01 0.35 0.15 0.09
 -------- 18:00 0.06 0.01 0.01 0.33 0.12 0.07
 -------- 19:00 0.03 0.00 0.01 0.30 0.07 0.06
 -------- 20:00 0.02 0.00 0.01 0.29 0.06 0.09
 11.02.13 21:00 0.02 0.00 0.01 0.26 0.03 0.07
 -------- 22:00 0.02 0.00 0.01 0.26 0.02 0.06
 -------- 23:00 ---- 0.00 0.03 0.26 0.01 0.04
 -------- 00:00 ---- 0.00 0.04 0.27 0.00 0.04
 -------- 01:00 ---- 0.00 0.04 0.26 0.00 0.03
 12.02.13 02:00 ---- 0.00 0.15 0.17 ---- 0.03
 -------- 03:00 ---- 0.00 0.19 0.16 ---- 0.03
 -------- 04:00 0.02 0.00 0.06 0.28 ---- 0.04
 -------- 05:00 0.02 0.00 0.08 0.25 0.03 0.03
 -------- 06:00 0.02 0.00 0.05 0.26 0.01 0.03
 12.02.13 07:00 0.02 0.00 0.04 0.25 0.01 0.04
 -------- 08:00 0.04 0.00 0.01 0.25 0.02 0.04
 -------- 09:00 0.04 0.00 0.03 0.22 0.01 0.04
 -------- 10:00 0.04 0.00 0.03 0.25 0.03 0.04
 -------- 11:00 0.04 0.00 0.06 0.26 0.03 0.04
 12.02.13 12:00 0.03 ---- 0.11 0.24 0.01 0.04
 -------- 13:00 0.02 ---- 0.20 0.22 0.01 0.03
 -------- 14:00 0.02 ---- 0.20 0.24 0.01 0.03
 -------- 15:00 0.02 ---- 0.21 0.23 0.01 0.04
 -------- 16:00 0.02 ---- 0.20 0.23 0.01 0.04
 12.02.13 17:00 0.02 ---- 0.17 0.27 0.01 0.04
 -------- 18:00 0.02 ---- 0.17 0.26 0.00 0.04
 -------- 19:00 0.02 ---- 0.20 0.23 0.01 0.05
 -------- 20:00 0.02 ---- 0.10 0.32 0.00 0.06
 -------- 21:00 0.03 0.00 0.07 0.35 0.01 0.06
 12.02.13 22:00 0.03 0.00 0.10 0.29 ---- 0.06
 -------- 23:00 0.02 0.00 0.11 0.28 0.00 0.06
 -------- 00:00 0.02 0.00 0.09 0.30 0.00 0.06
 -------- 01:00 0.02 0.00 0.09 0.30 0.00 0.07
 -------- 02:00 0.02 ---- 0.09 0.28 0.00 0.07
 13.02.13 03:00 0.02 0.00 0.06 0.31 0.00 0.07
 -------- 04:00 0.02 0.00 0.05 0.32 ---- 0.06
 -------- 05:00 0.02 ---- 0.04 0.31 0.00 0.06
 -------- 06:00 0.02 ---- 0.07 0.30 ---- 0.05
 -------- 07:00 0.02 ---- 0.03 0.39 0.02 0.07
 13.02.13 08:00 0.05 ---- 0.01 0.43 0.09 0.08
 -------- 09:00 0.07 ---- 0.01 0.44 0.12 0.09
 -------- 10:00 0.05 ---- 0.02 0.44 0.10 0.08
