 Date Time CO SO2 OZ NO2 NO PM10
 09.12.12 00:00 0.02 0.01 ---- 0.19 0.13 0.09
 -------- 01:00 0.04 0.01 0.01 0.19 0.15 0.08
 -------- 02:00 0.05 0.01 0.02 0.19 0.17 0.09
 -------- 03:00 0.05 0.01 ---- 0.22 0.21 0.11
 -------- 04:00 0.04 0.01 0.01 0.24 0.29 0.11
 09.12.12 05:00 0.04 0.01 0.01 0.24 0.27 0.10
 -------- 06:00 0.05 0.01 0.01 0.24 0.29 0.09
 -------- 07:00 0.06 0.01 ---- 0.23 0.27 0.09
 -------- 08:00 0.03 0.01 0.01 0.21 0.16 0.08
 -------- 09:00 0.02 0.01 0.01 0.19 0.09 0.07
 09.12.12 10:00 ---- 0.00 0.01 0.22 0.08 0.06
 -------- 11:00 ---- 0.00 0.05 0.21 0.04 0.04
 -------- 12:00 ---- 0.00 0.09 0.22 0.04 0.04
 -------- 13:00 ---- 0.00 0.11 0.19 0.04 0.04
 -------- 14:00 0.02 0.00 0.15 0.18 0.02 0.04
 09.12.12 15:00 ---- 0.00 0.18 0.18 0.02 0.03
 -------- 16:00 0.02 0.00 0.15 0.23 0.03 0.05
 -------- 17:00 0.02 0.00 0.11 0.24 0.02 0.05
 -------- 18:00 0.02 ---- 0.08 0.27 0.02 0.05
 -------- 19:00 0.03 0.00 0.06 0.28 0.03 0.05
 09.12.12 20:00 0.04 0.00 0.01 0.33 0.07 0.06
 -------- 21:00 0.06 0.00 0.01 0.34 0.08 0.07
 -------- 22:00 0.06 0.00 0.01 0.33 0.09 0.07
 -------- 23:00 0.06 0.00 0.02 0.32 0.12 0.06
 -------- 00:00 0.04 0.01 ---- 0.34 0.25 0.06
 10.12.12 01:00 0.05 0.01 0.01 0.33 0.26 0.07
 -------- 02:00 0.07 0.01 0.01 0.33 0.23 0.08
 -------- 03:00 0.08 0.01 0.01 0.35 0.30 0.09
 -------- 04:00 0.07 0.01 0.01 0.36 0.28 0.08
 -------- 05:00 0.05 0.01 0.01 0.36 0.21 0.08
 10.12.12 06:00 0.02 0.01 0.01 0.34 0.10 0.06
 -------- 07:00 0.02 0.02 0.01 0.35 0.13 0.07
 -------- 08:00 0.02 0.01 ---- 0.28 0.06 0.08
 -------- 09:00 ---- 0.00 0.01 0.25 0.04 0.08
 -------- 10:00 0.03 0.00 0.01 0.26 0.11 0.07
 10.12.12 11:00 0.04 0.01 0.02 0.26 0.17 0.11
 -------- 12:00 0.05 0.01 0.01 0.25 0.19 0.08
 -------- 13:00 0.05 0.01 0.01 0.24 0.17 0.08
 -------- 14:00 0.06 0.01 0.02 0.25 0.19 0.08
 -------- 15:00 0.07 0.01 0.01 0.26 0.19 0.08
 10.12.12 16:00 0.08 0.01 0.01 0.28 0.23 0.08
 -------- 17:00 0.07 0.01 0.01 0.28 0.19 0.07
 -------- 18:00 0.05 0.01 0.01 0.26 0.12 0.06
 -------- 19:00 0.04 0.01 ---- 0.23 0.08 0.05
 -------- 20:00 0.02 0.00 0.01 0.21 0.02 0.04
 10.12.12 21:00 0.02 0.00 0.07 0.21 0.01 0.03
 -------- 22:00 ---- 0.00 0.26 0.14 0.00 0.02
 -------- 23:00 ---- 0.00 0.32 0.13 ---- 0.02
