 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 25.02.13 00:00 0.08 0.00 0.16 0.29 0.04 0.07 ----
 -------- 01:00 0.07 ---- 0.19 0.27 0.04 0.06 ----
 -------- 02:00 0.06 ---- 0.16 0.28 0.04 0.07 ----
 -------- 03:00 0.06 ---- 0.20 0.26 0.03 0.07 ----
 -------- 04:00 0.06 ---- 0.21 0.24 0.03 0.06 ----
 25.02.13 05:00 0.06 ---- 0.19 0.26 0.03 0.06 ----
 -------- 06:00 0.06 ---- 0.12 0.32 0.05 0.06 ----
 -------- 07:00 0.06 ---- 0.12 0.32 0.05 0.06 ----
 -------- 08:00 0.08 ---- 0.06 0.37 0.08 0.07 ----
 -------- 09:00 0.10 0.00 0.04 0.39 0.12 0.10 ----
 25.02.13 10:00 0.10 0.00 0.08 0.38 0.13 0.10 ----
 -------- 11:00 0.08 0.01 0.15 0.32 0.10 0.09 ----
 -------- 12:00 0.08 0.01 0.18 0.30 0.08 0.09 ----
 -------- 13:00 0.07 0.01 0.23 0.27 0.07 0.07 ----
 -------- 14:00 0.07 0.01 0.28 0.25 0.06 0.07 ----
 25.02.13 15:00 0.06 0.01 0.31 0.25 0.05 0.06 ----
 -------- 16:00 0.07 0.01 0.30 0.27 0.06 0.06 ----
 -------- 17:00 0.07 0.02 0.32 0.27 0.05 0.06 ----
 -------- 18:00 0.08 0.01 0.25 0.32 0.05 0.06 ----
 -------- 19:00 0.09 0.01 0.22 0.33 0.05 0.07 ----
 25.02.13 20:00 0.10 0.01 0.12 0.39 0.07 0.08 ----
 -------- 21:00 0.08 0.01 0.20 0.32 0.05 0.07 ----
 -------- 22:00 0.08 0.01 0.17 0.34 0.05 0.08 ----
 -------- 23:00 0.08 0.01 0.15 0.34 0.05 0.08 ----
 -------- 00:00 0.08 0.01 0.15 0.35 0.05 0.07 ----
 26.02.13 01:00 0.07 0.00 0.13 0.35 0.06 0.06 ----
 -------- 02:00 0.06 0.00 0.15 0.33 0.05 0.06 ----
 -------- 03:00 0.06 0.00 0.14 0.33 0.05 0.06 ----
 -------- 04:00 0.06 0.00 0.16 0.32 0.04 0.05 ----
 -------- 05:00 0.06 0.00 0.17 0.31 0.04 0.05 ----
 26.02.13 06:00 0.07 ---- 0.10 0.38 0.06 0.06 ----
 -------- 07:00 0.09 0.00 0.04 0.40 0.10 0.06 ----
 -------- 08:00 0.11 0.00 0.03 0.43 0.13 0.07 ----
 -------- 09:00 0.12 0.00 0.04 0.42 0.14 0.08 ----
 -------- 10:00 0.12 0.01 0.08 0.41 0.15 0.09 ----
 26.02.13 11:00 0.11 0.01 0.09 0.40 0.16 0.12 ----
 -------- 12:00 0.09 0.01 0.17 0.33 0.11 0.11 ----
 -------- 13:00 0.06 0.00 0.28 0.26 0.06 0.08 ----
 -------- 14:00 0.06 0.00 0.30 0.24 0.04 0.07 ----
 -------- 15:00 0.06 ---- 0.31 0.27 0.04 0.08 ----
 26.02.13 16:00 0.06 ---- 0.29 0.29 0.05 0.08 ----
 -------- 17:00 0.06 ---- 0.29 0.30 0.04 0.06 ----
 -------- 18:00 0.06 ---- 0.33 0.27 0.02 0.07 ----
 -------- 19:00 0.06 ---- 0.27 0.30 0.02 0.08 ----
 -------- 20:00 0.06 ---- 0.25 0.29 0.02 0.07 ----
 26.02.13 21:00 0.06 0.00 0.29 0.26 0.01 0.06 ----
 -------- 22:00 0.06 0.00 0.24 0.29 0.02 0.07 ----
 -------- 23:00 0.06 0.00 0.24 0.29 0.02 0.07 ----
