 Date Time CO SO2 OZ NO2 NO PM10
 13.01.13 12:00 ---- 0.00 0.10 0.25 0.09 0.07
 -------- 13:00 ---- 0.00 0.10 0.26 0.09 0.07
 -------- 14:00 0.02 0.00 0.13 0.24 0.07 0.06
 -------- 15:00 0.02 0.00 0.13 0.25 0.07 0.06
 -------- 16:00 0.02 0.00 0.13 0.26 0.06 0.06
 13.01.13 17:00 0.02 0.00 0.09 0.27 0.05 0.06
 -------- 18:00 0.02 0.00 0.06 0.29 0.05 0.06
 -------- 19:00 0.02 ---- 0.10 0.26 0.04 0.04
 -------- 20:00 ---- ---- 0.13 0.22 0.03 0.04
 -------- 21:00 0.02 0.00 0.11 0.24 0.04 0.04
 13.01.13 22:00 0.02 0.00 0.11 0.24 0.04 0.04
 -------- 23:00 ---- 0.00 0.12 0.22 0.03 0.04
 -------- 00:00 0.02 0.00 0.15 0.20 0.02 0.04
 -------- 01:00 ---- 0.00 0.18 0.19 0.02 0.04
 -------- 02:00 ---- 0.00 0.19 0.19 0.03 0.04
 14.01.13 03:00 ---- 0.00 0.20 0.17 0.03 0.03
 -------- 04:00 ---- 0.00 0.20 0.17 0.03 0.03
 -------- 05:00 ---- 0.00 0.18 0.18 0.03 0.03
 -------- 06:00 ---- 0.00 0.15 0.20 0.03 0.03
 -------- 07:00 0.02 0.00 0.08 0.27 0.06 0.04
 14.01.13 08:00 0.04 0.00 0.04 0.32 0.09 0.04
 -------- 09:00 0.04 0.00 0.03 0.34 0.12 0.05
 -------- 10:00 0.03 0.00 0.04 0.33 0.11 0.05
 -------- 11:00 0.04 0.01 0.04 0.35 0.15 0.06
 -------- 12:00 0.03 0.01 0.07 0.33 0.11 0.06
 14.01.13 13:00 0.02 0.00 0.12 0.31 0.09 0.04
 -------- 14:00 0.02 0.00 0.09 0.34 0.11 0.05
 -------- 15:00 0.02 0.01 0.08 0.36 0.11 0.05
 -------- 16:00 0.02 0.00 0.11 0.34 0.07 0.05
 -------- 17:00 0.02 0.00 0.16 0.32 0.06 0.04
 14.01.13 18:00 0.02 0.00 0.15 0.32 0.05 0.04
 -------- 19:00 0.02 0.00 0.17 0.28 0.04 0.03
 -------- 20:00 0.02 0.00 0.31 0.22 0.02 0.02
 -------- 21:00 0.02 0.00 0.32 0.23 0.02 0.02
 -------- 22:00 0.02 0.00 0.29 0.23 0.02 0.02
 14.01.13 23:00 0.02 0.00 0.28 0.23 0.02 0.02
 -------- 00:00 0.02 0.00 0.28 0.23 0.02 0.02
 -------- 01:00 ---- 0.00 0.29 0.22 0.02 0.02
 -------- 02:00 ---- ---- 0.33 0.18 0.02 0.02
 -------- 03:00 ---- ---- 0.34 0.17 0.02 0.02
 15.01.13 04:00 ---- ---- 0.45 0.12 0.01 0.02
 -------- 05:00 ---- ---- 0.45 0.11 0.01 0.02
 -------- 06:00 0.02 ---- 0.39 0.15 0.01 0.02
 -------- 07:00 0.02 ---- 0.24 0.28 0.04 0.02
 -------- 08:00 0.03 ---- 0.19 0.29 0.04 0.03
 15.01.13 09:00 0.04 0.00 0.18 0.32 0.05 0.03
 -------- 10:00 0.04 0.00 0.16 0.34 0.06 0.04
 -------- 11:00 0.04 0.00 0.11 0.36 0.07 0.04
