 Date Time CO SO2 OZ NO2 NO PM10
 03.02.13 12:00 0.02 0.00 0.23 0.18 0.01 0.04
 -------- 13:00 0.02 ---- 0.24 0.17 0.01 0.03
 -------- 14:00 0.02 ---- 0.28 0.16 0.01 0.02
 -------- 15:00 0.02 ---- 0.28 0.17 0.01 0.02
 -------- 16:00 0.02 ---- 0.26 0.19 0.00 0.02
 03.02.13 17:00 0.02 ---- 0.24 0.19 0.00 0.03
 -------- 18:00 0.02 ---- 0.23 0.18 0.00 0.03
 -------- 19:00 0.02 ---- 0.23 0.18 0.00 0.03
 -------- 20:00 0.02 ---- 0.23 0.17 ---- 0.03
 -------- 21:00 0.02 0.00 0.20 0.19 0.00 0.03
 03.02.13 22:00 0.02 0.00 0.19 0.20 0.00 0.02
 -------- 23:00 0.02 0.00 0.20 0.18 0.00 0.02
 -------- 00:00 0.02 0.00 0.21 0.17 0.00 0.03
 -------- 01:00 0.02 0.00 0.21 0.17 0.00 0.03
 -------- 02:00 0.02 0.00 0.20 0.16 0.00 0.03
 04.02.13 03:00 0.02 0.00 0.20 0.14 0.00 0.03
 -------- 04:00 0.02 0.00 0.18 0.15 0.00 0.02
 -------- 05:00 0.02 0.00 0.14 0.19 0.01 0.02
 -------- 06:00 0.02 0.00 0.08 0.23 0.01 0.02
 -------- 07:00 0.03 0.00 0.03 0.29 0.02 0.02
 04.02.13 08:00 0.07 0.00 0.01 0.27 0.11 0.02
 -------- 09:00 0.14 0.01 0.01 0.32 0.28 0.04
 -------- 10:00 0.17 0.01 0.01 0.38 0.43 0.06
 -------- 11:00 0.22 0.02 0.01 0.43 0.49 0.07
 -------- 12:00 0.22 0.02 0.01 0.45 0.47 0.07
 04.02.13 13:00 0.17 0.01 0.01 0.37 0.25 0.03
 -------- 14:00 0.08 0.00 0.04 0.27 0.07 0.01
 -------- 15:00 0.04 0.00 0.03 0.26 0.06 0.01
 -------- 16:00 0.03 0.00 0.06 0.23 0.04 0.02
 -------- 17:00 0.04 ---- 0.06 0.24 0.04 0.02
 04.02.13 18:00 0.03 ---- 0.06 0.24 0.04 0.02
 -------- 19:00 0.03 ---- 0.08 0.21 0.03 0.02
