 Date Time CO SO2 OZ NO2 NO PM10
 18.10.12 12:00 0.02 0.01 ---- 0.22 0.17 0.06
 -------- 13:00 ---- 0.01 ---- 0.20 0.11 0.03
 -------- 14:00 ---- 0.00 0.01 0.20 0.07 0.02
 -------- 15:00 ---- 0.00 0.01 0.20 0.06 0.02
 -------- 16:00 ---- 0.00 0.01 0.21 0.07 0.03
 18.10.12 17:00 ---- 0.00 0.01 0.21 0.08 0.03
 -------- 18:00 ---- 0.00 0.01 0.24 0.11 0.03
 -------- 19:00 ---- 0.00 0.02 0.29 0.08 0.04
 -------- 20:00 ---- 0.00 0.01 0.32 0.09 0.04
 -------- 21:00 0.03 0.00 0.01 0.26 0.09 0.05
 18.10.12 22:00 0.02 0.00 0.01 0.24 0.07 0.05
 -------- 23:00 0.02 0.00 ---- 0.24 0.09 0.05
 -------- 00:00 ---- 0.00 0.01 0.23 0.08 0.05
 -------- 01:00 ---- 0.00 0.01 0.24 0.09 0.05
 -------- 02:00 ---- 0.00 0.01 0.24 0.09 0.05
 19.10.12 03:00 ---- 0.01 0.01 0.23 0.12 0.05
 -------- 04:00 ---- 0.01 0.01 0.21 0.11 0.06
 -------- 05:00 ---- 0.00 ---- 0.22 0.08 0.05
 -------- 06:00 ---- 0.00 0.02 0.21 0.10 0.04
 -------- 07:00 0.03 0.01 0.01 0.19 0.18 0.05
 19.10.12 08:00 0.06 0.01 ---- 0.23 0.40 0.07
 -------- 09:00 0.13 0.02 0.01 0.28 0.53 0.12
 -------- 10:00 0.15 0.02 0.01 0.27 0.43 0.14
 -------- 11:00 0.13 0.01 0.01 0.26 0.31 0.12
 -------- 12:00 0.10 0.01 0.02 0.28 0.23 0.08
 19.10.12 13:00 0.07 0.01 0.02 0.29 0.14 0.06
 -------- 14:00 0.05 0.01 0.02 0.31 0.09 0.06
 -------- 15:00 0.03 0.00 0.03 0.27 0.05 0.06
 -------- 16:00 0.02 0.00 0.05 0.24 0.03 0.04
 -------- 17:00 0.02 0.00 0.04 0.26 0.03 0.05
 19.10.12 18:00 0.02 0.00 0.06 0.27 0.01 0.05
 -------- 19:00 0.02 0.00 0.05 0.28 0.02 0.05
 -------- 20:00 0.02 0.00 0.16 0.20 0.00 0.04
 -------- 21:00 ---- 0.00 0.16 0.19 0.01 0.05
 -------- 22:00 ---- 0.00 0.23 0.14 0.00 0.04
 19.10.12 23:00 ---- 0.00 0.24 0.13 0.01 0.04
 -------- 00:00 ---- 0.00 0.21 0.13 0.00 0.04
 -------- 01:00 ---- 0.00 0.24 0.10 0.00 0.04
 -------- 02:00 ---- 0.00 0.28 0.10 ---- 0.04
 -------- 03:00 0.02 0.00 0.35 0.07 ---- 0.03
 20.10.12 04:00 ---- ---- 0.34 0.07 0.00 0.03
 -------- 05:00 ---- 0.00 0.32 0.08 0.00 0.03
 -------- 06:00 ---- ---- 0.31 0.10 0.00 0.04
