 Date Time CO SO2 OZ NO2 NO PM10
 03.03.13 12:00 0.07 ---- 0.28 0.17 0.04 0.05
 -------- 13:00 0.08 0.00 0.23 0.23 0.07 0.05
 -------- 14:00 0.06 0.00 0.30 0.16 0.04 0.05
 -------- 15:00 0.06 0.00 0.35 0.12 0.02 0.05
 -------- 16:00 0.06 0.00 0.34 0.14 0.02 0.06
 03.03.13 17:00 0.05 ---- 0.34 0.13 0.01 0.07
 -------- 18:00 0.04 ---- 0.35 0.13 0.00 0.08
 -------- 19:00 0.04 ---- 0.32 0.17 0.00 0.07
 -------- 20:00 0.06 0.00 0.19 0.26 0.01 0.07
 -------- 21:00 0.06 0.01 0.20 0.24 0.00 0.06
 03.03.13 22:00 0.06 0.02 0.20 0.24 0.01 0.06
 -------- 23:00 0.06 0.00 0.21 0.23 0.01 0.04
 -------- 00:00 0.06 0.00 0.24 0.20 0.00 0.03
 -------- 01:00 0.05 0.00 0.30 0.15 0.00 0.03
 -------- 02:00 0.04 ---- 0.36 0.11 0.00 0.03
 04.03.13 03:00 0.04 ---- 0.38 0.10 ---- 0.03
 -------- 04:00 0.04 ---- 0.36 0.12 ---- 0.03
 -------- 05:00 0.04 ---- 0.33 0.13 0.00 0.03
 -------- 06:00 0.04 ---- 0.31 0.14 0.00 0.03
 -------- 07:00 0.06 ---- 0.27 0.16 0.00 0.04
 04.03.13 08:00 0.06 ---- 0.27 0.17 0.00 0.04
 -------- 09:00 0.06 ---- 0.30 0.16 0.01 0.04
 -------- 10:00 0.06 ---- 0.31 0.15 0.03 0.05
 -------- 11:00 0.06 0.00 0.33 0.13 0.03 0.05
 -------- 12:00 0.06 0.00 0.34 0.12 0.03 0.04
 04.03.13 13:00 0.06 0.00 0.35 0.12 0.02 0.04
 -------- 14:00 0.07 0.00 0.38 0.10 0.02 0.04
 -------- 15:00 0.07 0.00 0.37 0.10 0.02 0.04
 -------- 16:00 0.06 0.00 0.39 0.10 0.02 0.03
 -------- 17:00 0.06 0.00 0.37 0.11 0.02 0.03
 04.03.13 18:00 0.06 0.00 0.35 0.14 0.02 0.03
 -------- 19:00 0.09 ---- 0.29 0.17 0.02 0.05
 -------- 20:00 0.10 ---- 0.30 0.19 0.01 0.05
 -------- 21:00 0.08 0.00 0.26 0.20 0.01 0.05
 -------- 22:00 0.06 0.00 0.28 0.17 0.01 0.04
 04.03.13 23:00 0.06 0.00 0.24 0.18 0.01 0.04
 -------- 00:00 0.06 0.00 0.20 0.19 ---- 0.04
 -------- 01:00 0.06 0.00 0.17 0.22 0.00 0.05
 -------- 02:00 0.06 0.00 0.10 0.26 0.01 0.05
 -------- 03:00 0.06 0.00 0.11 0.26 0.01 0.04
 05.03.13 04:00 0.06 0.00 0.03 0.31 0.02 0.04
 -------- 05:00 0.07 0.00 0.01 0.34 0.11 0.04
 -------- 06:00 0.09 0.00 0.01 0.35 0.14 0.05
 -------- 07:00 0.10 0.01 0.01 0.35 0.23 0.05
 -------- 08:00 0.12 0.01 0.01 0.37 0.31 0.06
 05.03.13 09:00 0.18 0.01 0.02 0.42 0.51 0.09
 -------- 10:00 0.25 0.02 0.03 0.42 0.47 0.11
 -------- 11:00 0.17 0.01 0.09 0.31 0.20 0.06
