 Date Time CO SO2 OZ NO2 NO PM10
 21.12.12 00:00 0.04 0.03 0.02 0.39 0.19 0.09
 -------- 01:00 0.02 0.03 0.02 0.38 0.15 0.10
 -------- 02:00 0.02 0.03 0.01 0.37 0.16 0.10
 -------- 03:00 0.02 0.03 0.01 0.36 0.15 0.10
 -------- 04:00 ---- 0.03 0.02 0.37 0.15 0.11
 21.12.12 05:00 ---- 0.04 0.02 0.35 0.14 0.10
 -------- 06:00 0.04 0.03 0.01 0.35 0.16 0.10
 -------- 07:00 0.04 0.04 0.01 0.35 0.15 0.10
 -------- 08:00 0.06 0.04 0.01 0.36 0.21 0.12
 -------- 09:00 0.09 0.04 0.02 0.36 0.26 0.12
 21.12.12 10:00 0.10 0.04 0.02 0.37 0.28 0.12
 -------- 11:00 0.10 0.05 0.03 0.36 0.28 0.13
 -------- 12:00 0.08 0.08 0.03 0.36 0.27 0.14
 -------- 13:00 0.10 0.11 0.04 0.38 0.30 0.16
 -------- 14:00 0.12 0.11 0.04 0.41 0.37 0.17
 21.12.12 15:00 0.14 0.15 0.03 0.48 0.53 0.18
 -------- 16:00 0.08 0.15 0.03 0.47 0.46 0.19
 -------- 17:00 0.12 0.08 0.03 0.48 0.48 0.19
 -------- 18:00 0.11 0.05 0.02 0.47 0.43 0.15
 -------- 19:00 0.09 0.04 0.02 0.44 0.38 0.13
 21.12.12 20:00 0.08 0.04 0.02 0.43 0.36 0.14
 -------- 21:00 0.04 0.03 0.01 0.38 0.30 0.11
 -------- 22:00 0.04 0.03 0.01 0.39 0.26 0.11
 -------- 23:00 0.03 0.03 0.02 0.39 0.24 0.10
 -------- 00:00 0.02 0.02 0.01 0.38 0.19 0.09
 22.12.12 01:00 ---- 0.02 0.01 0.38 0.17 0.08
 -------- 02:00 0.04 0.02 0.02 0.39 0.17 0.08
 -------- 03:00 0.03 0.02 0.01 0.38 0.18 0.08
 -------- 04:00 0.03 0.02 0.01 0.40 0.19 0.08
 -------- 05:00 0.02 0.02 0.01 0.39 0.17 0.09
 22.12.12 06:00 0.02 0.01 0.02 0.40 0.16 0.09
 -------- 07:00 0.04 0.01 0.01 0.41 0.13 ----
 -------- 08:00 0.03 0.02 0.01 0.42 0.19 ----
 -------- 09:00 0.03 0.02 0.01 0.43 0.19 ----
 -------- 10:00 0.04 0.02 0.02 0.44 0.21 ----
 22.12.12 11:00 0.03 0.02 0.03 0.43 0.14 ----
 -------- 12:00 0.04 0.02 0.04 0.41 0.12 ----
 -------- 13:00 0.04 0.03 0.06 0.41 0.11 ----
 -------- 14:00 0.05 0.04 0.06 0.44 0.16 ----
 -------- 15:00 0.03 0.02 0.08 0.42 0.09 ----
 22.12.12 16:00 0.02 0.01 0.09 0.41 0.04 ----
 -------- 17:00 ---- 0.01 0.05 0.43 0.03 ----
 -------- 18:00 0.02 0.01 0.03 0.44 0.03 ----
 -------- 19:00 0.02 0.01 0.02 0.43 0.03 ----
 -------- 20:00 0.02 0.01 0.02 0.44 0.04 ----
 22.12.12 21:00 0.02 0.01 0.06 0.40 0.02 ----
 -------- 22:00 0.03 0.01 0.07 0.38 0.01 ----
 -------- 23:00 0.03 0.01 0.04 0.38 0.02 ----
