 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 31.12.12 00:00 0.08 0.01 0.01 0.35 0.23 0.05 ----
 -------- 01:00 0.08 0.01 0.02 0.35 0.22 0.05 ----
 -------- 02:00 0.09 0.01 0.01 0.36 0.25 0.05 ----
 -------- 03:00 0.09 0.01 0.01 0.36 0.20 0.04 ----
 -------- 04:00 0.07 0.01 0.02 0.35 0.15 0.05 ----
 31.12.12 05:00 0.05 0.01 0.01 0.33 0.07 0.04 ----
 -------- 06:00 0.02 0.00 0.04 0.24 0.01 0.02 ----
 -------- 07:00 ---- ---- 0.09 0.19 0.00 0.02 ----
 -------- 08:00 0.03 ---- 0.07 0.21 0.01 0.02 ----
 -------- 09:00 0.05 0.00 0.02 0.26 0.02 0.02 ----
 31.12.12 10:00 0.03 ---- 0.07 0.21 0.01 0.02 ----
 -------- 11:00 0.02 0.00 0.14 0.18 0.01 0.02 ----
 -------- 12:00 0.02 ---- 0.13 0.18 0.02 0.03 ----
 -------- 13:00 0.02 ---- 0.15 0.18 0.02 0.03 ----
 -------- 14:00 0.02 0.00 0.14 0.19 0.02 0.04 ----
 31.12.12 15:00 0.03 ---- 0.10 0.23 0.02 0.05 ----
 -------- 16:00 0.04 0.00 0.08 0.25 0.02 0.05 ----
 -------- 17:00 0.02 ---- 0.11 0.23 0.01 0.04 ----
 -------- 18:00 0.02 ---- 0.12 0.22 0.00 0.04 ----
 -------- 19:00 0.02 ---- 0.13 0.21 0.00 0.05 ----
 31.12.12 20:00 0.02 ---- 0.07 0.26 0.02 0.05 ----
 -------- 21:00 0.02 0.00 0.03 0.27 0.03 0.06 ----
 -------- 22:00 0.04 0.00 0.03 0.28 0.04 0.06 ----
 -------- 23:00 0.04 0.00 0.02 0.29 0.04 0.09 ----
 -------- 00:00 0.04 0.00 0.04 0.26 0.02 0.11 ----
 01.01.13 01:00 0.04 0.00 0.04 0.25 0.02 0.22 ----
 -------- 02:00 0.03 0.00 0.06 0.24 0.02 0.19 ----
 -------- 03:00 0.02 0.00 0.06 0.25 0.02 0.16 ----
 -------- 04:00 0.02 0.00 0.09 0.23 0.01 0.12 ----
 -------- 05:00 0.02 0.00 0.10 0.21 0.00 0.09 ----
 01.01.13 06:00 ---- 0.00 0.17 0.17 0.00 0.06 ----
 -------- 07:00 ---- 0.00 0.19 0.18 0.00 0.05 ----
 -------- 08:00 ---- 0.00 0.13 0.23 0.01 0.05 ----
 -------- 09:00 ---- 0.00 0.10 0.22 0.01 0.05 ----
 -------- 10:00 ---- 0.00 0.13 0.21 0.01 0.05 ----
 01.01.13 11:00 ---- 0.00 0.14 0.21 0.01 0.05 ----
 -------- 12:00 0.02 0.00 0.27 0.13 0.01 0.04 ----
 -------- 13:00 0.02 0.00 0.29 0.12 0.01 0.04 ----
 -------- 14:00 0.02 0.00 0.28 0.11 0.00 0.04 ----
 -------- 15:00 0.02 0.00 0.31 0.10 0.00 0.04 ----
 01.01.13 16:00 0.02 0.00 0.31 0.12 0.00 0.04 ----
 -------- 17:00 0.02 0.00 0.26 0.14 ---- 0.04 ----
 -------- 18:00 0.02 0.00 0.23 0.18 ---- 0.04 ----
 -------- 19:00 0.02 0.00 0.21 0.19 ---- 0.04 ----
 -------- 20:00 0.02 0.00 0.19 0.19 ---- 0.04 ----
 01.01.13 21:00 0.02 0.00 0.22 0.17 0.00 0.04 ----
 -------- 22:00 0.02 0.00 0.23 0.15 ---- 0.04 ----
 -------- 23:00 0.02 0.00 0.24 0.14 ---- 0.03 ----
