 Date Time CO SO2 OZ NO2 NO PM10
 16.12.12 00:00 ---- 0.01 0.03 0.30 0.02 0.04
 -------- 01:00 ---- 0.01 0.02 0.30 0.02 0.05
 -------- 02:00 ---- 0.01 0.05 0.28 0.01 0.05
 -------- 03:00 ---- 0.01 0.03 0.29 0.01 0.05
 -------- 04:00 ---- 0.01 0.01 0.29 0.03 0.05
 16.12.12 05:00 ---- 0.01 0.01 0.29 0.02 0.05
 -------- 06:00 0.02 0.00 0.02 0.28 0.02 0.05
 -------- 07:00 0.02 0.01 0.01 0.28 0.02 0.04
 -------- 08:00 0.02 0.00 0.01 0.29 0.03 0.04
 -------- 09:00 0.02 0.00 0.01 0.29 0.03 0.04
 16.12.12 10:00 0.03 0.01 0.02 0.28 0.05 0.05
 -------- 11:00 0.04 0.01 0.05 0.27 0.08 0.06
 -------- 12:00 0.05 0.01 0.06 0.30 0.11 0.06
 -------- 13:00 0.05 0.01 0.09 0.30 0.10 0.06
 -------- 14:00 0.06 0.02 0.10 0.32 0.10 0.06
 16.12.12 15:00 0.04 0.01 0.10 0.31 0.07 0.06
 -------- 16:00 0.03 0.01 0.06 0.37 0.09 0.06
 -------- 17:00 0.05 0.01 0.02 0.37 0.07 0.07
 -------- 18:00 0.04 0.01 0.01 0.36 0.05 0.06
 -------- 19:00 0.04 0.01 0.01 0.36 0.05 0.05
 16.12.12 20:00 0.04 0.01 0.02 0.37 0.05 0.05
 -------- 21:00 0.03 0.01 0.03 0.36 0.03 0.05
 -------- 22:00 0.02 0.01 0.02 0.37 0.03 0.06
 -------- 23:00 0.02 0.01 0.01 0.37 0.03 0.06
 -------- 00:00 0.02 0.01 0.01 0.39 0.07 0.06
 17.12.12 01:00 0.05 0.01 0.01 0.38 0.13 0.07
 -------- 02:00 0.03 0.01 ---- 0.36 0.06 0.07
 -------- 03:00 0.02 0.01 0.01 0.34 0.07 0.05
 -------- 04:00 0.02 0.01 ---- 0.34 0.07 0.05
 -------- 05:00 0.02 0.00 ---- 0.34 0.06 0.04
 17.12.12 06:00 0.02 0.00 0.01 0.38 0.10 0.04
 -------- 07:00 0.02 0.01 0.01 0.41 0.24 ----
 -------- 08:00 0.03 0.01 0.01 0.41 0.21 ----
 -------- 09:00 0.05 0.01 0.01 0.41 0.26 ----
 -------- 10:00 0.09 0.02 0.01 0.48 0.46 ----
 17.12.12 11:00 0.10 0.02 0.01 0.51 0.34 ----
 -------- 12:00 0.06 0.02 0.01 0.57 0.45 ----
 -------- 13:00 0.07 0.02 0.02 0.53 0.35 ----
 -------- 14:00 0.03 0.02 0.03 0.53 0.30 ----
 -------- 15:00 0.03 0.02 0.04 0.50 0.23 ----
 17.12.12 16:00 ---- 0.01 0.02 0.48 0.18 ----
 -------- 17:00 ---- 0.01 0.01 0.48 0.19 ----
 -------- 18:00 ---- 0.01 0.01 0.47 0.20 ----
 -------- 19:00 ---- 0.01 0.01 0.43 0.15 ----
 -------- 20:00 ---- 0.01 ---- 0.41 0.17 ----
 17.12.12 21:00 ---- 0.01 0.01 0.40 0.15 ----
 -------- 22:00 0.02 0.01 0.01 0.33 0.03 ----
 -------- 23:00 0.02 0.00 0.03 0.29 0.02 ----
