 Date Time CO SO2 OZ NO2 NO PM10
 26.11.12 00:00 0.02 0.00 0.03 0.22 0.01 0.09
 -------- 01:00 0.02 0.00 0.05 0.21 0.01 0.07
 -------- 02:00 0.02 0.00 0.06 0.19 0.01 0.06
 -------- 03:00 ---- 0.00 0.09 0.17 0.00 0.05
 -------- 04:00 ---- 0.00 0.08 0.17 0.00 0.04
 26.11.12 05:00 0.02 0.00 0.07 0.16 0.00 0.04
 -------- 06:00 0.02 0.00 0.04 0.18 0.01 0.05
 -------- 07:00 0.04 0.00 0.02 0.21 0.02 0.06
 -------- 08:00 0.04 0.00 0.02 0.20 0.03 0.06
 -------- 09:00 0.04 0.00 0.01 0.20 0.05 0.06
 26.11.12 10:00 0.04 0.00 0.01 0.20 0.06 0.07
 -------- 11:00 0.05 0.01 0.01 0.19 0.07 0.07
 -------- 12:00 0.05 0.01 0.02 0.17 0.06 0.06
 -------- 13:00 0.04 0.01 0.02 0.17 0.06 ----
 -------- 14:00 0.04 0.01 0.01 0.18 0.07 0.13
 26.11.12 15:00 0.05 0.01 0.02 0.19 0.10 0.11
 -------- 16:00 0.04 0.01 0.01 0.19 0.15 0.11
 -------- 17:00 0.04 0.01 0.01 0.19 0.16 0.11
 -------- 18:00 0.04 0.01 0.01 0.19 0.14 0.09
 -------- 19:00 0.03 0.01 0.01 0.17 0.11 0.08
 26.11.12 20:00 0.02 0.01 0.01 0.15 0.08 0.07
 -------- 21:00 0.02 0.01 0.02 0.16 0.09 0.08
 -------- 22:00 0.02 0.01 0.01 0.15 0.09 0.08
 -------- 23:00 0.02 0.00 0.01 0.14 0.06 0.06
 -------- 00:00 0.02 0.01 0.01 0.15 0.07 0.06
 27.11.12 01:00 0.02 0.00 0.01 0.14 0.05 0.06
 -------- 02:00 0.02 0.00 0.03 0.12 0.02 0.05
 -------- 03:00 0.02 0.00 0.03 0.12 0.03 0.05
 -------- 04:00 0.02 0.00 0.02 0.12 0.03 0.04
 -------- 05:00 0.02 0.00 0.01 0.12 0.04 0.04
 27.11.12 06:00 0.02 0.00 ---- 0.14 0.07 0.04
 -------- 07:00 0.03 0.00 0.02 0.18 0.08 ----
 -------- 08:00 0.04 0.01 0.01 0.18 0.12 ----
 -------- 09:00 0.05 0.01 0.01 0.18 0.15 ----
 -------- 10:00 0.06 0.01 0.01 0.19 0.15 ----
 27.11.12 11:00 0.03 0.01 0.01 0.17 0.10 ----
 -------- 12:00 0.02 0.01 0.01 0.17 0.12 ----
 -------- 13:00 0.02 0.01 0.01 0.18 0.12 ----
 -------- 14:00 0.02 0.01 0.03 0.19 0.09 ----
 -------- 15:00 0.02 0.00 0.03 0.19 0.08 ----
 27.11.12 16:00 0.02 0.00 0.02 0.19 0.07 ----
 -------- 17:00 0.02 0.00 0.02 0.19 0.07 ----
 -------- 18:00 0.02 0.01 0.01 0.21 0.08 ----
 -------- 19:00 0.02 0.00 0.02 0.21 0.06 ----
 -------- 20:00 0.02 0.00 0.03 0.23 0.07 ----
 27.11.12 21:00 0.02 0.00 0.01 0.24 0.06 ----
 -------- 22:00 0.02 0.00 0.02 0.22 0.05 ----
 -------- 23:00 ---- 0.00 0.01 0.21 0.05 ----
