 Date Time CO NO2 CHX NO PM10
 23.10.12 12:00 0.08 0.21 1.35 0.04 0.07
 -------- 13:00 0.08 0.22 1.35 0.06 0.10
 -------- 14:00 0.10 0.23 1.36 0.08 0.09
 -------- 15:00 0.09 0.23 1.35 0.07 0.07
 -------- 16:00 0.09 0.23 1.36 0.06 0.07
 23.10.12 17:00 0.09 0.23 1.36 0.06 0.07
 -------- 18:00 0.09 0.24 1.35 0.04 0.08
 -------- 19:00 0.07 0.24 1.34 0.03 0.07
 -------- 20:00 0.06 0.24 1.33 0.02 0.06
 -------- 21:00 0.06 0.23 1.32 0.01 0.06
 23.10.12 22:00 0.07 0.24 1.33 0.03 0.07
 -------- 23:00 0.08 0.24 1.34 0.08 0.11
 -------- 00:00 0.11 0.25 1.36 0.12 0.13
 -------- 01:00 0.09 0.23 1.41 0.09 0.09
 -------- 02:00 0.08 0.22 1.51 0.08 0.11
 24.10.12 03:00 0.07 0.21 1.50 0.06 0.10
 -------- 04:00 0.06 0.20 1.50 0.03 0.06
 -------- 05:00 0.07 0.19 1.51 0.04 0.08
 -------- 06:00 0.09 0.18 1.47 0.09 0.08
 -------- 07:00 0.13 0.20 1.51 0.15 0.13
 24.10.12 08:00 0.17 0.21 1.53 0.20 0.21
 -------- 09:00 0.17 0.22 1.49 0.21 0.22
 -------- 10:00 0.15 0.21 1.46 0.15 0.16
 -------- 11:00 0.15 0.21 1.43 0.16 0.16
 -------- 12:00 0.15 0.21 1.41 0.14 0.15
 24.10.12 13:00 0.13 0.21 1.37 0.11 0.13
 -------- 14:00 0.10 0.19 1.36 0.08 0.10
 -------- 15:00 0.09 0.18 1.34 0.05 0.09
 -------- 16:00 0.11 0.18 1.34 0.05 0.09
 -------- 17:00 0.08 0.18 1.35 0.05 0.08
 24.10.12 18:00 0.08 0.16 1.34 0.03 0.07
 -------- 19:00 0.06 0.15 1.33 0.01 0.05
 -------- 20:00 0.07 0.17 1.34 0.01 0.05
 -------- 21:00 0.09 0.22 1.37 0.03 0.06
 -------- 22:00 0.11 0.23 1.36 0.03 0.06
 24.10.12 23:00 0.10 0.22 1.36 0.03 0.05
 -------- 00:00 0.08 0.20 1.36 0.02 0.04
 -------- 01:00 0.07 0.18 1.35 0.02 0.05
 -------- 02:00 0.07 0.15 1.34 0.01 0.03
 -------- 03:00 0.06 0.17 1.36 0.01 0.02
 25.10.12 04:00 0.05 0.14 1.34 0.01 0.03
 -------- 05:00 0.05 0.14 1.34 0.00 0.02
 -------- 06:00 0.05 0.16 1.34 0.01 0.03
 -------- 07:00 0.06 0.17 1.34 0.01 0.03
 -------- 08:00 ---- 0.19 1.35 0.02 0.05
 25.10.12 09:00 ---- 0.18 1.34 0.02 0.05
 -------- 10:00 ---- 0.18 1.35 0.03 0.07
 -------- 11:00 ---- 0.17 1.34 0.02 0.07
