 Date Time CO NO2 CHX NO PM10
 03.02.13 00:00 0.25 0.30 1.84 0.38 0.08
 -------- 01:00 0.11 0.30 1.51 0.13 0.11
 -------- 02:00 0.13 0.29 1.54 0.18 0.08
 -------- 03:00 0.09 0.29 1.48 0.06 0.10
 -------- 04:00 0.06 0.27 1.40 0.02 0.05
 03.02.13 05:00 0.06 0.27 1.38 0.02 0.05
 -------- 06:00 0.06 0.25 1.40 0.01 0.06
 -------- 07:00 0.06 0.25 1.40 0.01 0.04
 -------- 08:00 0.06 0.22 1.40 0.01 0.04
 -------- 09:00 0.06 0.25 1.46 0.01 0.05
 03.02.13 10:00 0.07 0.29 1.43 0.05 0.05
 -------- 11:00 0.08 0.25 1.41 0.03 0.05
 -------- 12:00 0.08 0.23 1.38 0.03 0.04
 -------- 13:00 0.07 0.20 1.36 0.02 0.03
 -------- 14:00 0.07 0.21 1.35 0.02 0.02
 03.02.13 15:00 0.08 0.24 1.37 0.01 0.03
 -------- 16:00 0.07 0.20 1.36 0.01 0.03
 -------- 17:00 0.08 0.23 1.37 0.01 0.04
 -------- 18:00 0.08 0.24 1.39 0.01 0.04
 -------- 19:00 0.08 0.26 1.39 0.01 0.04
 03.02.13 20:00 0.08 0.27 1.39 0.02 0.04
 -------- 21:00 0.08 0.30 1.37 0.03 0.03
 -------- 22:00 0.09 0.31 1.38 0.03 0.03
 -------- 23:00 0.09 0.30 1.41 0.02 0.03
 -------- 00:00 0.08 0.23 1.40 0.01 0.03
 04.02.13 01:00 0.06 0.17 1.36 0.00 0.02
 -------- 02:00 0.07 0.15 1.35 ---- 0.02
 -------- 03:00 0.06 0.15 1.36 ---- 0.02
 -------- 04:00 0.06 0.22 1.44 0.01 0.02
 -------- 05:00 0.07 0.26 1.49 0.02 0.02
 04.02.13 06:00 0.11 0.28 1.55 0.12 0.02
 -------- 07:00 0.23 0.31 1.61 0.41 0.06
 -------- 08:00 0.27 0.33 1.63 0.51 0.08
 -------- 09:00 0.30 0.36 1.68 0.51 0.08
 -------- 10:00 0.29 0.36 1.73 0.54 0.10
 04.02.13 11:00 0.31 0.37 1.76 0.57 0.09
 -------- 12:00 0.25 0.33 1.82 0.39 0.06
 -------- 13:00 0.16 0.26 1.56 0.19 0.02
 -------- 14:00 0.10 0.17 1.35 0.08 0.01
 -------- 15:00 0.09 0.19 1.36 0.09 0.01
 04.02.13 16:00 0.07 0.16 1.36 0.04 0.02
 -------- 17:00 0.08 0.17 1.46 0.06 0.02
 -------- 18:00 0.08 0.23 1.46 0.05 0.02
 -------- 19:00 0.08 0.23 1.47 0.05 0.02
