 Date Time CO NO2 CHX NO PM10
 15.02.13 13:00 0.17 0.41 1.52 0.30 0.29
 -------- 14:00 0.19 0.47 1.61 0.36 0.35
 -------- 15:00 0.16 0.43 1.60 0.26 0.41
 -------- 16:00 0.14 0.40 1.48 0.19 0.31
 -------- 17:00 0.18 0.44 1.51 0.21 0.38
 15.02.13 18:00 0.19 0.42 1.50 0.16 0.29
 -------- 19:00 0.16 0.42 1.47 0.15 0.29
 -------- 20:00 0.15 0.41 1.48 0.15 0.21
 -------- 21:00 0.19 0.45 1.55 0.26 0.26
 -------- 22:00 0.24 0.47 1.59 0.29 0.23
 15.02.13 23:00 0.25 0.47 1.71 0.30 0.19
 -------- 00:00 0.24 0.42 1.84 0.32 0.16
 -------- 01:00 0.23 0.41 1.74 0.33 0.15
 -------- 02:00 0.19 0.40 1.67 0.29 0.13
 -------- 03:00 0.18 0.41 1.67 0.32 0.13
 16.02.13 04:00 0.17 0.40 1.67 0.29 0.13
 -------- 05:00 0.18 0.42 1.69 0.33 0.13
 -------- 06:00 0.17 0.42 1.68 0.29 0.14
 -------- 07:00 0.17 0.43 1.68 0.30 0.13
 -------- 08:00 0.21 0.41 1.78 0.34 0.14
 16.02.13 09:00 0.27 0.42 1.82 0.43 0.16
 -------- 10:00 0.27 0.45 1.83 0.51 0.17
 -------- 11:00 0.24 0.45 1.81 0.36 0.21
 -------- 12:00 0.19 0.46 1.65 0.29 0.27
 -------- 13:00 0.17 0.46 1.63 0.26 0.20
 16.02.13 14:00 0.19 0.48 1.69 0.28 0.23
 -------- 15:00 0.14 0.46 1.57 0.19 0.18
 -------- 16:00 0.11 0.35 1.47 0.12 0.16
 -------- 17:00 0.10 0.32 1.44 0.10 0.10
 -------- 18:00 0.11 0.33 1.46 0.09 0.10
 16.02.13 19:00 0.13 0.36 1.48 0.09 0.10
 -------- 20:00 0.12 0.32 1.46 0.09 0.08
 -------- 21:00 0.10 0.24 1.42 0.07 0.06
 -------- 22:00 0.08 0.21 1.38 0.06 0.04
 -------- 23:00 0.09 0.23 1.42 0.06 0.06
