 Date Time CO NO2 CHX NO PM10
 25.12.12 12:00 0.08 0.38 1.46 0.13 0.08
 -------- 13:00 0.09 0.39 1.48 0.15 0.06
 -------- 14:00 0.10 0.40 1.49 0.14 0.09
 -------- 15:00 0.07 0.34 1.48 0.07 0.09
 -------- 16:00 0.08 0.33 1.50 0.07 0.08
 25.12.12 17:00 0.07 0.33 1.49 0.05 0.08
 -------- 18:00 0.09 0.35 1.51 0.09 0.10
 -------- 19:00 0.09 0.34 1.50 0.09 0.09
 -------- 20:00 0.08 0.33 1.49 0.11 0.09
 -------- 21:00 0.08 0.32 1.47 0.11 0.10
 25.12.12 22:00 0.08 0.31 1.45 0.10 0.09
 -------- 23:00 0.08 0.30 1.45 0.09 0.08
 -------- 00:00 0.07 0.28 1.44 0.04 0.06
 -------- 01:00 0.06 0.20 1.38 0.01 0.05
 -------- 02:00 0.05 0.19 1.38 0.01 0.05
 26.12.12 03:00 0.04 0.17 1.39 0.01 0.05
 -------- 04:00 0.06 0.18 1.40 0.01 0.05
 -------- 05:00 0.06 0.18 1.41 0.01 0.05
 -------- 06:00 0.06 0.15 1.41 0.01 0.06
 -------- 07:00 0.06 0.17 1.43 0.01 0.06
 26.12.12 08:00 0.07 0.22 1.45 0.02 0.06
 -------- 09:00 0.08 0.24 1.44 0.02 0.06
 -------- 10:00 0.09 0.26 1.50 0.04 0.05
 -------- 11:00 0.09 0.22 1.42 0.03 0.05
 -------- 12:00 0.10 0.19 1.42 0.02 0.05
 26.12.12 13:00 0.10 0.20 1.44 0.04 0.05
 -------- 14:00 0.11 0.22 1.46 0.05 0.07
 -------- 15:00 0.11 0.21 1.44 0.03 0.08
 -------- 16:00 0.09 0.22 1.43 0.03 0.08
 -------- 17:00 0.08 0.19 1.42 0.02 0.08
 26.12.12 18:00 0.08 0.18 1.42 0.01 0.08
 -------- 19:00 0.07 0.17 1.41 0.01 0.07
 -------- 20:00 0.07 0.15 1.40 0.01 0.07
 -------- 21:00 0.07 0.18 1.41 0.02 0.05
 -------- 22:00 0.08 0.22 1.44 0.06 0.06
 26.12.12 23:00 0.06 0.20 1.40 0.02 0.03
 -------- 00:00 0.07 0.20 1.41 0.04 0.04
 -------- 01:00 0.06 0.16 1.38 0.01 0.03
 -------- 02:00 0.05 0.14 1.35 0.00 0.03
 -------- 03:00 0.04 0.09 1.34 ---- 0.02
 27.12.12 04:00 0.06 0.16 1.37 0.01 0.02
 -------- 05:00 0.06 0.22 1.38 0.01 0.02
 -------- 06:00 0.06 0.20 1.40 0.01 0.02
 -------- 07:00 0.06 0.23 1.39 0.01 0.03
 -------- 08:00 0.07 0.23 1.40 0.01 0.03
 27.12.12 09:00 0.09 0.26 1.43 0.03 0.05
 -------- 10:00 0.13 0.28 1.49 0.10 0.06
 -------- 11:00 0.13 0.28 1.50 0.12 0.06
