 Date Time CO NO2 CHX NO PM10
 15.03.13 12:00 0.13 0.37 1.54 0.18 0.09
 -------- 13:00 0.13 0.36 1.53 0.18 0.08
 -------- 14:00 0.10 0.29 1.46 0.11 0.05
 -------- 15:00 0.09 0.25 1.44 0.07 0.05
 -------- 16:00 0.10 0.25 1.42 0.09 0.04
 15.03.13 17:00 0.10 0.23 1.41 0.06 0.03
 -------- 18:00 0.09 0.20 1.39 0.03 0.02
 -------- 19:00 0.08 0.18 1.39 0.02 0.03
 -------- 20:00 0.07 0.17 1.39 0.03 0.02
 -------- 21:00 0.09 0.21 1.39 0.05 0.02
 15.03.13 22:00 0.11 0.26 1.41 0.08 0.02
 -------- 23:00 0.14 0.32 1.50 0.09 0.04
 -------- 00:00 0.17 0.35 1.66 0.19 0.05
 -------- 01:00 0.15 0.36 1.58 0.21 0.07
 -------- 02:00 0.13 0.37 1.53 0.18 0.07
 16.03.13 03:00 0.23 0.37 1.66 0.36 0.08
 -------- 04:00 0.18 0.35 1.58 0.22 0.07
 -------- 05:00 0.14 0.33 1.56 0.19 0.07
 -------- 06:00 0.10 0.29 1.52 0.06 0.08
 -------- 07:00 0.08 0.29 1.50 0.06 0.12
 16.03.13 08:00 0.09 0.31 1.46 0.11 0.15
 -------- 09:00 0.12 0.32 1.52 0.18 0.16
 -------- 10:00 0.12 0.33 1.57 0.19 0.17
 -------- 11:00 0.12 0.33 1.54 0.17 0.13
 -------- 12:00 0.12 0.32 1.53 0.14 0.22
 16.03.13 13:00 0.11 0.43 1.53 0.09 0.11
 -------- 14:00 0.07 0.20 1.39 0.03 0.04
 -------- 15:00 0.07 0.17 1.40 0.02 0.04
 -------- 16:00 0.06 0.14 1.39 0.01 0.03
 -------- 17:00 0.07 0.16 1.38 0.01 0.04
 16.03.13 18:00 0.06 0.17 1.38 0.01 0.04
 -------- 19:00 0.07 0.17 1.38 0.00 0.04
 -------- 20:00 0.08 0.20 1.39 0.00 0.04
 -------- 21:00 0.08 0.19 1.39 0.00 0.04
 -------- 22:00 0.08 0.20 1.39 0.00 0.04
 16.03.13 23:00 0.08 0.19 1.37 0.01 0.03
 -------- 00:00 0.07 0.15 1.35 0.01 0.01
 -------- 01:00 0.07 0.14 1.37 0.02 0.02
 -------- 02:00 0.07 0.22 1.38 0.02 0.03
 -------- 03:00 0.06 0.09 1.33 0.01 0.01
 17.03.13 04:00 0.06 0.09 1.31 0.01 0.02
 -------- 05:00 0.06 0.09 1.31 0.00 0.03
 -------- 06:00 0.06 0.14 1.31 0.01 0.03
 -------- 07:00 0.06 0.15 1.31 0.02 0.03
 -------- 08:00 0.06 0.14 1.31 0.01 0.03
 17.03.13 09:00 0.06 0.15 1.31 0.02 0.02
 -------- 10:00 0.06 0.18 1.31 0.03 0.03
 -------- 11:00 0.06 0.17 1.32 0.04 0.03
