 Date Time CO NO2 CHX NO PM10
 03.04.13 00:00 0.07 0.32 1.37 0.01 0.05
 -------- 01:00 0.06 0.24 1.34 0.01 0.04
 -------- 02:00 0.06 0.19 1.36 0.00 0.03
 -------- 03:00 0.06 0.17 1.35 ---- 0.03
 -------- 04:00 0.06 0.23 1.36 0.01 0.04
 03.04.13 05:00 0.06 0.24 1.37 0.00 0.04
 -------- 06:00 0.08 0.27 1.39 0.01 0.04
 -------- 07:00 0.09 0.35 1.40 0.02 0.05
 -------- 08:00 0.12 0.41 1.43 0.06 0.06
 -------- 09:00 0.15 0.46 1.47 0.10 0.06
 03.04.13 10:00 0.17 0.48 1.50 0.19 0.11
 -------- 11:00 0.19 0.49 1.55 0.21 0.15
 -------- 12:00 0.14 0.41 ---- 0.13 0.10
 -------- 13:00 0.12 0.31 ---- 0.11 0.10
 -------- 14:00 0.10 0.26 ---- 0.10 0.07
 03.04.13 15:00 0.08 0.22 ---- 0.08 0.05
 -------- 16:00 0.09 0.24 ---- 0.08 0.05
 -------- 17:00 0.09 0.26 ---- 0.09 0.07
 -------- 18:00 0.08 0.23 ---- 0.06 0.07
 -------- 19:00 0.07 0.21 ---- 0.05 0.07
 03.04.13 20:00 0.11 0.28 ---- 0.06 0.09
 -------- 21:00 0.11 0.30 ---- 0.07 0.10
 -------- 22:00 0.14 0.44 ---- 0.14 0.19
 -------- 23:00 0.14 0.49 ---- 0.14 0.20
 -------- 00:00 0.13 0.45 ---- 0.10 0.14
 04.04.13 01:00 0.11 0.46 ---- 0.12 0.09
 -------- 02:00 0.13 0.44 ---- 0.15 0.26
 -------- 03:00 0.10 0.42 ---- 0.10 0.06
 -------- 04:00 0.07 0.39 ---- 0.05 0.05
 -------- 05:00 0.06 0.35 ---- 0.05 0.03
 04.04.13 06:00 0.07 0.36 ---- 0.03 0.04
 -------- 07:00 0.11 0.45 ---- 0.08 0.06
 -------- 08:00 0.09 0.36 ---- 0.07 0.12
 -------- 09:00 0.09 0.27 ---- 0.07 0.21
 -------- 10:00 0.07 0.26 ---- 0.06 0.17
 04.04.13 11:00 0.05 0.20 ---- 0.03 0.08
 -------- 12:00 0.06 0.18 ---- 0.03 0.06
 -------- 13:00 0.06 0.21 0.77 0.05 0.17
 -------- 14:00 0.05 0.15 1.20 0.03 0.18
 -------- 15:00 0.06 0.18 1.30 0.04 0.13
 04.04.13 16:00 0.06 0.20 1.26 0.04 0.12
 -------- 17:00 0.06 0.21 1.26 0.03 0.10
 -------- 18:00 0.08 0.25 1.27 0.03 0.12
 -------- 19:00 0.06 0.24 1.27 0.02 0.10
 -------- 20:00 0.08 0.31 1.30 0.04 0.16
 04.04.13 21:00 0.09 0.37 1.37 0.05 0.20
 -------- 22:00 0.09 0.35 1.30 0.04 0.18
 -------- 23:00 0.09 0.38 1.33 0.04 0.13
