 Date Time CO NO2 CHX NO PM10
 05.12.12 00:00 0.04 0.07 1.33 0.01 0.03
 -------- 01:00 0.04 0.07 1.33 0.01 0.03
 -------- 02:00 0.04 0.07 1.33 0.00 0.03
 -------- 03:00 0.04 0.06 1.33 0.00 0.03
 -------- 04:00 0.05 0.06 1.32 0.00 0.03
 05.12.12 05:00 0.06 0.07 1.32 0.00 0.02
 -------- 06:00 0.06 0.09 1.32 0.01 0.03
 -------- 07:00 0.06 0.12 1.32 0.01 0.04
 -------- 14:00 0.07 0.15 1.31 0.04 0.03
 -------- 15:00 0.07 0.18 1.35 0.05 0.03
 05.12.12 16:00 0.06 0.21 1.34 0.03 0.03
 -------- 17:00 0.08 0.29 1.37 0.04 0.05
 -------- 18:00 0.09 0.33 1.41 0.06 0.05
 -------- 19:00 0.08 0.31 1.42 0.03 0.04
 -------- 20:00 0.07 0.28 1.38 0.02 0.03
 05.12.12 21:00 0.07 0.28 1.37 0.02 0.04
 -------- 22:00 0.06 0.25 1.34 0.01 0.03
 -------- 23:00 0.07 0.26 1.37 0.02 0.03
 -------- 00:00 0.07 0.29 1.39 0.05 0.04
 -------- 01:00 0.10 0.32 1.46 0.13 0.07
 06.12.12 02:00 0.09 0.31 1.46 0.11 0.05
 -------- 03:00 0.08 0.30 1.38 0.08 0.05
 -------- 04:00 0.09 0.30 1.44 0.10 0.05
 -------- 05:00 0.07 0.26 1.43 0.06 0.06
 -------- 06:00 0.08 0.26 1.45 0.09 0.06
 06.12.12 07:00 0.09 0.27 1.47 0.11 0.06
 -------- 08:00 0.11 0.27 1.48 0.11 0.06
 -------- 09:00 0.09 0.25 1.39 0.07 0.06
 -------- 10:00 0.09 0.25 1.38 0.08 0.06
 -------- 11:00 0.11 0.26 1.43 0.11 0.09
 06.12.12 12:00 0.10 0.25 1.41 0.09 0.08
 -------- 13:00 0.10 0.24 1.40 0.08 0.08
 -------- 14:00 0.10 0.24 1.40 0.08 0.09
 -------- 15:00 0.08 0.23 1.39 0.06 0.07
 -------- 16:00 0.08 0.24 1.38 0.06 0.06
 06.12.12 17:00 0.08 0.25 1.37 0.05 0.07
 -------- 18:00 0.07 0.22 1.36 0.02 0.05
 -------- 19:00 0.06 0.20 1.36 0.01 0.05
 -------- 20:00 0.06 0.20 1.36 0.02 0.04
 -------- 21:00 0.09 0.24 1.39 0.06 0.07
 06.12.12 22:00 0.07 0.20 1.41 0.02 0.06
 -------- 23:00 0.06 0.18 1.45 0.02 0.06
