 Date Time CO NO2 CHX NO PM10
 04.02.13 12:00 0.25 0.33 1.82 0.39 0.06
 -------- 13:00 0.16 0.26 1.56 0.19 0.02
 -------- 14:00 0.10 0.17 1.35 0.08 0.01
 -------- 15:00 0.09 0.19 1.36 0.09 0.01
 -------- 16:00 0.07 0.16 1.36 0.04 0.02
 04.02.13 17:00 0.08 0.17 1.46 0.06 0.02
 -------- 18:00 0.08 0.23 1.46 0.05 0.02
 -------- 19:00 0.07 0.20 1.44 0.04 0.02
 -------- 20:00 0.06 0.17 1.34 0.02 0.02
 -------- 21:00 0.05 0.15 1.31 0.01 0.02
 04.02.13 22:00 0.05 0.12 1.31 0.01 0.02
 -------- 23:00 0.05 0.15 1.31 0.02 0.02
 -------- 00:00 0.04 0.15 1.32 0.02 0.02
 -------- 01:00 0.04 0.12 1.30 0.01 0.02
 -------- 02:00 0.04 0.09 1.28 0.01 0.02
 05.02.13 03:00 0.04 0.08 1.27 0.01 0.02
 -------- 04:00 0.04 0.10 1.27 0.01 0.02
 -------- 05:00 0.04 0.09 1.26 0.00 0.02
 -------- 06:00 0.04 0.10 1.27 0.00 0.03
 -------- 07:00 0.04 0.12 1.27 0.01 0.02
 05.02.13 08:00 ---- 0.13 ---- 0.00 0.02
 -------- 09:00 ---- 0.17 ---- 0.01 0.02
 -------- 10:00 ---- 0.17 ---- 0.02 0.03
 -------- 11:00 ---- 0.19 ---- 0.03 0.03
 -------- 12:00 ---- 0.23 ---- 0.05 0.02
 05.02.13 13:00 ---- 0.24 ---- 0.07 0.06
 -------- 14:00 ---- 0.25 ---- 0.10 0.05
 -------- 15:00 ---- 0.28 ---- 0.10 0.05
 -------- 16:00 ---- 0.26 ---- 0.05 0.04
 -------- 17:00 ---- 0.23 ---- 0.02 0.03
 05.02.13 18:00 ---- 0.34 ---- 0.04 0.05
