 Date Time CO NO2 CHX NO PM10
 25.03.13 00:00 0.04 0.08 1.26 0.01 0.01
 -------- 01:00 0.04 0.09 1.26 0.01 0.01
 -------- 02:00 0.04 0.09 1.26 0.01 0.01
 -------- 03:00 0.04 0.07 1.25 0.00 0.01
 -------- 04:00 0.04 0.05 1.25 0.01 0.01
 25.03.13 05:00 0.04 0.09 1.25 0.04 0.03
 -------- 06:00 0.04 0.07 1.26 0.01 0.03
 -------- 07:00 0.04 0.09 1.27 0.02 0.02
 -------- 08:00 0.06 0.11 1.28 0.03 0.02
 -------- 09:00 0.06 0.10 1.28 0.03 0.03
 25.03.13 10:00 0.06 0.09 1.27 0.04 0.03
 -------- 11:00 0.05 0.09 1.27 0.04 0.03
 -------- 12:00 0.05 0.09 1.27 0.03 0.02
 -------- 13:00 0.05 0.10 1.27 0.04 0.03
 -------- 14:00 0.05 0.10 1.27 0.05 0.02
 25.03.13 15:00 0.04 0.09 1.27 0.03 0.03
 -------- 16:00 0.04 0.09 1.27 0.03 0.03
 -------- 17:00 0.04 0.09 1.26 0.03 0.02
 -------- 18:00 0.05 0.10 1.27 0.03 0.02
 -------- 19:00 0.05 0.12 1.27 0.03 0.03
 25.03.13 20:00 0.06 0.18 1.37 0.04 0.03
 -------- 21:00 0.05 0.13 1.37 0.02 0.02
 -------- 22:00 0.06 0.14 1.28 0.03 0.02
 -------- 23:00 0.05 0.12 1.27 0.03 0.02
 -------- 00:00 0.04 0.11 1.26 0.03 0.02
 26.03.13 01:00 0.04 0.10 1.26 0.02 0.02
 -------- 02:00 0.04 0.10 1.26 0.01 0.02
 -------- 03:00 0.04 0.08 1.26 0.01 0.02
 -------- 04:00 0.04 0.11 1.27 0.01 0.02
 -------- 05:00 0.04 0.13 1.34 0.02 0.02
 26.03.13 06:00 0.04 0.12 1.32 0.01 0.01
 -------- 07:00 0.05 0.16 1.31 0.04 0.02
 -------- 08:00 0.06 0.19 1.33 0.04 0.03
 -------- 09:00 0.07 0.19 1.32 0.06 0.03
 -------- 10:00 0.07 0.16 1.33 0.06 0.03
 26.03.13 11:00 0.06 0.12 1.33 0.06 0.04
 -------- 12:00 0.06 0.12 1.32 0.05 0.03
 -------- 13:00 0.06 0.13 1.31 0.05 0.04
 -------- 14:00 0.06 0.13 1.29 0.05 0.04
 -------- 15:00 0.04 0.09 1.28 0.04 0.03
 26.03.13 16:00 0.05 0.10 1.27 0.03 0.04
 -------- 17:00 0.05 0.11 1.27 0.04 0.02
 -------- 18:00 0.06 0.14 1.28 0.04 0.03
 -------- 19:00 0.06 0.17 1.29 0.03 0.03
 -------- 20:00 0.06 0.20 1.27 0.04 0.02
 26.03.13 21:00 0.07 0.27 1.32 0.05 0.02
 -------- 22:00 0.08 0.30 1.40 0.06 0.03
 -------- 23:00 0.08 0.30 1.37 0.07 0.03
