 Date Time CO NO2 CHX NO PM10
 08.04.13 00:00 0.08 0.28 1.35 0.05 0.15
 -------- 01:00 0.10 0.32 1.38 0.07 0.14
 -------- 02:00 0.09 0.34 1.39 0.08 0.12
 -------- 03:00 0.09 0.32 1.38 0.08 0.10
 -------- 04:00 0.09 0.37 1.46 0.15 0.11
 08.04.13 05:00 0.12 0.42 1.64 0.30 0.28
 -------- 06:00 0.16 0.44 1.66 0.37 0.20
 -------- 07:00 0.23 0.46 1.68 0.47 0.26
 -------- 08:00 0.27 0.59 2.10 0.56 0.33
 -------- 09:00 0.20 0.58 2.03 0.30 0.30
 08.04.13 10:00 0.08 0.25 1.35 0.05 0.14
 -------- 11:00 0.08 0.27 1.35 0.05 0.12
 -------- 12:00 0.06 0.20 1.33 0.03 0.10
 -------- 13:00 0.05 0.12 1.30 0.02 0.09
 -------- 14:00 0.05 0.12 1.30 0.02 0.06
 08.04.13 15:00 0.05 0.13 1.31 0.02 0.09
 -------- 16:00 0.05 0.12 1.29 0.02 0.07
 -------- 17:00 0.04 0.06 1.30 0.00 0.04
 -------- 18:00 0.05 0.08 1.29 0.00 0.05
 -------- 19:00 0.04 0.12 1.30 0.00 0.05
 08.04.13 20:00 0.06 0.19 1.32 0.01 0.08
 -------- 21:00 0.11 0.39 1.35 0.07 0.22
 -------- 22:00 0.24 0.61 1.44 0.30 0.50
 -------- 23:00 0.29 0.66 1.52 0.48 0.69
 -------- 00:00 0.29 0.65 1.59 0.56 0.61
 09.04.13 01:00 0.30 0.61 1.65 0.58 0.60
 -------- 02:00 0.26 0.59 1.66 0.47 0.46
 -------- 03:00 0.25 0.58 1.67 0.50 0.66
 -------- 04:00 0.19 0.57 1.67 0.40 0.31
 -------- 05:00 0.20 0.57 1.67 0.46 0.27
 09.04.13 06:00 0.20 0.59 1.71 0.51 0.35
 -------- 07:00 0.18 0.62 1.71 0.32 0.62
 -------- 08:00 0.20 0.62 1.74 0.33 0.58
 -------- 09:00 0.15 0.54 1.58 0.21 0.35
 -------- 10:00 0.11 0.42 1.45 0.11 0.25
 09.04.13 11:00 0.09 0.43 1.40 0.10 0.28
 -------- 12:00 0.11 0.38 1.40 0.07 0.16
 -------- 13:00 0.08 0.33 1.37 0.04 0.11
 -------- 14:00 0.11 0.51 1.39 0.10 0.21
 -------- 15:00 0.11 0.43 1.38 0.10 0.19
 09.04.13 16:00 0.11 0.43 1.40 0.06 0.10
 -------- 17:00 0.09 0.36 1.37 0.04 0.11
 -------- 18:00 0.10 0.38 1.37 0.06 0.25
 -------- 19:00 0.11 0.48 1.38 0.07 0.24
 -------- 20:00 0.18 0.60 1.40 0.13 0.41
 09.04.13 21:00 0.25 0.67 1.51 0.33 0.66
 -------- 22:00 0.35 0.68 1.59 0.51 0.90
 -------- 23:00 0.32 0.65 1.59 0.55 0.80
