 Date Time CO NO2 CHX NO PM10
 21.10.12 00:00 0.06 0.15 1.34 0.01 0.07
 -------- 01:00 0.07 0.13 1.34 0.01 0.06
 -------- 02:00 0.05 0.13 1.34 0.01 0.05
 -------- 03:00 0.05 0.10 1.33 0.01 0.04
 -------- 04:00 0.04 0.08 1.33 0.00 0.04
 21.10.12 05:00 0.04 0.07 1.32 0.00 0.05
 -------- 06:00 0.04 0.06 1.32 0.00 0.04
 -------- 07:00 0.04 0.05 1.31 ---- 0.04
 -------- 08:00 0.05 0.07 1.31 0.00 0.04
 -------- 09:00 0.06 0.06 1.31 0.00 0.05
 21.10.12 10:00 0.06 0.05 1.31 0.00 0.06
 -------- 11:00 0.05 0.06 1.31 0.00 0.05
 -------- 12:00 0.05 0.05 1.31 0.01 0.05
 -------- 13:00 0.06 0.06 1.32 0.00 0.05
 -------- 14:00 0.06 0.07 1.33 0.01 0.07
 21.10.12 15:00 0.06 0.07 1.33 0.01 0.06
 -------- 16:00 0.06 0.08 1.35 0.01 0.07
 -------- 17:00 0.06 0.10 1.35 0.01 0.07
 -------- 18:00 0.07 0.12 1.35 0.00 0.06
 -------- 19:00 0.08 0.14 1.36 0.00 0.07
 21.10.12 20:00 0.08 0.09 1.35 0.00 0.06
 -------- 21:00 0.06 0.09 1.34 0.00 0.04
 -------- 22:00 0.07 0.08 1.34 0.01 0.05
 -------- 23:00 0.07 0.09 1.34 0.01 0.05
 -------- 00:00 0.06 0.09 1.34 0.00 0.05
 22.10.12 01:00 0.06 0.09 1.34 0.00 0.05
 -------- 02:00 0.06 0.09 1.34 0.01 0.05
 -------- 03:00 0.06 0.06 1.34 0.00 0.06
 -------- 04:00 0.06 0.07 1.34 0.00 0.06
 -------- 05:00 0.06 0.09 1.35 0.00 0.07
 22.10.12 06:00 0.06 0.11 1.36 0.01 0.05
 -------- 07:00 0.09 0.16 1.37 0.04 0.04
 -------- 08:00 0.13 0.18 1.39 0.08 0.05
 -------- 09:00 0.17 0.20 1.47 0.15 0.06
 -------- 10:00 0.12 0.12 1.39 0.09 0.04
 22.10.12 11:00 0.10 0.11 1.35 0.07 0.03
 -------- 12:00 0.08 0.09 1.32 0.06 0.03
 -------- 13:00 0.07 0.07 1.32 0.07 0.02
 -------- 14:00 0.07 0.10 1.31 0.05 0.03
 -------- 15:00 0.08 0.12 1.30 0.05 0.04
 22.10.12 16:00 0.08 0.13 1.30 0.05 0.05
 -------- 17:00 0.07 0.11 1.30 0.05 0.05
 -------- 18:00 0.11 0.17 1.33 0.06 0.04
 -------- 19:00 0.10 0.12 1.31 0.05 0.04
 -------- 20:00 0.08 0.14 1.30 0.05 0.06
 22.10.12 21:00 0.08 0.13 1.29 0.04 0.07
 -------- 22:00 0.07 0.10 1.29 0.03 0.05
 -------- 23:00 0.10 0.12 1.30 0.04 0.07
