 Date Time CO NO2 CHX NO PM10
 05.04.13 00:00 0.06 0.22 1.37 0.00 0.06
 -------- 01:00 0.05 0.20 1.39 0.00 0.05
 -------- 02:00 0.04 0.15 1.43 ---- 0.05
 -------- 03:00 0.05 0.21 1.46 0.01 0.06
 -------- 04:00 0.04 0.20 1.41 ---- 0.05
 05.04.13 05:00 0.05 0.24 1.43 0.00 0.06
 -------- 06:00 0.06 0.29 1.52 0.01 0.07
 -------- 07:00 0.07 0.30 1.48 0.01 0.07
 -------- 08:00 0.11 0.36 1.41 0.03 0.10
 -------- 09:00 0.09 0.34 1.46 0.04 0.09
 05.04.13 10:00 0.09 0.35 1.41 0.05 0.09
 -------- 11:00 0.10 0.36 1.42 0.07 0.11
 -------- 12:00 0.11 0.33 1.46 0.06 0.11
 -------- 13:00 0.10 0.37 1.47 0.07 0.13
 -------- 14:00 0.09 0.44 1.42 0.07 0.15
 05.04.13 15:00 0.09 0.45 1.41 0.07 0.15
 -------- 16:00 0.09 0.39 1.42 0.03 0.17
 -------- 17:00 0.10 0.40 1.44 0.02 0.19
 -------- 18:00 0.09 0.40 1.44 0.01 0.16
 -------- 19:00 0.11 0.47 1.52 0.02 0.17
 05.04.13 20:00 0.09 0.53 1.54 0.03 0.18
 -------- 21:00 0.11 0.55 1.62 0.07 0.18
 -------- 22:00 0.10 0.42 1.49 0.03 0.14
 -------- 23:00 0.12 0.43 1.60 0.04 0.12
 -------- 00:00 0.12 0.42 1.57 0.05 0.13
 06.04.13 01:00 0.09 0.26 1.45 0.00 0.12
 -------- 02:00 0.08 0.25 1.47 0.01 0.09
 -------- 03:00 0.08 0.20 1.42 0.00 0.06
 -------- 04:00 0.07 0.19 1.40 0.00 0.04
 -------- 05:00 0.06 0.15 1.39 0.00 0.04
 06.04.13 06:00 0.05 0.08 1.35 ---- 0.01
 -------- 07:00 0.06 0.13 1.36 0.00 0.01
 -------- 08:00 0.06 0.17 1.37 0.01 0.02
 -------- 09:00 0.06 0.14 1.37 0.01 0.04
 -------- 10:00 0.06 0.11 1.37 0.01 0.07
 06.04.13 11:00 0.07 0.17 1.38 0.02 0.03
 -------- 12:00 0.06 0.13 1.38 0.01 0.03
 -------- 13:00 0.07 0.15 1.39 0.01 0.03
 -------- 14:00 0.08 0.18 1.39 0.01 0.03
 -------- 15:00 0.08 0.14 1.38 0.01 0.03
 06.04.13 16:00 0.08 0.17 1.39 0.01 0.03
 -------- 17:00 0.08 0.19 1.40 0.01 0.04
 -------- 18:00 0.09 0.22 1.40 0.02 0.04
 -------- 19:00 0.09 0.26 1.41 0.02 0.04
 -------- 20:00 0.12 0.31 1.44 0.04 0.04
 06.04.13 21:00 0.18 0.39 1.55 0.13 0.06
