 Date Time CO NO2 CHX NO PM10
 11.01.13 00:00 0.06 0.28 ---- 0.02 0.05
 -------- 01:00 0.07 0.29 ---- 0.04 0.04
 -------- 02:00 0.07 0.29 ---- 0.05 0.05
 -------- 03:00 0.06 0.28 ---- 0.02 0.04
 -------- 04:00 0.06 0.25 ---- 0.01 0.05
 11.01.13 05:00 0.06 0.25 ---- 0.01 0.04
 -------- 06:00 0.07 0.26 ---- 0.02 0.04
 -------- 07:00 0.08 0.31 ---- 0.06 0.05
 -------- 08:00 0.09 0.33 ---- 0.10 0.06
 -------- 09:00 0.09 0.34 ---- 0.08 0.06
 11.01.13 10:00 0.08 0.32 ---- 0.07 0.05
 -------- 11:00 0.09 0.31 ---- 0.08 0.08
 -------- 12:00 0.09 0.33 ---- 0.16 0.07
 -------- 13:00 0.09 0.31 1.46 0.18 0.07
 -------- 14:00 0.04 0.26 1.52 0.11 0.06
 11.01.13 15:00 0.05 0.27 1.46 0.12 0.07
 -------- 16:00 0.07 0.29 1.51 0.15 0.09
 -------- 17:00 0.08 0.29 1.41 0.15 0.07
 -------- 18:00 0.10 0.30 1.37 0.14 0.07
 -------- 19:00 0.13 0.31 1.34 0.19 0.08
 11.01.13 20:00 0.10 0.27 1.37 0.10 0.07
 -------- 21:00 0.15 0.25 1.40 0.07 0.06
 -------- 22:00 0.16 0.25 1.37 0.11 0.06
 -------- 23:00 0.15 0.24 1.35 0.09 0.06
 -------- 00:00 0.15 0.26 1.28 0.10 0.06
 12.01.13 01:00 0.15 0.23 1.21 0.07 0.05
 -------- 02:00 0.13 0.19 1.19 0.04 0.06
 -------- 03:00 0.12 0.17 1.17 0.03 0.06
 -------- 04:00 0.11 0.14 1.17 0.02 0.06
 -------- 05:00 0.11 0.16 1.18 0.02 0.06
 12.01.13 06:00 0.11 0.12 1.16 0.02 0.05
 -------- 07:00 0.17 0.16 1.15 0.03 0.05
 -------- 08:00 0.13 0.20 1.21 0.08 0.06
 -------- 09:00 0.13 0.20 1.19 0.09 0.07
 -------- 10:00 0.12 0.18 1.18 0.07 0.06
 12.01.13 11:00 0.14 0.19 1.33 0.10 0.06
 -------- 12:00 0.16 0.19 1.29 0.13 0.07
 -------- 13:00 0.18 0.20 1.35 0.16 0.08
 -------- 14:00 0.19 0.23 1.35 0.19 0.09
 -------- 15:00 0.25 0.27 1.32 0.27 0.12
 12.01.13 16:00 0.27 0.29 1.39 0.32 0.14
 -------- 17:00 0.31 0.31 1.35 0.36 0.12
 -------- 18:00 0.28 0.29 1.35 0.35 0.11
 -------- 19:00 0.29 0.28 1.40 0.34 0.10
 -------- 20:00 0.29 0.29 1.50 0.35 0.10
 12.01.13 21:00 0.29 0.28 1.51 0.34 0.11
 -------- 22:00 0.25 0.28 1.49 0.24 0.11
 -------- 23:00 0.24 0.27 1.31 0.20 0.10
