 Date Time CO NO2 CHX NO PM10
 22.03.13 12:00 0.09 0.26 1.52 0.12 0.11
 -------- 13:00 0.08 0.17 1.44 0.09 0.09
 -------- 14:00 0.07 0.14 1.35 0.07 0.06
 -------- 15:00 0.06 0.13 1.27 0.08 0.06
 -------- 16:00 0.06 0.15 1.28 0.08 0.05
 22.03.13 17:00 0.06 0.14 1.30 0.06 0.05
 -------- 18:00 0.07 0.15 1.34 0.06 0.04
 -------- 19:00 0.08 0.19 1.34 0.06 0.02
 -------- 20:00 0.07 0.14 1.32 0.05 0.03
 -------- 21:00 0.06 0.14 1.26 0.05 0.03
 22.03.13 22:00 0.08 0.17 1.27 0.08 0.04
 -------- 23:00 0.08 0.18 1.27 0.08 0.04
 -------- 00:00 0.08 0.18 1.29 0.08 0.03
 -------- 01:00 0.07 0.17 1.27 0.06 0.03
 -------- 02:00 0.06 0.15 1.27 0.03 0.04
 23.03.13 03:00 0.04 0.19 1.29 0.02 0.03
 -------- 04:00 0.05 0.26 1.34 0.03 0.04
 -------- 05:00 0.05 0.23 1.36 0.06 0.03
 -------- 06:00 0.06 0.26 1.42 0.03 0.04
 -------- 07:00 0.07 0.28 1.38 0.05 0.05
 23.03.13 08:00 0.07 0.28 1.31 0.06 0.05
 -------- 09:00 0.09 0.27 1.33 0.09 0.06
 -------- 10:00 0.08 0.20 1.30 0.05 0.06
 -------- 11:00 0.07 0.15 1.28 0.05 0.10
 -------- 12:00 0.06 0.11 1.26 0.04 0.10
 23.03.13 13:00 0.06 0.10 1.25 0.04 0.07
 -------- 14:00 0.06 0.11 1.25 0.04 0.07
 -------- 15:00 0.06 0.12 1.25 0.04 0.06
 -------- 16:00 0.06 0.14 1.26 0.04 0.08
 -------- 17:00 0.07 0.16 1.27 0.04 0.08
 23.03.13 18:00 0.06 0.16 1.26 0.04 0.08
 -------- 19:00 0.05 0.15 1.25 0.04 0.04
 -------- 20:00 0.05 0.19 1.27 0.03 0.04
 -------- 21:00 0.05 0.16 1.27 0.03 0.05
 -------- 22:00 0.05 0.17 1.27 0.03 0.04
 23.03.13 23:00 0.05 0.17 1.28 0.03 0.04
 -------- 00:00 0.04 0.18 1.27 0.03 0.02
 -------- 01:00 0.04 0.16 1.26 0.02 0.02
 -------- 02:00 0.04 0.14 1.25 0.01 0.02
 -------- 03:00 0.03 0.11 1.25 0.01 0.02
 24.03.13 04:00 0.02 0.10 1.25 0.01 0.02
 -------- 05:00 0.03 0.09 1.25 0.01 0.02
 -------- 06:00 0.04 0.08 1.24 0.01 0.04
 -------- 07:00 0.04 0.09 1.24 0.01 0.06
 -------- 08:00 0.04 0.09 1.24 0.01 0.04
 24.03.13 09:00 0.04 0.11 1.25 0.01 0.07
 -------- 10:00 0.04 0.12 1.26 0.02 0.06
 -------- 11:00 0.04 0.12 1.25 0.02 0.04
