 Date Time CO NO2 CHX NO PM10
 17.01.13 00:00 0.07 0.21 1.35 0.05 0.05
 -------- 01:00 0.06 0.17 1.33 0.02 0.05
 -------- 02:00 0.06 0.16 1.33 0.02 0.04
 -------- 03:00 0.06 0.14 1.33 0.02 0.04
 -------- 04:00 0.06 0.13 1.32 0.01 0.04
 17.01.13 05:00 0.06 0.13 1.32 0.02 0.04
 -------- 06:00 0.06 0.16 1.36 0.03 0.05
 -------- 07:00 0.07 0.18 1.38 0.04 0.06
 -------- 08:00 0.10 0.22 1.41 0.07 0.06
 -------- 09:00 0.10 0.21 1.39 0.07 0.05
 17.01.13 10:00 0.09 0.21 1.38 0.09 0.04
 -------- 11:00 0.08 0.19 1.36 0.07 0.04
 -------- 12:00 0.08 0.19 1.36 0.06 0.04
 -------- 13:00 0.08 0.20 1.35 0.07 0.03
 -------- 14:00 0.07 0.16 1.34 0.06 0.03
 17.01.13 15:00 0.06 0.15 1.34 0.05 0.03
 -------- 16:00 0.07 0.15 1.34 0.05 0.03
 -------- 17:00 0.07 0.15 1.34 0.04 0.03
 -------- 18:00 0.06 0.15 1.34 0.03 0.03
 -------- 19:00 0.06 0.14 1.34 0.03 0.03
 17.01.13 20:00 0.06 0.15 1.35 0.03 0.03
 -------- 21:00 0.06 0.15 1.34 0.03 0.02
 -------- 22:00 0.06 0.15 1.34 0.04 0.03
 -------- 23:00 0.06 0.14 1.33 0.02 0.03
 -------- 00:00 0.07 0.13 1.34 0.02 0.03
 18.01.13 01:00 0.06 0.13 1.34 0.02 0.03
 -------- 02:00 0.05 0.12 1.32 0.02 0.03
 -------- 03:00 0.04 0.10 1.32 0.01 0.03
 -------- 04:00 0.05 0.11 1.32 0.01 0.02
 -------- 05:00 0.05 0.12 1.32 0.02 0.03
 18.01.13 06:00 0.05 0.12 1.32 0.02 0.03
 -------- 07:00 0.06 0.14 1.33 0.03 0.03
 -------- 08:00 0.07 0.15 1.35 0.04 0.04
 -------- 09:00 0.09 0.18 1.39 0.06 0.03
 -------- 10:00 0.08 0.17 1.43 0.06 0.05
 18.01.13 11:00 0.08 0.17 1.41 0.07 0.04
 -------- 12:00 0.08 0.18 1.42 0.07 0.05
 -------- 13:00 0.08 0.17 1.40 0.08 0.03
 -------- 14:00 0.08 0.16 1.37 0.06 0.03
 -------- 15:00 0.08 0.17 1.37 0.07 0.03
 18.01.13 16:00 0.08 0.18 1.37 0.07 0.04
 -------- 17:00 0.10 0.21 1.44 0.08 0.04
 -------- 18:00 0.11 0.23 1.44 0.06 0.04
 -------- 19:00 0.08 0.20 1.42 0.05 0.04
 -------- 20:00 0.11 0.21 1.42 0.06 0.04
 18.01.13 21:00 0.09 0.20 1.41 0.05 0.04
 -------- 22:00 0.10 0.21 1.43 0.07 0.04
 -------- 23:00 0.10 0.21 1.43 0.08 0.04
